数据库：分省年度数据
指标：大中型工业企业财务费用(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,184.45,177.72,176.10,118.77,107.35,101.72,88.97,49.49,49.45,36.77,43.79,32.98,32.98,36.26,33.99,,,,,
天津市,175.90,156.61,148.80,100.88,85.72,67.65,76.28,48.00,32.04,26.19,29.93,38.03,43.75,43.93,43.38,,,,,
河北省,477.70,435.12,432.78,362.96,259.80,198.75,208.86,150.36,121.80,98.68,92.16,82.86,69.46,63.96,63.10,,,,,
山西省,531.25,476.08,392.15,313.14,240.88,202.70,210.61,149.87,106.65,78.63,75.10,64.42,39.81,31.04,42.95,,,,,
内蒙古自治区,358.62,283.78,254.44,202.82,139.60,122.07,113.41,66.86,55.28,38.98,35.73,27.63,30.48,29.07,28.90,,,,,
辽宁省,399.01,333.97,354.56,240.74,206.85,178.77,165.14,118.50,97.78,82.72,88.81,88.56,93.55,86.94,83.78,,,,,
吉林省,118.84,112.66,124.37,94.98,61.72,86.39,76.42,42.14,42.54,35.98,34.41,36.54,35.82,39.23,52.42,,,,,
黑龙江省,107.66,105.79,87.59,65.29,57.59,51.44,51.90,41.95,28.96,32.73,35.93,36.46,34.93,34.62,38.69,,,,,
上海市,31.60,9.84,70.90,29.54,57.81,89.82,85.08,60.23,63.57,53.09,55.12,62.82,72.74,62.76,76.22,,,,,
江苏省,794.92,722.67,776.44,583.16,451.44,364.06,406.45,327.70,265.99,199.21,172.47,144.43,121.28,115.43,90.05,,,,,
浙江省,502.86,486.27,532.19,500.54,401.87,333.32,383.01,320.73,244.44,196.98,138.91,107.48,59.11,60.12,50.27,,,,,
安徽省,281.03,249.60,248.17,190.90,135.11,109.13,126.46,78.02,53.85,44.78,42.29,37.18,31.05,30.71,31.76,,,,,
福建省,261.85,218.23,203.70,167.88,127.72,113.42,106.62,71.50,60.30,45.31,45.58,35.84,37.22,37.24,17.01,,,,,
江西省,143.06,128.35,117.04,97.59,64.82,51.24,63.39,40.68,35.91,27.38,27.06,29.13,26.61,23.77,24.93,,,,,
山东省,1122.69,1018.12,938.65,750.20,570.11,488.70,509.76,385.37,302.33,244.07,207.78,165.72,139.59,125.96,117.01,,,,,
河南省,539.11,487.45,454.61,402.80,277.60,247.02,229.58,172.39,137.42,113.78,101.58,93.28,75.80,61.83,57.08,,,,,
湖北省,329.60,311.11,313.74,250.37,205.34,156.37,138.33,83.65,83.23,69.17,74.16,54.36,51.84,55.92,63.39,,,,,
湖南省,251.59,207.47,213.27,168.05,130.13,102.88,106.45,81.25,55.01,34.85,38.80,30.02,30.49,27.46,25.40,,,,,
广东省,455.66,449.04,501.59,390.18,296.57,247.75,287.89,197.32,162.73,120.26,109.07,114.55,120.46,122.55,131.23,,,,,
广西壮族自治区,165.20,145.73,143.94,104.22,87.90,76.31,72.97,45.03,34.90,27.24,24.65,20.94,24.00,22.49,23.48,,,,,
海南省,23.76,15.33,17.15,12.20,14.88,13.80,19.34,14.19,8.74,5.07,3.98,2.86,4.52,3.66,5.01,,,,,
重庆市,144.66,133.29,113.57,88.87,66.49,51.13,55.45,42.00,33.39,23.97,26.10,29.58,27.40,25.23,23.22,,,,,
四川省,423.11,359.40,313.17,266.26,181.28,126.03,145.15,106.81,84.80,67.43,65.04,69.50,70.37,67.83,62.28,,,,,
贵州省,177.15,139.70,126.17,97.49,78.86,62.38,62.05,41.48,33.88,29.00,24.79,21.00,16.93,14.33,14.65,,,,,
云南省,223.86,180.91,152.23,115.73,88.68,63.98,70.25,51.42,36.54,29.46,33.69,28.70,31.37,27.60,18.41,,,,,
西藏自治区,1.23,1.25,1.95,0.58,0.22,0.10,0.21,0.00,0.12,0.17,0.08,0.04,0.14,0.08,0.09,,,,,
陕西省,268.91,229.98,198.06,126.19,89.25,74.86,67.30,53.69,52.56,47.47,47.46,41.23,43.36,38.96,39.01,,,,,
甘肃省,149.37,106.47,114.16,76.33,53.24,42.59,42.08,34.06,29.36,22.31,21.78,22.18,20.41,18.00,16.27,,,,,
青海省,84.68,81.67,72.01,39.41,48.42,31.12,25.82,22.47,17.25,14.80,15.47,9.87,10.47,11.54,13.19,,,,,
宁夏回族自治区,97.88,88.38,90.77,64.27,41.05,31.03,31.61,21.61,15.30,11.91,10.90,10.82,10.03,7.48,7.21,,,,,
新疆维吾尔自治区,186.04,146.11,100.46,68.72,49.44,40.90,33.78,27.52,21.91,19.87,19.04,17.46,17.82,16.14,18.65,,,,,
数据来源：国家统计局
