数据库：分省年度数据
指标：大中型工业企业营业利润(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1198.98,1000.76,918.28,825.34,772.63,546.87,382.79,339.72,196.93,169.11,200.69,114.00,60.99,35.68,4.72,,,,,
天津市,1919.59,1931.46,1831.35,1662.92,1260.44,831.94,598.56,626.08,590.36,449.58,346.02,186.66,131.82,108.80,105.49,,,,,
河北省,1415.85,1457.78,1429.88,1620.85,1542.68,1059.46,963.52,904.37,620.27,496.59,375.34,282.88,118.52,78.48,87.33,,,,,
山西省,123.53,470.08,892.03,1218.70,931.71,467.94,570.99,507.90,314.82,233.14,192.02,114.22,27.04,24.62,13.96,,,,,
内蒙古自治区,881.94,1592.32,1524.76,1855.77,1431.44,776.88,700.52,593.81,341.12,213.75,119.90,41.95,13.59,8.15,10.27,,,,,
辽宁省,792.80,1201.55,1025.03,1102.58,1152.78,706.63,281.74,582.12,318.11,268.51,355.09,210.44,107.77,95.27,109.52,,,,,
吉林省,954.75,759.37,745.01,791.31,653.72,377.19,280.08,292.29,142.76,100.95,105.73,135.45,47.75,32.24,61.21,,,,,
黑龙江省,731.62,889.17,1061.02,1236.34,1041.29,792.18,1514.07,1222.87,1227.28,1036.94,734.10,572.66,443.34,479.25,559.75,,,,,
上海市,2051.94,1867.59,1581.82,1718.09,1712.79,981.15,507.25,903.14,696.35,563.95,693.05,551.24,381.15,259.90,224.54,,,,,
江苏省,5987.17,5459.54,4770.69,5212.07,4231.03,2860.03,2731.83,2247.20,1245.70,933.05,772.89,574.90,316.98,237.08,183.53,,,,,
浙江省,2132.44,2046.68,1794.65,2088.57,1951.52,1265.86,875.09,1034.82,768.97,610.90,517.82,477.94,210.28,172.28,140.07,,,,,
安徽省,1046.21,1301.55,1259.56,1185.61,1106.47,605.51,540.96,273.05,193.69,185.08,185.84,148.52,66.72,41.63,19.72,,,,,
福建省,1521.79,1466.15,1358.92,1516.62,1225.91,789.87,580.61,567.68,381.22,268.42,238.54,225.25,141.46,69.04,44.84,,,,,
江西省,1264.48,1051.92,830.21,703.13,405.18,226.35,193.51,185.87,126.44,70.80,48.36,41.69,12.27,3.03,7.49,,,,,
山东省,4749.80,4707.77,4484.07,4524.07,3769.52,2533.36,2281.52,2187.19,1819.40,1548.77,1079.26,675.83,419.36,395.20,404.27,,,,,
河南省,2940.00,2585.44,2111.39,2320.58,1724.20,1174.39,1130.18,1039.36,628.45,366.49,241.22,166.93,57.72,37.06,64.15,,,,,
湖北省,1454.65,1487.59,1318.39,1376.44,1308.17,715.71,656.66,534.06,338.88,300.27,182.98,150.56,127.82,75.90,50.43,,,,,
湖南省,819.77,1017.67,925.17,1090.91,796.87,536.06,389.17,383.05,271.63,138.23,116.31,80.97,29.80,28.62,15.98,,,,,
广东省,5136.83,4611.16,4037.09,4273.49,4214.30,3034.31,2596.50,2128.26,1602.00,1207.06,1063.90,845.89,562.30,460.95,400.96,,,,,
广西壮族自治区,792.77,722.05,566.63,538.62,476.17,214.50,120.59,224.36,137.62,97.45,98.72,69.74,31.30,32.35,36.15,,,,,
海南省,61.04,78.52,99.12,84.28,97.19,75.61,43.45,33.75,43.84,20.94,20.65,10.22,3.11,2.36,2.44,,,,,
重庆市,804.12,604.70,392.52,477.48,362.43,240.53,209.85,189.86,102.88,66.96,68.76,70.24,24.93,14.11,9.19,,,,,
四川省,1386.41,1514.35,1555.16,1580.32,1105.33,665.59,547.53,498.84,312.37,234.26,139.63,120.58,83.52,57.17,50.24,,,,,
贵州省,395.50,436.39,442.78,353.10,226.09,157.10,145.11,146.40,109.79,69.80,53.61,39.95,19.42,14.39,22.86,,,,,
云南省,287.16,439.65,431.33,509.94,484.07,321.09,224.94,322.21,246.81,179.45,155.44,96.08,79.74,85.31,55.97,,,,,
西藏自治区,-1.40,-10.74,-6.49,-1.09,-1.96,1.31,0.83,3.68,2.70,2.27,1.51,1.41,0.74,1.46,0.76,,,,,
陕西省,1535.82,1827.47,1745.06,1677.70,1181.62,681.85,864.44,624.88,483.04,393.98,258.17,163.82,97.38,48.57,62.59,,,,,
甘肃省,154.13,189.85,204.71,223.51,202.92,129.66,83.45,184.89,100.16,46.98,63.87,44.92,19.51,0.61,4.92,,,,,
青海省,65.91,116.94,131.55,181.02,179.44,68.83,136.19,129.20,104.93,66.50,39.50,16.33,10.83,5.37,-0.94,,,,,
宁夏回族自治区,76.45,131.58,100.67,143.30,112.45,64.49,28.19,42.12,21.19,15.81,14.25,5.18,3.20,3.43,3.74,,,,,
新疆维吾尔自治区,517.05,680.07,732.30,830.19,732.17,418.72,709.66,647.95,556.01,377.01,229.54,140.70,73.52,87.80,98.68,,,,,
数据来源：国家统计局
