数据库：分省年度数据
指标：大中型工业企业本年应交增值税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,464.15,442.16,366.51,345.62,315.89,256.81,218.92,228.19,171.34,146.48,139.00,107.95,84.02,83.11,54.53,,,,,
天津市,821.84,983.59,763.03,634.42,554.51,393.44,216.00,191.01,169.05,139.38,103.38,88.30,76.99,85.80,61.55,,,,,
河北省,806.34,799.96,830.21,743.36,606.28,533.54,566.82,454.89,369.99,293.28,251.59,201.44,138.46,122.66,109.72,,,,,
山西省,512.20,637.03,711.46,777.86,625.32,489.87,553.13,411.94,314.26,257.27,195.99,133.51,66.40,56.40,49.06,,,,,
内蒙古自治区,571.20,621.07,545.14,536.38,431.42,326.18,277.93,211.04,147.64,116.65,84.98,49.87,41.75,37.09,38.41,,,,,
辽宁省,656.76,870.47,822.60,662.00,574.62,447.61,417.87,398.19,317.32,262.38,230.66,189.26,160.23,150.07,151.11,,,,,
吉林省,479.83,449.83,379.50,313.79,269.92,214.86,166.44,173.81,141.77,114.67,113.30,96.29,83.43,76.31,74.58,,,,,
黑龙江省,462.72,468.95,499.47,493.78,427.91,315.89,440.75,358.61,343.87,303.54,236.39,193.55,163.39,166.34,197.75,,,,,
上海市,707.23,721.62,665.56,657.28,598.15,479.01,397.78,425.11,340.41,302.89,301.72,282.14,250.09,212.90,194.08,,,,,
江苏省,2990.29,2730.02,2342.85,1960.11,1523.61,1177.72,1197.56,786.93,620.80,509.17,420.19,350.87,264.35,253.48,196.45,,,,,
浙江省,1014.99,991.38,938.22,956.96,808.07,601.15,592.33,541.78,415.90,371.31,296.79,268.32,149.90,138.02,120.69,,,,,
安徽省,624.36,692.20,651.80,559.99,501.26,381.14,335.00,238.08,185.14,150.35,129.00,103.89,80.64,67.75,67.83,,,,,
福建省,718.11,664.88,589.14,469.66,337.73,265.12,238.72,199.16,162.18,123.78,109.06,89.24,68.45,60.63,36.06,,,,,
江西省,605.48,522.43,403.91,320.63,206.41,163.75,160.26,124.42,111.47,83.92,69.80,56.03,42.29,38.04,34.73,,,,,
山东省,2181.79,2193.64,1966.98,1736.48,1543.18,1169.17,1177.36,1005.20,834.15,662.96,551.97,392.62,299.53,290.74,279.30,,,,,
河南省,1223.51,1108.00,974.41,926.76,677.85,582.13,573.07,520.36,373.04,275.34,207.81,163.29,111.08,93.47,88.81,,,,,
湖北省,830.01,778.26,580.70,518.79,474.62,357.96,390.26,286.69,239.46,198.90,159.68,137.17,119.66,105.65,96.96,,,,,
湖南省,713.23,744.81,623.46,599.48,456.95,316.68,342.69,233.14,161.29,135.98,111.67,93.51,71.85,70.09,59.91,,,,,
广东省,2694.89,2524.48,2275.24,2165.37,1616.75,1159.64,1424.71,1058.40,907.70,620.21,460.36,431.54,331.01,293.10,234.77,,,,,
广西壮族自治区,524.71,429.71,377.35,258.96,222.08,161.84,141.49,145.95,109.59,86.62,74.27,60.31,48.83,49.22,46.63,,,,,
海南省,48.70,49.77,53.28,44.23,47.91,31.01,21.25,28.77,19.69,14.80,12.01,8.66,12.67,7.35,6.19,,,,,
重庆市,528.43,438.01,301.98,283.58,258.37,177.36,149.24,147.02,88.81,78.16,68.19,59.89,50.69,43.02,38.60,,,,,
四川省,870.91,951.74,885.99,846.44,609.75,388.40,372.16,284.06,227.13,175.52,149.10,129.67,101.24,89.16,84.30,,,,,
贵州省,251.85,243.41,221.86,181.49,139.17,115.96,121.03,110.85,91.51,75.43,64.17,46.54,34.92,30.63,32.73,,,,,
云南省,366.52,368.19,374.64,332.88,269.09,235.86,243.45,231.81,173.80,143.96,124.35,104.29,93.03,79.65,68.67,,,,,
西藏自治区,4.05,4.26,4.43,3.72,2.60,1.44,2.30,2.95,1.58,1.18,0.65,0.96,0.39,0.40,0.41,,,,,
陕西省,764.94,761.51,738.39,583.97,451.38,307.71,350.77,258.85,214.74,162.20,128.39,89.36,61.80,49.63,49.69,,,,,
甘肃省,211.35,162.29,189.29,167.10,143.40,127.53,118.39,129.60,96.85,64.95,72.17,50.39,37.11,30.62,28.20,,,,,
青海省,69.69,84.91,74.66,64.67,71.52,38.75,51.47,45.38,36.35,27.04,19.60,14.28,13.02,10.29,11.57,,,,,
宁夏回族自治区,88.83,100.62,84.90,70.13,60.87,43.70,44.37,37.62,29.10,21.33,22.11,14.13,11.77,11.07,9.93,,,,,
新疆维吾尔自治区,334.99,293.03,277.71,269.41,226.96,151.65,223.87,182.95,151.70,113.87,81.90,57.84,40.79,40.86,42.93,,,,,
数据来源：国家统计局
