数据库：分省年度数据
指标：大中型工业企业工业销售产值(现价)(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,14872.19,13799.45,12132.25,11190.53,10369.12,8250.83,7830.40,7265.11,6189.74,5087.71,4003.02,2690.79,2124.54,2122.80,1184.78,,,,,
天津市,21204.77,20320.00,18109.50,16162.27,12491.19,9242.68,8887.71,7371.46,6286.04,5035.75,4084.30,2790.12,2182.09,1865.44,1656.02,,,,,
河北省,29054.41,28422.54,27480.37,25678.54,19757.49,15255.67,15133.20,11451.06,9097.44,7405.95,5868.09,3818.70,2158.81,1915.04,1836.04,,,,,
山西省,11660.16,12919.04,13261.46,12567.25,9965.78,7562.20,8011.58,6210.36,4635.89,3738.05,2863.30,1846.28,902.16,777.91,687.10,,,,,
内蒙古自治区,11690.43,12667.62,10798.03,11154.28,8112.99,6184.27,4872.28,3492.02,2603.37,2014.78,1570.80,961.89,680.27,600.16,544.42,,,,,
辽宁省,24178.58,26475.91,24323.75,21170.82,18051.55,14708.22,14092.49,11466.00,9582.90,7829.94,6223.03,4609.46,3424.24,3167.47,2992.72,,,,,
吉林省,12854.70,12164.76,11218.38,9922.88,8120.30,6141.53,5562.72,4638.04,3567.50,3024.73,2671.12,2175.68,1686.91,1460.02,1371.79,,,,,
黑龙江省,8305.18,8355.82,8206.78,8120.12,6714.61,5506.19,6028.84,5080.87,4621.79,3945.97,3063.09,2436.32,2008.26,1948.90,2080.59,,,,,
上海市,24170.87,24228.51,24249.94,24528.13,21923.73,17012.97,17168.29,15670.89,12977.61,10818.67,9247.54,7041.40,5472.17,4696.43,4268.19,,,,,
江苏省,89199.54,83321.05,74522.63,67730.12,53812.97,41814.69,39586.85,32204.23,25675.84,20701.86,15982.32,11186.42,7247.07,6244.73,4664.66,,,,,
浙江省,36020.45,34758.91,33588.67,32965.57,27807.19,21697.25,21962.79,19953.20,15002.75,12203.85,9161.92,7065.44,3151.03,2800.44,2687.45,,,,,
安徽省,19248.59,18689.96,16528.41,14624.84,11027.35,7982.75,7136.83,5187.06,4100.49,3303.13,2661.53,1949.62,1456.24,1166.96,1057.04,,,,,
福建省,23086.78,20615.15,18394.23,17320.42,12819.63,9586.23,8857.99,7425.84,5956.00,4842.02,4001.08,2973.85,2099.13,1725.56,798.61,,,,,
江西省,16791.42,14104.45,12013.96,9921.03,6161.02,4173.62,4016.25,3235.33,2523.49,1925.15,1427.69,1006.53,761.08,652.31,602.66,,,,,
山东省,78511.82,73565.50,66374.80,59373.45,47459.36,38056.79,33493.46,28020.15,22399.81,18558.70,14138.04,10025.78,6862.91,5894.13,5211.28,,,,,
河南省,44337.85,38293.70,32338.73,29903.01,20752.04,16247.64,15323.64,12251.90,7798.11,6106.18,4784.22,3330.73,2116.94,1828.74,1693.35,,,,,
湖北省,25008.23,23644.63,20631.78,18197.89,14189.84,10124.49,9032.46,6522.89,5138.16,4290.52,3612.32,2569.93,2262.53,1991.16,1847.50,,,,,
湖南省,17750.54,16673.02,14269.33,13091.33,8574.73,6137.11,5829.07,4412.24,3401.27,2711.07,2196.69,1616.17,1185.92,1106.69,952.74,,,,,
广东省,82659.28,74308.81,68735.01,66172.92,55401.69,43387.98,42663.13,36954.26,30078.42,23754.67,19342.98,13958.22,8613.10,7417.79,5831.98,,,,,
广西壮族自治区,13418.59,11819.42,10033.66,7932.30,5722.02,3938.34,3407.26,2693.09,2027.14,1610.39,1341.03,952.67,801.40,692.48,658.12,,,,,
海南省,1478.05,1364.01,1455.63,1197.00,1063.87,817.13,821.89,740.95,412.22,293.00,241.46,192.93,177.50,145.34,128.39,,,,,
重庆市,13349.46,11393.66,9422.04,8352.46,5931.92,4371.21,3805.44,3047.78,2328.79,1840.51,1603.56,1179.95,868.10,785.47,664.88,,,,,
四川省,23453.27,22362.72,19236.53,19509.42,13371.21,9947.12,8255.60,6469.25,4890.58,3937.64,3059.30,2376.06,1945.15,1603.74,1387.33,,,,,
贵州省,4857.12,4488.02,3993.22,3594.89,2757.87,2344.07,2128.99,1780.99,1458.44,1167.92,965.01,669.81,463.59,410.12,389.07,,,,,
云南省,6764.46,6880.93,6441.44,5713.76,4683.60,3767.28,3714.63,3265.95,2528.35,1940.96,1543.63,1197.25,1072.61,901.25,746.39,,,,,
西藏自治区,61.30,53.98,47.37,42.36,31.82,22.49,16.77,20.92,12.14,10.66,6.98,9.38,4.49,4.46,4.14,,,,,
陕西省,14593.61,13619.69,12643.11,10968.99,8094.04,5997.39,5620.15,4564.72,3636.63,2768.01,2191.66,1501.66,1064.94,933.41,841.19,,,,,
甘肃省,5964.63,5589.42,5260.65,5013.55,3909.43,3016.97,3033.75,2671.75,2048.47,1466.17,1270.52,897.26,652.41,609.90,556.80,,,,,
青海省,1685.29,1643.49,1545.32,1384.93,1202.53,808.23,816.17,663.44,528.97,406.32,312.43,199.96,165.29,127.54,144.13,,,,,
宁夏回族自治区,2719.62,2739.74,2382.53,1895.60,1417.62,1023.10,947.43,783.40,619.32,494.03,405.10,277.35,217.85,195.03,169.95,,,,,
新疆维吾尔自治区,7024.57,6640.14,5912.74,5451.74,4203.95,3067.43,3470.18,2762.42,2245.54,1770.74,1265.66,903.40,682.98,678.29,668.88,,,,,
数据来源：国家统计局
