数据库：分省年度数据
指标：大中型工业企业单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,748,777,776,779,678,633,650,606,565,536,496,451,565,637,476,472,,,,
天津市,1013,999,994,982,797,687,683,601,562,548,516,481,826,804,694,632,,,,
河北省,2221,2200,2184,2044,1627,1466,1457,1346,1298,1206,1164,1018,1047,1090,1127,1154,,,,
山西省,1144,1190,1184,1238,1119,1003,1063,987,927,844,771,607,347,358,366,364,,,,
内蒙古自治区,823,861,842,806,724,601,521,438,397,365,337,255,271,275,285,298,,,,
辽宁省,2074,2272,2210,1870,1505,1383,1341,1164,1085,1013,964,810,883,869,857,847,,,,
吉林省,645,647,667,661,529,481,513,453,404,367,394,345,479,521,566,599,,,,
黑龙江省,628,648,635,630,571,528,561,481,454,432,479,379,565,589,601,645,,,,
上海市,1629,1750,1823,1889,1750,1625,1683,1667,1563,1412,1352,1179,1799,1354,1367,1378,,,,
江苏省,7339,7309,7128,6879,5373,4698,4787,4057,3687,3377,3157,2655,2198,2254,2082,2207,,,,
浙江省,5019,5213,5240,5534,4903,4372,4513,4342,3866,3364,3043,2349,1067,1149,1250,1370,,,,
安徽省,1707,1758,1655,1485,1120,955,871,734,688,625,593,553,671,632,629,671,,,,
福建省,3375,3446,3391,3268,2240,1975,1824,1648,1438,1202,1015,854,894,914,301,319,,,,
江西省,2053,1867,1759,1476,828,637,605,537,476,441,396,326,378,389,438,461,,,,
山东省,5378,5517,5350,5217,3925,3818,3667,3414,3253,3101,2943,2575,2495,2629,2740,2764,,,,
河南省,5290,4653,4070,3842,2589,2339,2158,1886,1491,1324,1189,1019,969,999,1003,1004,,,,
湖北省,2282,2279,2022,1881,1420,1224,1051,930,841,803,747,703,847,872,848,857,,,,
湖南省,2512,2462,2082,1931,1069,905,904,721,652,618,576,534,595,611,597,612,,,,
广东省,10577,10703,10464,10396,7469,6606,6537,6016,5309,4477,4009,3292,2622,2343,2051,2074,,,,
广西壮族自治区,1468,1445,1351,1211,846,655,606,527,466,444,422,399,562,583,598,603,,,,
海南省,123,127,121,109,117,104,99,88,82,77,60,56,129,129,118,120,,,,
重庆市,1334,1258,1171,1130,786,670,633,568,493,457,435,399,388,410,371,377,,,,
四川省,2522,2637,2769,2790,1989,1602,1423,1228,1050,964,909,843,972,884,783,836,,,,
贵州省,637,619,578,564,445,376,356,311,283,269,261,224,191,212,222,225,,,,
云南省,709,812,832,766,642,549,551,510,463,425,375,365,606,520,387,358,,,,
西藏自治区,16,15,12,11,14,10,10,15,10,11,8,12,4,4,4,6,,,,
陕西省,985,985,975,942,662,591,560,521,491,473,467,420,417,428,439,437,,,,
甘肃省,305,329,339,354,311,282,283,250,234,214,238,183,194,194,195,207,,,,
青海省,127,125,122,119,118,83,78,73,61,56,58,56,61,44,45,65,,,,
宁夏回族自治区,186,189,172,177,153,144,131,130,120,121,115,97,115,112,107,93,,,,
新疆维吾尔自治区,432,422,396,366,329,288,273,257,221,208,203,192,166,178,177,180,,,,
注：从2011年开始，工业企业年报规模划分按《统计上大中小微型企业划分办法》国统字(2011)7号执行。大中型工业企业为从业人员300人及以上并且主营业务收入在2000万元及以上的工业企业。
数据来源：国家统计局
