数据库：分省年度数据
指标：天然气产量(亿立方米)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,12.80,5.79,,,,,,,,0.32,,,,,,,,,,
天津市,21.15,18.73,18.70,18.40,17.20,14.30,14.01,13.34,10.50,8.79,8.72,8.49,8.88,8.95,9.10,8.54,7.59,7.58,7.58,7.57
河北省,17.50,15.58,13.40,12.20,12.70,10.87,8.74,7.14,6.55,6.92,6.63,6.34,5.90,5.21,5.14,4.17,3.73,3.65,3.65,3.49
山西省,31.60,31.59,,,,,,,6.02,3.24,3.04,2.50,2.06,1.58,1.14,1.09,1.04,0.92,0.49,0.47
内蒙古自治区,15.45,0.19,,,,,,,,,17.19,0.00,8.49,7.01,4.55,,,0.10,,
辽宁省,8.11,7.60,7.20,7.20,8.00,8.10,8.71,8.72,11.94,11.72,10.30,13.28,13.31,14.71,14.70,14.28,15.55,19.14,19.62,21.12
吉林省,22.28,23.70,22.20,15.00,13.70,11.62,8.64,5.22,2.41,5.40,3.44,2.32,2.41,2.05,2.05,2.40,2.12,2.95,2.10,1.83
黑龙江省,35.39,34.99,33.70,31.00,30.00,30.04,27.20,25.50,24.65,24.43,20.34,20.96,20.22,22.03,23.04,22.35,23.30,23.49,23.33,25.91
上海市,2.12,2.30,2.90,3.00,3.30,4.03,4.29,5.07,5.64,6.04,5.73,4.97,4.33,3.30,2.60,,,,,
江苏省,0.52,0.51,0.60,0.50,0.60,0.57,0.58,0.58,0.61,0.64,0.53,0.33,0.23,0.23,0.24,0.22,0.17,0.12,0.15,0.19
浙江省,,,,,,,,,,0.03,,,0.05,0.05,0.04,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,0.43,,,,,,0.03,,,,,,,,,,,,,
山东省,4.92,5.11,6.00,5.20,5.33,9.05,8.35,7.84,8.55,9.25,9.25,8.10,7.50,8.50,6.88,7.33,9.18,10.02,11.91,12.85
河南省,4.87,4.93,5.00,5.00,6.72,29.58,14.40,15.76,18.68,17.62,18.55,20.14,19.36,17.36,14.95,14.08,13.20,11.90,11.38,11.38
湖北省,1.45,3.09,1.70,2.28,2.00,1.67,2.85,1.17,1.16,1.12,1.08,0.94,0.91,0.76,0.91,0.92,0.82,0.66,0.71,0.76
湖南省,,,,,,,2.64,,,0.74,,,,,,,,,,
广东省,83.66,75.26,83.50,83.30,78.40,58.43,59.97,52.48,48.95,44.75,42.82,26.88,31.55,32.87,34.60,37.51,34.59,36.80,22.27,1.03
广西壮族自治区,0.16,0.10,,,,,0.01,,,,,,,,,,,0.01,,
海南省,1.58,1.69,1.80,2.00,1.80,1.86,2.32,2.03,2.05,1.66,1.29,,,,,5.06,,,,
重庆市,7.78,1.70,0.40,0.46,1.20,0.60,9.69,5.00,6.47,3.27,4.69,2.23,1.94,1.45,1.94,2.94,2.93,2.44,,
四川省,253.53,214.31,242.26,265.53,237.65,193.56,192.71,187.46,159.95,142.30,114.03,113.43,100.06,94.50,88.60,82.15,85.66,80.03,80.37,76.64
贵州省,0.40,0.46,,,0.12,0.12,,,,0.53,,0.52,0.48,0.68,0.70,0.74,0.81,0.95,1.21,1.81
云南省,0.02,,0.05,0.07,0.06,0.02,0.06,0.14,0.17,0.22,0.18,0.24,0.15,0.09,0.05,0.88,0.89,0.03,0.00,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,410.11,371.60,311.30,272.20,223.50,189.52,143.79,110.10,80.47,75.46,74.46,52.86,40.04,34.40,21.10,12.57,4.32,2.17,0.15,0.22
甘肃省,0.15,0.17,0.20,0.20,0.20,0.29,0.50,0.63,1.53,0.84,0.20,0.21,0.87,0.37,0.20,0.11,0.28,0.30,0.30,1.13
青海省,68.90,68.06,64.28,65.00,56.10,43.07,43.80,34.02,25.03,22.26,17.94,15.57,11.51,5.87,3.91,3.47,2.68,2.20,1.27,0.64
宁夏回族自治区,,,3.33,3.02,,,,,,0.04,,,,0.08,0.15,0.12,0.11,0.26,0.62,0.62
新疆维吾尔自治区,296.70,282.91,253.01,235.33,249.90,245.39,236.03,210.20,164.20,106.71,57.23,49.84,46.08,41.24,35.38,31.06,23.84,21.30,14.06,11.81
数据来源：国家统计局
