数据库：分省年度数据
指标：农用氮、磷、钾化肥产量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,0.23,0.22,0.80,0.57,1.11,4.20,1.72,1.30,1.02,3.88,6.79,8.79,11.25,11.92,12.72,10.59
天津市,15.31,13.50,11.80,6.30,1.49,13.58,16.39,18.09,16.75,16.03,17.74,16.12,16.03,15.51,12.09,12.02,7.68,10.91,11.31,9.74
河北省,203.09,218.43,184.76,222.86,173.42,214.35,211.28,218.76,212.45,214.60,231.73,236.36,198.43,183.11,195.23,198.47,198.65,178.50,186.65,155.69
山西省,424.35,446.10,383.82,363.29,331.37,374.38,412.83,366.72,313.64,349.45,219.14,193.13,200.93,160.19,160.67,156.08,135.85,116.23,116.60,102.31
内蒙古自治区,126.10,113.58,123.00,126.10,123.47,148.80,88.78,84.30,68.83,60.89,57.87,50.93,46.07,39.57,35.54,43.72,21.12,16.87,20.95,17.35
辽宁省,71.87,77.14,82.87,74.27,67.74,75.01,88.98,89.39,87.62,89.60,88.14,105.31,88.77,98.09,94.14,87.20,76.84,84.70,82.00,78.20
吉林省,17.90,48.83,37.60,27.70,24.67,20.20,17.90,22.40,18.73,17.17,18.37,9.63,7.63,3.13,14.68,29.30,25.56,27.53,31.33,31.38
黑龙江省,47.41,61.45,72.47,68.12,64.91,70.33,55.50,70.16,51.13,49.46,45.55,44.31,48.52,45.17,39.24,45.81,46.70,44.60,44.80,43.70
上海市,1.50,2.10,2.60,2.60,2.54,2.68,2.96,2.91,3.01,3.14,3.47,4.90,10.38,14.10,13.74,16.15,12.73,18.07,28.37,29.56
江苏省,230.47,250.81,290.81,267.33,259.99,267.60,255.83,265.18,243.29,294.70,214.34,206.19,205.02,193.68,183.18,171.27,170.12,187.98,184.30,191.85
浙江省,35.72,33.06,31.08,30.19,34.46,47.88,47.39,58.60,59.07,63.13,64.74,55.55,62.01,62.67,59.22,67.30,71.83,67.90,70.89,81.37
安徽省,299.70,277.27,310.72,266.86,254.49,274.08,238.39,233.15,223.93,235.49,248.65,197.50,185.68,172.31,157.57,182.02,161.96,181.81,188.31,165.73
福建省,48.87,44.12,46.49,52.67,57.46,60.00,59.12,64.16,66.17,64.41,61.26,56.69,60.69,57.64,59.82,60.55,63.51,54.74,56.66,51.12
江西省,135.78,107.29,88.66,30.39,114.56,49.70,54.17,55.34,57.06,53.54,70.60,51.88,55.96,49.06,45.01,54.55,52.22,44.73,37.86,38.44
山东省,555.01,760.03,982.64,657.00,845.74,854.30,848.96,796.79,732.00,612.70,497.24,469.60,417.05,420.93,398.24,384.83,312.19,263.00,239.00,204.00
河南省,491.71,488.64,395.43,455.93,399.87,503.47,520.41,534.77,460.78,421.12,401.38,314.52,307.20,283.33,258.56,252.72,267.89,237.89,241.09,219.19
湖北省,1201.66,1156.86,1048.22,995.09,863.93,829.50,584.98,558.94,477.97,408.82,343.59,276.68,248.35,267.12,221.11,233.73,226.92,237.77,225.31,187.09
湖南省,113.59,135.51,183.65,201.24,332.63,359.20,290.94,280.09,263.21,261.39,263.08,178.27,162.97,146.75,141.74,157.35,153.73,150.81,158.86,152.78
广东省,58.39,45.74,39.26,54.64,54.57,52.65,50.38,31.93,26.92,39.34,26.68,19.33,18.95,22.17,34.65,47.90,53.97,59.25,59.71,53.90
广西壮族自治区,111.48,105.71,112.91,95.66,86.91,91.39,84.27,88.68,91.43,83.94,123.36,68.57,71.84,73.76,53.30,46.14,48.69,47.04,44.35,43.12
海南省,66.30,65.90,60.00,67.10,66.56,60.63,65.14,61.69,64.27,62.65,65.01,33.45,27.15,24.87,25.53,26.67,24.80,21.62,2.17,0.54
重庆市,215.16,215.41,198.02,173.87,175.37,155.58,154.35,163.08,140.34,130.90,120.01,94.35,82.53,78.23,72.26,74.27,73.40,66.07,78.97,
四川省,453.58,473.70,420.16,505.76,510.06,461.13,367.52,412.40,384.20,518.28,429.67,318.13,328.41,294.39,263.51,262.19,245.60,252.33,272.62,234.74
贵州省,529.19,533.59,503.21,365.38,384.30,345.62,262.21,332.58,348.89,275.35,218.19,189.60,158.49,111.32,84.05,73.12,72.82,69.17,57.50,61.02
云南省,318.39,341.88,351.96,326.94,363.97,350.67,335.06,321.53,305.04,265.84,313.53,258.93,213.94,196.19,174.44,177.78,163.39,144.31,133.93,121.49
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,179.15,100.67,84.60,79.86,95.90,88.11,136.52,112.01,110.71,124.92,132.89,105.82,101.51,100.31,93.90,85.16,75.31,81.91,83.21,68.00
甘肃省,50.23,62.42,83.68,73.73,89.31,83.80,71.34,99.51,101.49,113.51,139.94,74.20,54.75,45.40,50.55,61.62,48.31,41.07,40.01,43.27
青海省,504.87,425.16,346.65,288.24,304.14,281.35,243.94,254.89,205.63,161.12,199.68,89.97,77.29,79.65,67.06,41.60,31.79,19.27,15.55,20.94
宁夏回族自治区,46.50,70.30,78.83,106.92,95.17,91.77,109.15,87.91,78.91,80.82,100.29,74.79,75.09,69.62,59.52,53.87,46.32,41.19,40.14,41.49
新疆维吾尔自治区,323.59,361.77,276.21,227.09,158.63,157.03,158.43,138.45,130.47,101.35,86.96,85.30,75.36,70.86,71.79,73.75,53.82,42.87,37.21,38.33
注：农用化肥按有效成分100%计算。
数据来源：国家统计局
