数据库：分省年度数据
指标：水泥产量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,703.86,901.54,882.34,923.29,1049.04,1080.33,876.51,1168.60,1271.33,1183.80,1214.19,999.00,884.00,809.00,827.00,803.00,763.00,700.85,665.93,574.21
天津市,1071.16,951.90,847.42,942.56,831.62,699.51,534.89,614.79,609.08,518.64,522.25,451.00,377.75,338.99,267.81,257.34,183.00,209.00,207.88,200.62
河北省,10721.46,12747.38,13131.84,14533.91,12790.21,10684.55,8953.00,9758.28,8625.00,7686.04,7585.47,6811.40,5769.24,4878.03,4694.59,4133.77,3887.00,3761.87,3406.92,3154.10
山西省,4831.96,5100.10,5076.19,4101.46,3668.25,2753.18,2074.98,2780.91,2681.13,2310.68,2385.71,1949.00,1680.00,1573.01,1193.65,1426.94,1394.95,1420.15,1307.56,1169.85
内蒙古自治区,6404.50,6437.17,6062.30,6499.31,5435.52,4333.75,3424.06,2871.17,2211.18,1632.25,1282.83,947.86,711.43,698.12,630.02,549.71,486.80,465.76,399.84,349.27
辽宁省,5820.58,6029.97,5503.78,5799.75,4785.82,4704.83,4074.40,3893.20,3293.80,2680.67,2495.73,2439.74,2145.75,2101.45,1954.87,1711.06,1663.72,1829.04,1743.06,1911.03
吉林省,3705.89,3390.95,3242.75,3801.93,3079.97,3679.57,2581.83,1903.81,1799.19,1718.62,1322.76,1119.13,889.20,907.25,758.86,659.03,627.80,627.12,608.48,678.46
黑龙江省,3715.19,4070.89,3985.14,4379.04,3592.25,2603.76,1968.21,1645.06,1482.74,1214.48,1159.93,1114.43,957.71,965.56,903.68,850.95,744.14,709.69,655.36,667.82
上海市,686.03,750.58,798.87,805.68,670.80,754.19,765.46,959.44,1131.08,1045.21,970.96,744.67,351.59,433.69,311.69,251.14,330.95,338.47,443.77,433.22
江苏省,19496.49,18027.05,16902.33,15034.22,15829.74,14475.68,12683.21,11849.78,10975.97,9681.49,8804.98,7825.14,6035.29,5246.93,4599.52,4378.32,3856.30,4031.73,4040.28,3966.42
浙江省,12413.35,12479.56,11575.35,12196.95,11317.16,10822.25,10207.80,10548.51,9952.29,9128.97,8772.93,7194.10,5742.79,4791.03,4256.61,3795.41,3435.88,3430.12,3546.83,3264.82
安徽省,12982.13,12191.88,11004.70,9572.17,8068.91,7278.35,5915.18,5402.23,4579.72,3352.56,3464.52,3072.96,2403.51,2371.52,1905.57,2133.44,1928.70,2310.90,2269.60,1982.60
福建省,7778.91,7905.83,7258.96,6809.62,5921.17,5477.91,4508.60,4500.10,3416.70,2791.64,2382.61,2400.20,1698.69,1762.02,1513.64,1825.81,1458.27,1522.42,1504.52,1511.17
江西省,9848.60,9228.14,7572.05,6874.02,6262.68,6200.55,5271.59,5008.54,4300.27,3700.50,3094.38,2524.18,1965.97,1608.31,1463.04,1315.02,1133.38,1047.49,1062.16,1005.59
山东省,16553.17,16238.66,15454.99,15072.84,14742.57,14057.69,13887.26,15023.89,16669.63,14425.85,12876.96,9935.00,8238.69,7287.25,6547.05,5949.20,5411.71,5830.54,5623.79,5497.09
河南省,17331.49,16782.03,14888.89,13824.26,11564.48,11874.13,10227.04,9471.36,7605.06,6487.18,5295.14,4722.60,4481.30,4686.40,3723.40,3800.80,3831.00,3417.00,3088.00,3348.27
湖北省,11423.74,11049.36,10375.28,9504.29,9000.96,7006.40,6169.31,5638.85,5202.65,4485.69,3631.92,3445.81,2948.66,2796.70,2460.92,2209.70,2269.92,2093.50,1786.66,1838.25
湖南省,12186.83,11314.14,10573.71,9364.29,8748.85,7652.23,6043.88,5683.28,4592.68,3742.32,3385.79,3135.00,2746.50,2761.89,2395.72,2273.85,2338.54,2208.66,2300.28,2196.02
广东省,14812.38,13429.40,11485.50,12714.01,11610.94,10043.18,9484.35,9799.57,9704.02,8228.92,7683.11,7530.01,7442.30,6018.02,5872.40,5609.40,5091.86,5147.87,5283.23,5317.92
广西壮族自治区,10752.28,10908.43,9983.95,8746.52,7516.51,6435.27,5110.80,4350.48,3654.94,3306.13,2777.05,2665.19,2401.18,2140.45,2198.35,2062.55,2008.47,1893.00,1933.52,1980.47
海南省,2151.60,1988.40,1672.45,1521.92,1264.05,938.52,619.16,633.32,585.48,446.42,425.37,397.84,347.35,312.59,315.05,288.17,223.12,187.96,183.55,168.65
重庆市,6702.82,6150.34,5561.78,5016.19,4621.05,3640.74,3135.31,3000.05,2618.63,2226.15,1992.13,2037.66,1750.00,1698.80,1402.78,1197.60,1173.59,977.37,780.61,
四川省,14660.53,13947.15,13465.03,14522.30,13377.54,9003.64,6066.90,6375.60,5060.03,4480.19,3855.77,4059.85,3294.47,3162.14,2766.42,2591.18,2462.56,2351.21,3051.32,2750.70
贵州省,9598.34,8189.17,6749.36,5309.36,3809.60,2883.63,2048.94,2059.06,1906.60,1685.10,1429.80,1590.98,1121.11,1204.00,783.88,710.29,559.42,632.00,522.00,468.34
云南省,9662.50,9121.78,8013.87,6788.90,5786.17,5046.45,3863.80,3568.53,3305.97,2832.62,2300.29,2052.79,1709.00,1640.87,1512.00,1622.77,1558.66,1341.26,1152.28,996.93
西藏自治区,342.20,295.80,286.70,232.80,219.12,187.65,166.56,159.66,166.67,128.15,101.20,124.91,59.08,49.59,49.32,39.04,37.00,32.23,23.11,22.00
陕西省,9158.75,8603.80,7636.17,6591.60,5496.55,4501.66,3608.62,3175.49,2514.98,2164.86,2020.37,1828.00,1328.30,1492.91,989.44,990.00,859.00,1165.87,915.89,851.50
甘肃省,4935.26,4426.58,3651.92,2759.55,2425.34,1854.80,1560.32,1540.21,1454.17,1415.99,1326.37,1160.82,1081.02,891.65,723.50,705.03,630.00,602.69,589.15,561.48
青海省,1869.57,1837.71,1409.52,1048.09,811.09,610.99,457.75,436.85,371.32,370.62,340.97,307.00,263.50,176.13,123.71,116.75,101.31,79.05,76.10,63.80
宁夏回族自治区,1803.88,1927.60,1615.01,1463.37,1422.31,1066.50,884.76,817.36,709.91,567.58,580.23,494.13,374.24,318.69,280.25,248.28,226.48,181.47,164.96,140.11
新疆维吾尔自治区,5081.63,5190.32,4315.93,3171.66,2470.90,2045.88,1663.82,1479.28,1224.26,1245.47,1200.27,1127.71,981.64,981.00,894.55,802.00,715.90,627.51,562.87,489.88
数据来源：国家统计局
