数据库：分省年度数据
指标：平板玻璃产量(万重量箱)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,40.90,,,,,,90.69,235.22,246.08,293.42,658.70,666.12,625.59,400.77,432.10,474.29,500.31,520.14,461.69,524.04
天津市,3284.70,2137.10,1651.40,866.28,686.83,679.55,648.13,186.06,303.78,458.29,436.14,262.77,329.58,399.38,417.05,401.49,380.68,300.20,211.14,196.09
河北省,15844.52,11836.40,14898.03,16941.62,12368.50,10964.52,8676.13,10031.76,8990.00,7598.18,7136.96,4681.91,2800.97,2328.27,2083.30,2373.25,2456.00,2348.64,2509.84,2576.94
山西省,1758.91,2065.30,1975.81,1847.61,1673.37,1275.70,1324.02,971.91,814.15,360.24,427.09,304.62,340.21,457.03,356.72,281.75,368.27,353.29,236.30,241.44
内蒙古自治区,567.59,521.60,549.15,1259.50,1196.58,1564.89,1458.32,1395.72,999.52,1144.60,1073.84,852.49,749.42,464.34,371.58,390.93,339.49,399.77,388.14,445.42
辽宁省,2529.80,3015.70,2523.44,2258.04,1262.08,1674.16,2275.19,1941.21,1650.92,1853.96,1785.17,1361.50,1470.92,1537.74,1475.26,1536.80,1546.94,1494.24,1591.57,1233.27
吉林省,1190.50,364.40,355.00,411.80,422.26,380.63,736.78,850.76,769.60,426.49,271.17,339.34,343.22,296.08,330.96,185.07,119.21,105.21,178.13,251.87
黑龙江省,415.50,416.00,399.91,557.90,692.58,777.49,596.29,490.21,415.84,520.81,480.84,247.67,467.64,597.70,528.09,436.44,334.76,440.93,562.97,531.05
上海市,,0.30,,1.30,1.51,1.11,769.57,744.53,762.75,830.61,856.17,790.25,718.42,755.82,751.88,641.81,701.45,691.08,687.63,634.63
江苏省,5834.71,5930.60,6465.96,7594.95,5731.50,5257.84,5666.59,6856.11,5757.12,5233.13,4072.76,3807.27,2990.05,2224.08,1889.40,1604.19,1629.27,1380.13,1131.59,868.73
浙江省,3977.96,3591.20,2992.28,4023.21,4136.72,3372.48,4333.44,2917.53,2262.35,2109.14,2213.20,1677.02,1354.33,1004.61,736.98,650.73,678.64,683.67,450.41,385.69
安徽省,2544.54,3346.80,2388.10,2680.40,1044.29,1035.77,576.39,472.56,451.43,507.72,485.81,418.15,184.31,186.66,181.46,181.95,180.88,262.67,262.25,242.54
福建省,5241.40,5243.20,4644.50,3507.10,2765.35,2091.67,1575.31,1867.12,1827.35,1438.57,539.39,511.85,508.11,467.30,479.87,477.20,520.14,468.03,297.98,302.42
江西省,514.01,663.00,668.22,607.21,437.30,449.98,558.68,686.64,682.84,626.36,628.13,575.00,471.99,263.59,258.43,260.00,268.31,244.21,21.68,95.76
山东省,7624.44,8279.70,7903.89,7794.48,8033.39,6091.77,5619.23,5175.61,5214.66,4761.21,4467.45,2252.27,1924.38,1809.24,1559.65,1501.70,1484.65,1608.27,1367.99,1343.54
河南省,1458.34,1128.00,1218.52,2159.28,2419.92,2771.62,3208.94,3619.93,3481.07,3434.69,3651.63,3129.23,2920.37,2794.60,2425.41,2137.14,2165.02,1546.18,1832.36,2127.41
湖北省,9184.82,8132.80,7365.48,6830.09,4653.04,3528.15,2601.62,2178.34,2001.15,1626.88,1114.31,1086.62,1098.17,678.00,625.98,658.01,626.15,459.63,549.62,496.54
湖南省,1208.37,1832.70,1805.50,1945.56,1757.32,1664.21,1411.29,1518.12,970.92,1091.16,1107.39,764.56,583.61,858.93,735.34,710.36,385.95,543.49,765.87,861.43
广东省,8195.41,8586.60,8088.11,8390.53,7822.92,8102.61,6392.21,6123.03,4845.20,2372.73,2203.36,739.33,684.22,571.60,632.59,579.18,612.08,812.74,660.05,854.78
广西壮族自治区,623.00,638.10,607.60,327.40,518.60,453.92,533.09,530.34,292.31,515.74,486.65,452.17,172.76,188.98,192.73,185.27,71.68,201.40,221.33,224.32
海南省,,,,,175.94,,601.35,7.68,,,,,,,,,,,,
重庆市,1460.82,1250.20,791.26,731.36,678.61,291.64,208.46,254.18,178.20,218.27,163.22,147.02,141.09,149.18,125.39,122.55,134.21,116.96,115.59,
四川省,3424.33,4007.50,4093.20,4924.40,4417.17,3368.05,3034.65,2495.79,2061.00,1347.41,1157.13,915.27,943.69,795.08,569.44,568.82,649.52,670.55,556.96,383.64
贵州省,603.95,363.60,194.55,126.21,177.18,32.44,,2.50,,,59.27,77.44,17.88,4.00,40.37,41.07,45.78,26.34,51.33,46.63
云南省,1108.52,997.00,872.57,849.98,736.08,500.83,333.35,329.80,302.49,270.15,313.93,336.43,309.85,293.48,287.71,302.56,259.97,110.50,155.65,165.88
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,2332.14,1837.90,1489.01,1442.12,1378.03,1453.49,1250.45,1175.08,570.23,541.14,661.47,864.52,267.72,733.35,277.03,123.63,165.09,273.47,308.89,295.15
甘肃省,538.30,600.10,497.12,577.42,658.30,511.89,576.18,591.89,428.92,339.62,306.67,270.37,276.32,473.89,401.26,337.42,412.00,400.19,478.19,299.88
青海省,801.50,676.90,236.30,205.90,150.00,50.33,102.98,92.95,97.06,90.35,78.40,84.47,,81.35,99.81,102.10,80.44,90.20,51.12,19.57
宁夏回族自治区,23.00,,0.36,0.42,0.83,,14.58,61.82,66.17,66.42,67.27,18.61,59.50,64.61,67.08,62.98,21.85,57.25,55.32,25.54
新疆维吾尔自治区,796.17,435.70,375.23,245.48,334.60,227.33,10.72,113.66,131.59,132.95,122.65,68.32,47.05,84.46,19.35,91.10,55.29,21.32,23.39,57.55
数据来源：国家统计局
