数据库：分省年度数据
指标：生铁产量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,411.94,442.67,448.79,780.51,787.79,813.88,803.48,788.17,772.86,783.59,773.24,717.56,751.50,750.29,732.17,722.28
天津市,2182.50,2214.20,1974.60,2097.00,1926.36,1763.40,1520.14,1435.40,1131.51,660.24,524.63,342.65,247.71,228.74,227.99,214.36,179.76,185.33,169.04,168.85
河北省,16941.95,17027.60,16358.54,15450.38,13710.11,13321.78,11355.66,10523.01,8279.80,6841.25,5453.91,4227.34,2921.05,2177.09,1709.23,1464.83,1297.03,1379.56,1258.23,1214.49
山西省,4059.26,4303.20,4009.63,3786.04,3402.44,3166.84,2781.71,3727.64,3556.43,3229.80,2328.49,2572.16,1641.67,2088.54,1097.77,1454.35,1488.28,1465.02,1432.79,1438.29
内蒙古自治区,1330.70,1367.20,1326.40,1431.10,1358.97,1437.07,1256.55,1260.09,1108.33,922.69,678.46,606.90,554.30,476.06,440.84,424.86,408.74,450.84,428.12,345.78
辽宁省,6307.53,5698.00,5311.92,5450.21,5508.07,5094.30,4101.46,4057.59,3751.96,3113.95,2547.81,2062.45,1886.38,1594.39,1555.40,1448.87,1419.04,1358.08,1358.46,1337.08
吉林省,1132.80,1116.20,1112.60,973.32,813.16,780.20,580.71,545.66,425.55,408.64,331.31,318.74,247.83,201.78,162.24,171.32,169.58,146.79,117.71,103.52
黑龙江省,456.70,716.30,674.85,589.10,555.73,494.56,364.56,374.11,257.21,178.10,144.85,136.70,90.20,82.13,64.82,64.75,76.73,82.31,69.21,77.44
上海市,1643.30,1637.60,1800.40,1947.50,1901.39,1787.48,1735.87,1790.36,1639.13,1582.89,1356.47,1302.80,1276.12,1469.73,1473.00,1337.75,1208.57,1054.56,964.03,1048.38
江苏省,7082.34,6690.60,5874.43,5307.01,5214.64,4593.03,3857.81,3802.15,3352.85,2697.28,1826.33,784.83,667.42,454.76,322.83,303.91,291.29,267.52,253.71,236.45
