数据库：分省年度数据
指标：轿车产量(万辆)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,108.10,90.49,77.64,67.18,62.25,53.81,28.32,20.28,27.02,22.09,15.02,7.33,0.73,0.47,0.49,0.95,0.83,,,
天津市,51.20,50.00,53.60,65.23,63.52,52.90,53.81,45.43,41.03,32.56,22.21,17.25,9.21,5.10,8.20,10.18,10.00,,,
河北省,8.90,20.10,20.10,19.79,13.97,7.79,1.05,,,,0.13,,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,1.20,0.30,,,,,,,,,,0.00,0.00,,,,,,,
辽宁省,61.00,57.90,48.34,44.37,41.68,26.04,11.58,14.86,8.91,1.69,3.74,3.39,0.94,,,,,,,
吉林省,182.20,110.09,120.51,119.73,112.15,86.19,59.93,57.68,40.14,29.94,33.70,35.07,22.69,15.54,12.54,9.84,8.16,,,
黑龙江省,10.60,7.90,3.20,0.71,2.02,3.38,4.31,4.25,6.81,4.99,2.87,3.24,1.01,,,,,,,
上海市,214.20,201.00,180.70,174.20,159.77,122.46,78.76,80.15,66.56,48.09,52.78,57.43,39.05,28.88,25.15,25.42,23.50,,,
江苏省,74.50,63.20,45.50,38.35,31.38,21.47,11.63,11.49,14.60,14.16,8.83,8.42,3.20,,,,,,,
浙江省,22.10,27.40,26.50,27.07,27.37,22.37,14.17,17.54,15.21,11.42,8.29,2.01,0.33,,,,,,,
安徽省,29.70,45.10,54.60,61.30,62.60,47.87,29.29,32.89,27.57,18.16,7.96,12.48,5.04,3.01,,0.01,,,,
福建省,6.50,11.40,10.20,9.85,10.68,8.17,3.04,4.00,3.44,3.70,2.79,3.57,,,,,,,,
江西省,9.70,8.30,8.30,7.83,7.64,8.13,6.69,6.58,6.49,4.50,2.68,,,,,,,,,
山东省,58.60,60.50,50.55,36.93,30.17,18.08,16.58,15.18,10.67,8.70,5.02,3.80,,,,,,,,
河南省,5.00,4.70,1.10,1.40,1.92,,,,,,,,,,,,,,,
湖北省,75.29,66.60,61.36,52.95,52.71,38.84,25.58,29.48,24.05,14.17,8.84,17.16,12.34,7.22,5.45,4.07,3.62,,,
湖南省,20.80,25.12,14.67,11.63,10.18,7.51,3.77,1.50,0.26,0.36,3.66,0.58,0.11,0.03,0.03,0.50,0.10,,,
广东省,160.80,155.08,111.73,120.60,111.45,100.51,81.57,72.63,50.80,36.86,25.00,11.72,5.94,5.11,3.22,1.00,0.33,,,
广西壮族自治区,6.20,9.90,11.50,8.87,7.30,6.90,4.23,2.99,4.24,2.68,1.12,0.05,,,,,,,,
海南省,6.10,5.40,8.30,10.23,9.29,8.67,8.28,11.45,6.79,5.88,5.35,4.26,1.55,,0.17,,,,,
重庆市,107.32,102.94,102.40,93.67,85.17,62.62,40.72,41.18,26.30,15.33,15.73,12.06,6.78,4.31,4.82,4.46,3.56,,,
四川省,0.10,53.00,27.20,5.99,,,0.11,0.18,,,,,,,,,,,,
贵州省,,0.02,,0.04,0.18,0.13,,,,0.00,0.02,0.13,0.18,0.13,0.09,0.15,0.11,,,
云南省,,,,0.00,0.00,,0.09,0.20,0.13,0.11,0.17,0.05,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,26.70,31.70,36.60,38.68,52.12,42.77,19.30,10.04,5.91,1.61,1.72,2.01,1.65,0.56,0.54,0.53,0.50,,,
甘肃省,0.70,2.10,2.40,2.06,2.07,1.87,0.94,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,0.80,0.20,,,,,,,,,,,,,,,,,,
注：2008年以前没有基本乘用车，只有轿车，2009年后改为基本型乘用车（轿车）。
数据来源：国家统计局
