数据库：分省年度数据
指标：家用电冰箱产量(万台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,83.70,80.40,73.50,92.07,128.72,79.04,73.05,,81.71,63.13,22.73,16.20,5.90,3.60,5.82,0.25,0.01,6.27,
天津市,45.40,49.30,51.40,49.40,62.84,53.87,59.38,50.03,9.34,19.30,28.25,29.64,19.14,3.85,8.42,10.84,3.04,0.69,0.29,3.70
河北省,,,,,,,,,,,9.95,,,,,,,,,
山西省,,,,,,,,,,,0.07,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,157.00,84.80,101.50,95.90,87.77,96.15,139.33,134.28,94.28,120.43,116.34,109.73,51.58,14.66,23.11,13.21,8.47,6.86,9.36,14.21
吉林省,,,,,,,,,,11.25,14.38,5.35,1.21,,,,0.70,0.36,5.09,7.28
黑龙江省,,,,,,,,0.00,,0.06,0.10,4.86,10.76,8.27,10.82,10.56,,,,
上海市,154.00,153.90,151.60,185.20,218.55,189.15,123.21,100.66,101.08,42.68,33.31,34.46,35.97,43.44,43.12,43.03,38.61,30.72,93.12,128.72
江苏省,969.70,1063.10,1103.20,1194.80,782.84,667.06,602.91,494.34,408.80,318.46,290.94,243.83,188.52,157.40,127.66,107.92,68.71,59.81,20.71,11.45
浙江省,757.80,939.60,887.20,626.80,779.67,761.81,588.44,569.85,390.55,228.93,184.17,129.98,33.31,21.05,19.79,36.74,39.85,51.40,62.14,83.12
安徽省,2765.80,2973.90,2589.10,3114.00,2078.91,1565.81,1130.47,901.43,627.42,530.42,325.74,274.92,205.73,187.76,169.94,138.17,120.52,109.39,109.11,150.37
福建省,,,,,,,,,,,,,,,,,,,,0.02
江西省,109.50,101.50,107.00,116.50,114.17,91.27,76.03,24.78,30.54,26.33,26.02,29.95,37.95,33.84,32.88,27.83,27.89,30.29,27.07,26.59
山东省,610.10,524.40,575.00,718.50,795.34,825.09,596.22,681.82,1064.18,612.58,628.68,499.00,420.55,357.52,280.30,242.65,219.23,257.10,193.83,107.93
河南省,320.85,517.80,455.90,406.40,366.47,319.24,290.85,288.18,266.76,249.01,147.45,145.91,128.66,104.44,107.97,123.92,89.33,102.97,112.80,72.12
湖北省,243.50,226.10,202.40,219.80,134.26,39.51,29.03,49.27,42.38,20.39,22.58,,,,,,,,,
湖南省,12.18,21.00,17.20,26.00,31.31,15.64,37.02,36.39,36.61,55.54,65.53,44.73,55.08,47.79,44.54,28.60,18.26,7.61,3.72,22.28
广东省,2139.86,1946.02,1655.00,1409.20,1457.76,1058.47,803.39,804.16,335.97,558.64,942.02,564.89,317.27,282.55,320.70,343.21,305.94,329.67,270.13,213.23
广西壮族自治区,,,,,,,,,,,,,,,,0.03,0.07,0.01,,0.01
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,262.00,320.00,191.20,194.40,72.58,0.23,,,,,,,,,,,,0.61,,
四川省,80.20,89.70,68.80,67.00,81.22,51.90,35.32,34.53,,23.00,34.08,33.39,19.52,14.19,19.13,18.24,9.14,1.22,1.78,4.29
贵州省,168.20,155.30,159.00,169.50,196.35,168.16,143.81,132.24,102.20,80.17,72.20,50.39,42.20,37.21,25.96,16.87,7.88,0.45,1.27,3.67
云南省,,,,,,,,,,,,,,,,,0.44,0.78,1.68,2.37
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,10.90,31.10,32.30,35.68,27.05,22.35,21.93,20.79,8.08,11.98,17.33,13.96,29.84,37.56,28.70,49.61,47.99,56.18,63.92
甘肃省,,,,,,0.06,0.10,0.20,,0.08,0.62,1.47,1.26,1.55,3.00,3.00,7.01,6.50,5.11,3.27
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,,,,,,,,,
数据来源：国家统计局
