数据库：分省年度数据
指标：房间空调器产量(万台)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,0.47,15.23,5.56,21.84,31.38,28.47,54.68,,,
天津市,222.50,218.20,245.80,322.20,405.13,375.40,499.84,532.64,482.13,434.43,384.12,242.33,121.62,89.50,104.15,63.41,26.90,,,
河北省,842.40,633.00,435.90,204.20,,,,0.00,,,0.09,0.10,0.13,0.14,0.15,0.09,,,,
山西省,,,,,,,,,,,,0.60,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,98.60,106.60,150.80,194.90,189.69,172.04,213.54,237.58,224.72,269.65,116.69,88.14,43.19,38.56,25.33,13.29,3.92,,,
吉林省,,,,,,,,,,0.01,0.50,1.61,5.44,,6.68,1.59,,,,
黑龙江省,,,,,,,,,,,,,,,0.01,0.02,,,,
上海市,371.70,410.00,584.10,619.90,400.41,317.78,387.12,395.21,267.55,228.50,413.34,312.49,217.57,237.20,186.08,180.70,113.98,,,
江苏省,512.50,270.90,495.90,509.50,537.90,331.15,702.19,707.98,473.29,544.98,517.01,436.71,378.32,239.61,165.90,120.86,109.43,,,
浙江省,658.66,565.00,509.50,469.50,314.20,303.09,342.63,350.70,288.87,430.11,455.72,419.13,361.37,181.85,87.70,54.20,39.25,,,
安徽省,2702.98,2712.39,2992.90,2821.90,1607.78,1022.79,658.41,607.73,571.10,515.00,524.24,296.67,138.80,152.08,115.80,62.79,16.28,,,
福建省,,1.94,,,,,,,,,,0.00,0.00,,0.01,0.02,0.03,,,
江西省,,319.87,307.50,190.40,171.21,132.72,130.63,136.27,81.20,166.67,43.98,0.78,,,,,,,,
山东省,685.90,637.20,465.90,411.90,410.92,325.14,357.96,544.08,377.36,588.08,647.17,460.33,358.73,335.47,283.96,255.07,262.05,,,
河南省,2.00,1.31,2.20,1.00,14.51,7.72,13.41,29.89,14.96,44.76,39.56,23.90,19.57,2.06,1.27,2.25,4.73,,,
湖北省,1441.50,1189.40,829.80,808.50,729.32,514.28,493.74,169.31,342.08,239.94,177.91,98.42,97.20,113.83,55.51,38.93,15.02,,,
湖南省,,,5.50,,0.90,5.07,4.41,0.10,,,,,,1.72,3.47,4.83,1.47,,,
广东省,5388.83,4868.63,5342.10,6374.60,5442.29,4117.64,3918.26,4220.60,3351.14,2914.52,2611.17,2194.46,1323.66,848.50,697.91,463.51,462.05,,,
广西壮族自治区,,0.41,,,0.02,,,,,,0.06,0.11,0.13,0.16,0.07,0.01,0.02,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,1363.00,985.00,805.00,867.40,544.62,381.23,433.00,5.11,328.88,277.02,379.01,135.81,6.36,,,,,,,
四川省,172.70,139.70,108.20,116.60,119.49,72.18,75.79,77.07,46.14,110.89,79.43,93.94,55.68,70.54,61.18,46.90,43.69,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,,,,,,0.01,0.09,1.78,0.58,0.11,0.72,3.38,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,0.01,,,,,,,,
数据来源：国家统计局
