数据库：分省年度数据
指标：私营工业企业主营业务收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,1032.87,946.22,821.66,782.74,845.06,686.39,664.43,549.01,435.89,337.52,334.94,146.43,112.01,66.13,34.18,,,,,
天津市,5291.24,4369.28,3624.46,2889.40,2464.82,1807.47,1871.19,1057.29,883.83,709.59,638.18,222.86,127.71,109.38,64.34,,,,,
河北省,21503.60,20395.77,17907.51,15029.16,11649.99,8471.12,7708.52,4979.83,3626.95,2719.79,1980.47,1046.37,669.55,407.99,268.27,,,,,
山西省,4636.95,5122.23,4410.83,3477.40,2172.31,1386.48,1654.23,1212.81,901.00,779.53,645.64,377.14,229.50,98.62,63.50,,,,,
内蒙古自治区,5166.25,5190.14,4239.09,4115.67,3469.34,2541.23,1858.26,1153.58,803.82,427.46,266.51,127.26,66.05,45.41,36.76,,,,,
辽宁省,21716.46,23899.85,21673.76,17231.78,13757.69,9789.00,7311.86,4200.44,2706.70,1586.80,1018.14,531.33,334.73,273.08,215.90,,,,,
吉林省,5925.42,5557.30,5071.29,4050.04,3279.39,2373.65,1713.32,888.56,504.41,307.92,206.71,124.28,74.17,49.44,24.40,,,,,
黑龙江省,3114.54,3245.19,2449.47,1969.13,1712.25,1093.19,932.88,569.89,391.30,318.37,230.02,155.57,98.66,55.32,35.47,,,,,
上海市,3963.23,3686.12,3405.79,3491.17,3516.10,2799.35,2940.98,2221.05,1790.93,1394.20,1255.53,660.40,400.57,281.57,65.09,,,,,
江苏省,55542.07,51487.75,42768.57,37176.49,32114.32,24197.52,21099.89,14739.95,10912.76,7765.24,6203.63,4024.53,2262.28,1341.85,756.96,,,,,
浙江省,26194.21,24943.44,23629.71,22383.96,22099.41,17041.76,16132.24,13021.05,10215.14,7930.90,6191.97,3899.56,2518.29,1754.99,992.50,,,,,
安徽省,15696.55,13665.18,10017.12,8093.31,5755.37,3784.14,2718.48,1639.64,1065.25,684.63,517.78,344.48,195.63,115.79,70.90,,,,,
福建省,11942.10,10561.55,9005.95,7595.33,6047.69,4490.41,3701.23,2607.39,1803.40,1289.40,979.14,534.74,303.54,188.64,125.59,,,,,
江西省,12107.25,10216.27,8329.00,6343.28,5382.76,3658.96,2933.59,1978.00,1173.80,717.67,348.51,253.23,118.64,81.31,33.40,,,,,
山东省,62249.34,55679.41,42373.66,34023.89,29769.49,26377.19,20045.72,13970.81,10078.34,6489.57,4002.02,1974.45,1005.43,654.24,367.01,,,,,
河南省,24456.13,21819.98,19575.92,18348.15,14142.01,10908.78,9433.29,5795.28,3644.63,2388.85,1472.63,702.62,398.85,273.97,204.31,,,,,
湖北省,13563.39,11892.61,8704.12,6450.30,5454.38,3396.22,2508.40,1602.94,1131.18,820.32,571.65,555.11,356.84,236.07,130.70,,,,,
湖南省,16747.45,15300.40,12904.24,11738.97,8018.22,5523.41,4118.82,2731.24,1806.60,1190.29,686.36,372.58,223.10,147.37,92.72,,,,,
广东省,23672.67,20638.29,16957.71,16710.68,15619.88,11960.20,10329.11,7938.18,5897.08,4318.69,3314.97,2149.34,1507.91,1101.02,763.43,,,,,
广西壮族自治区,6368.59,5622.49,4694.94,3556.19,2738.50,1737.51,1360.30,889.28,560.92,370.45,258.04,171.78,101.80,68.50,50.75,,,,,
海南省,66.65,68.61,56.36,48.16,49.34,59.09,73.79,52.26,49.63,39.26,31.14,26.37,24.32,16.84,11.55,,,,,
重庆市,7057.99,5762.65,4729.07,4168.08,3516.97,2557.70,2330.45,1237.77,848.91,640.54,474.02,340.09,230.50,181.04,94.13,,,,,
四川省,13350.11,12216.31,10680.24,11484.94,8745.17,6140.24,4716.85,2899.17,1900.95,1382.01,930.17,523.23,341.13,253.46,178.80,,,,,
贵州省,2188.22,1792.30,1223.58,1045.64,768.69,498.99,499.19,348.41,264.49,199.65,165.94,108.38,69.25,40.27,21.05,,,,,
云南省,2109.67,2286.80,1948.81,1556.23,1527.63,1120.58,1104.83,829.42,599.38,404.97,278.74,141.37,74.97,44.91,25.32,,,,,
西藏自治区,11.62,15.47,13.06,7.33,11.02,8.71,7.38,6.23,4.17,3.12,2.41,0.61,0.58,0.37,0.31,,,,,
陕西省,2635.61,2105.17,1748.60,1502.41,1416.12,981.04,693.03,379.19,292.56,193.05,157.68,72.28,44.66,34.81,25.03,,,,,
甘肃省,749.38,669.38,448.85,335.87,336.30,254.78,247.73,179.87,127.23,99.65,91.17,37.12,21.47,20.69,11.39,,,,,
青海省,551.74,504.96,446.64,219.30,162.31,90.17,91.13,86.06,40.12,31.11,28.96,14.22,10.65,6.26,2.03,,,,,
宁夏回族自治区,1069.79,1120.69,783.13,731.96,534.75,393.56,346.68,265.59,209.77,148.47,119.57,46.43,23.50,17.04,16.64,,,,,
新疆维吾尔自治区,1494.61,1220.81,978.33,720.95,760.94,474.71,377.59,247.63,146.57,112.40,84.62,49.62,25.35,16.04,9.06,,,,,
数据来源：国家统计局
