数据库：分省年度数据
指标：规模以上工业企业亏损企业单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,684,640,623,584,1256,1411,1782,1349,1548,1663,1888,917,1202,1127,1070,1190,1277,3308,3135,3240
天津市,1065,1037,985,801,1422,1807,2084,1495,1439,1599,1944,1385,1399,1405,1397,1276,539,3773,3386,3133
河北省,1844,1606,1390,1010,1460,2027,2124,1399,1722,1674,1691,1384,1407,1541,1267,1349,1428,3112,3320,4732
山西省,1542,1426,1253,933,1222,1480,1219,1016,1226,1176,1123,665,676,755,791,886,907,1868,1840,2190
内蒙古自治区,948,848,825,533,591,823,759,494,565,558,523,337,315,313,296,338,417,1294,1626,2194
辽宁省,1759,1620,1642,1271,2288,3171,3311,2471,2764,2570,3211,1926,1832,1907,1685,1934,2261,6657,6984,8468
吉林省,392,424,415,424,568,697,761,645,663,687,969,617,729,815,858,1043,1176,3261,4704,4199
黑龙江省,760,698,623,459,673,765,851,696,714,802,1056,743,785,782,826,972,1273,3100,3356,4110
上海市,1846,2054,1952,1722,2838,4028,4579,2895,2591,2743,2956,1843,1732,1866,1694,2111,2417,4504,3777,4461
江苏省,6077,6173,6028,4089,5380,6800,7449,4733,4299,4493,8466,3455,3526,3861,3715,4313,4360,9880,10011,10214
浙江省,4747,4934,4509,3457,5764,7688,8918,4929,4460,4231,5166,2314,2140,2118,1849,2308,2640,7396,8137,8987
安徽省,1378,1164,1215,962,1669,2035,2054,1644,1557,1505,1453,1068,1091,1156,1148,1350,1506,3911,3937,4453
福建省,1249,1213,1204,974,1606,2406,2481,1709,1745,2025,2092,1635,1579,1596,1512,1644,1926,4292,4091,4681
江西省,599,528,516,356,359,575,572,748,888,859,1056,766,945,1135,1251,1396,1400,3003,3314,4169
山东省,2646,2403,2301,1715,2114,2723,3134,2445,2529,2390,3407,1885,1759,1672,1444,1767,2035,3963,3618,5593
河南省,1031,940,854,542,619,747,1094,679,814,1044,1625,1254,1434,1656,1732,2101,2390,5147,4899,4846
湖北省,1274,1046,1166,870,1711,1826,1729,1519,1599,1615,1741,1205,1269,1367,1427,1813,2050,3413,3779,4367
湖南省,824,722,722,437,611,1034,965,929,1109,1213,1534,1313,1485,1506,1730,1965,1989,5632,5408,6210
广东省,5224,5286,5133,4543,6385,9309,10856,7039,6953,7487,8317,5025,5225,5287,4805,5815,6129,8784,9495,10707
广西壮族自治区,988,942,780,670,1022,1471,1468,1055,1330,1209,1305,1108,1227,1354,1276,1444,1613,3461,3186,3312
海南省,101,115,94,64,87,112,154,151,238,265,251,242,227,226,221,282,298,484,498,530
重庆市,608,571,645,393,736,767,803,544,562,550,546,440,544,559,702,699,860,3031,3242,3793
四川省,1293,1219,1045,875,1135,1363,1738,1451,1464,1426,1525,1044,1056,1197,1210,1617,2044,6687,9748,11884
贵州省,739,759,684,586,796,947,913,697,1013,1138,909,800,813,804,744,779,759,1650,1626,1937
云南省,1147,939,805,599,832,1036,1056,744,813,829,850,846,911,853,862,973,1092,2245,2075,2258
西藏自治区,27,26,17,14,24,24,20,14,35,38,30,48,72,66,64,85,81,67,61,80
陕西省,870,782,809,628,898,1093,1023,878,1069,1070,1004,906,972,961,971,1054,1203,2870,2791,3341
甘肃省,563,522,467,344,396,518,460,434,451,479,614,624,641,646,531,522,526,1152,1008,1260
青海省,191,159,135,94,133,178,163,167,169,166,181,138,161,151,222,283,298,538,472,557
宁夏回族自治区,335,311,303,150,232,378,308,263,296,275,231,132,127,158,143,212,244,474,453,473
新疆维吾尔自治区,701,604,524,357,552,629,565,416,510,526,539,455,501,506,599,693,759,1671,1602,1578
数据来源：国家统计局
