数据库：分省年度数据
指标：规模以上工业企业存货(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,2296.26,2218.18,2104.37,2025.76,1894.60,1618.57,1521.93,1398.45,1202.30,1076.70,945.68,691.37,627.82,598.35,586.84,,,,,
天津市,2912.49,2738.46,2479.06,2240.04,1878.06,1556.75,1488.89,1169.29,983.20,858.92,741.01,595.64,522.75,516.68,520.73,,,,,
河北省,4050.00,3863.94,3524.07,3382.55,2917.43,2323.52,2208.49,1759.72,1400.40,1250.45,1088.57,834.83,688.73,672.67,626.29,,,,,
山西省,2031.92,2051.76,1962.26,1872.83,1664.60,1339.03,1426.85,1156.31,925.08,770.90,617.66,437.73,359.81,336.21,336.86,,,,,
内蒙古自治区,1663.49,1582.57,1440.89,1202.95,1010.14,801.96,843.16,624.12,491.71,392.72,295.90,247.73,230.71,215.85,209.14,,,,,
辽宁省,4381.80,4396.53,4051.09,3845.10,3445.65,3094.42,2701.72,2246.33,1868.96,1614.14,1412.85,1102.69,978.96,960.65,901.04,,,,,
吉林省,1849.70,1598.64,1453.84,1326.55,1114.55,810.29,849.35,712.51,538.83,508.76,441.91,443.11,376.06,364.70,349.44,,,,,
黑龙江省,1647.04,1662.40,1525.69,1351.37,1231.00,1044.65,971.60,818.02,713.63,666.60,551.47,451.57,454.33,447.30,431.88,,,,,
上海市,4578.97,4478.31,4216.91,4248.67,3890.86,3307.19,3418.20,3111.22,2561.14,2324.35,2133.36,1519.98,1235.05,1253.33,1213.17,,,,,
江苏省,11849.39,11410.03,10589.80,9879.03,8360.33,6879.91,6647.28,5443.29,4280.54,3557.02,3241.65,2209.18,1853.11,1697.58,1627.59,,,,,
浙江省,8103.60,7792.49,7336.57,6815.21,6160.89,5058.31,4749.11,4089.03,3192.29,2613.12,2241.32,1574.18,1273.83,1141.57,1035.02,,,,,
安徽省,3052.55,2863.22,2534.90,2125.39,1866.43,1375.47,1151.30,930.58,738.42,621.95,551.82,431.95,388.95,369.93,343.70,,,,,
福建省,3485.23,3232.27,2908.16,2542.22,2171.16,1712.79,1556.84,1353.94,1139.54,936.91,837.79,641.41,529.88,493.53,464.19,,,,,
江西省,1710.01,1687.77,1506.95,1309.00,1072.01,705.37,746.69,629.36,546.79,375.42,320.68,265.87,229.61,227.69,229.16,,,,,
山东省,10129.18,8975.97,8159.91,7117.25,6048.89,4866.11,4897.05,4034.12,3216.80,2851.02,2363.71,1779.62,1533.24,1396.25,1282.64,,,,,
河南省,4019.40,3659.74,3351.43,2674.79,2159.71,1868.52,1811.97,1494.47,1204.02,1044.64,939.83,779.70,724.65,711.85,656.10,,,,,
湖北省,3919.49,3632.39,3113.78,2658.61,2339.42,1795.85,1600.26,1297.99,1011.16,884.02,797.71,601.64,588.21,525.73,546.99,,,,,
湖南省,2552.59,2324.16,2070.94,1824.10,1508.17,1274.17,1055.61,889.73,741.42,610.08,560.83,430.21,396.74,373.15,356.22,,,,,
广东省,11937.52,11193.01,10019.42,9891.17,8865.33,7190.89,6961.07,6189.43,5388.95,4403.47,3967.51,2820.29,2313.14,2107.52,2056.49,,,,,
广西壮族自治区,1762.84,1637.59,1521.39,1295.70,1080.28,844.50,782.51,599.96,431.90,358.03,319.16,239.35,222.40,221.71,214.52,,,,,
海南省,247.96,248.22,213.90,176.53,166.35,113.68,125.16,128.21,84.93,61.12,55.24,39.21,32.75,35.31,33.80,,,,,
重庆市,1529.76,1338.85,1147.91,1012.88,877.07,710.31,691.09,542.63,431.48,375.03,333.12,275.55,249.14,237.04,232.93,,,,,
四川省,3770.50,3526.71,3336.12,3017.54,2517.41,1934.41,1867.05,1499.87,1227.41,1036.60,858.09,722.28,616.30,597.60,542.62,,,,,
贵州省,1056.47,898.22,766.71,682.23,577.20,487.92,486.37,359.64,315.13,280.68,233.09,196.43,198.12,217.00,222.10,,,,,
云南省,2154.84,1979.12,1763.91,1536.78,1210.13,1005.29,940.69,790.36,698.73,566.14,471.24,440.76,338.14,326.97,201.30,,,,,
西藏自治区,21.95,18.88,13.32,13.90,13.23,9.89,8.90,8.30,6.71,5.90,6.04,5.61,5.38,5.20,5.69,,,,,
陕西省,2252.66,2125.40,1931.74,1696.26,1416.38,1153.09,1038.77,823.32,706.60,564.11,486.51,408.80,381.56,366.42,325.77,,,,,
甘肃省,1602.60,1720.52,1460.97,1228.17,1023.75,792.96,661.76,504.54,405.76,320.69,300.61,267.06,228.79,234.81,215.55,,,,,
青海省,322.20,314.07,267.67,239.69,219.13,171.42,156.57,104.13,86.49,65.67,64.74,51.77,45.74,50.54,47.48,,,,,
宁夏回族自治区,722.41,624.53,506.13,450.91,353.24,282.70,245.40,169.11,140.49,122.66,96.52,71.70,67.54,63.66,57.66,,,,,
新疆维吾尔自治区,1259.58,1325.27,1044.86,899.96,736.70,594.85,496.91,410.68,318.46,261.28,239.65,179.41,168.98,168.01,161.14,,,,,
数据来源：国家统计局
