数据库：分省年度数据
指标：规模以上工业企业固定资产原价合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,11532.94,10788.59,10277.19,8620.82,7936.06,7083.64,6574.59,5814.84,5030.62,4434.04,3922.18,2755.96,2655.41,2503.65,2402.79,2183.85,2094.64,1850.32,1631.99,1390.03
天津市,13156.04,12314.88,10590.69,9213.94,8211.22,6841.98,5357.97,4870.64,4240.28,3845.17,3415.50,3036.78,2940.21,2763.94,2488.60,2135.81,1876.95,1590.96,1338.28,1273.46
河北省,27679.33,24837.45,21255.89,18359.33,14956.23,12525.70,10324.13,8509.58,7479.91,6306.27,5539.57,4787.11,4245.90,3959.33,3532.84,3281.79,2887.67,2759.90,2429.74,2031.60
山西省,16882.79,15339.42,13576.61,11994.91,10192.93,8910.92,7668.65,6566.54,5522.63,4436.30,3753.98,3139.78,2813.75,2473.47,2170.68,1988.05,1831.76,1735.08,1544.28,1304.71
内蒙古自治区,17669.70,15102.34,12680.51,11898.07,10065.31,7575.48,6514.17,4858.15,3775.56,3207.14,2202.36,1908.73,1626.04,1456.88,1385.74,1356.88,1106.18,964.37,898.38,774.94
辽宁省,26848.32,25688.13,21748.37,19977.69,18742.09,15419.80,13719.77,10922.97,9191.33,8202.52,7543.08,6813.89,6543.85,6112.04,5372.79,5141.08,4537.00,4496.66,4070.90,3484.89
吉林省,16035.67,14290.03,12796.65,10244.46,7917.96,5517.01,5092.02,4093.29,3692.48,3167.89,2795.66,2409.52,2317.41,2103.69,1833.04,1907.88,1775.29,1710.02,1477.13,1242.75
黑龙江省,12486.96,11215.05,10121.00,8862.27,8201.97,7197.27,6591.84,5859.11,5057.17,4619.41,4386.10,4052.93,3814.53,3480.01,3233.51,2410.94,2507.54,2438.87,2143.40,1927.34
上海市,17291.31,16476.35,15670.53,15420.13,15034.65,14126.79,13123.73,11468.85,10474.94,9370.76,8306.65,6788.95,6164.08,5918.95,5373.06,4808.88,4168.88,3416.06,2987.71,2613.81
江苏省,61984.57,54693.89,47419.48,41481.97,34509.27,28154.37,26672.88,19779.21,16280.94,13405.21,11402.46,8663.48,7549.53,6733.23,6181.57,5532.49,4936.57,4566.42,4005.75,3452.92
浙江省,27197.27,24447.22,22640.40,20721.44,19636.32,17439.04,15478.27,13147.32,11465.31,9522.84,8110.31,6017.68,4981.39,4294.78,3753.68,3346.06,2997.82,2600.39,2208.10,1881.79
安徽省,16884.78,15416.55,12854.67,10831.88,8552.64,7237.98,6180.77,4510.78,3571.17,2953.04,2693.76,2358.26,2109.52,1950.65,1880.95,1745.41,1521.96,1491.11,1327.39,1160.83
福建省,13572.81,11811.42,10220.10,8855.37,7967.50,7039.82,5994.98,5227.60,4499.35,3838.40,3435.92,2979.24,2596.43,2351.09,2032.18,1768.61,1539.99,1444.47,1197.03,991.98
江西省,11127.28,9590.70,7959.93,6444.34,5092.14,4292.16,4957.62,2644.40,2167.53,1824.46,1589.21,1426.27,1290.95,1234.57,1154.45,1102.55,1045.70,1009.33,875.47,755.15
山东省,60661.18,52197.14,43252.66,40717.84,33768.97,28940.32,23700.95,19353.02,15912.70,13178.37,11088.37,8947.82,7642.64,6834.75,6297.37,5396.68,4951.04,4574.13,4040.26,3538.92
河南省,28338.14,23979.84,20507.64,18484.82,14572.83,12288.21,10325.21,8539.78,7319.19,5955.47,5433.09,4558.61,4129.69,3779.65,3447.01,3190.65,2961.01,2639.19,2361.42,1992.91
湖北省,22424.03,22158.39,18255.49,16663.68,13171.65,11608.95,9916.98,7344.45,6010.03,5393.18,4743.91,4577.29,3356.17,3243.45,2989.31,2893.58,2666.74,2394.91,2100.48,1806.93
湖南省,13149.25,12129.92,10953.65,9600.29,8007.22,6041.82,5194.97,4213.22,3569.36,2932.81,2757.66,2510.77,2218.98,2095.68,1947.23,1800.18,1614.36,1657.45,1419.84,1282.75
广东省,43635.95,39339.68,35983.70,33238.50,33489.49,26293.23,24529.17,19763.42,17824.33,14453.16,12713.34,10768.77,9550.47,8655.82,8005.77,7399.10,6968.36,5904.95,5066.23,4298.15
广西壮族自治区,7990.66,7335.63,6613.39,5738.20,5140.80,4250.61,3651.87,2847.47,2146.97,1908.00,1713.65,1489.55,1382.05,1343.96,1296.41,1147.46,1088.15,1066.77,977.27,833.27
海南省,1414.63,1267.57,1055.68,926.45,882.10,786.14,731.24,715.72,652.81,486.89,382.21,299.92,290.09,263.70,264.43,264.72,241.30,250.30,230.33,150.50
重庆市,8583.50,7278.63,5831.59,5023.45,4463.42,3411.19,3025.44,2406.73,2020.80,1677.98,1497.03,1343.02,1273.02,1205.64,1151.58,1084.10,986.68,915.20,824.28,730.72
四川省,23620.98,20574.50,17035.75,15442.86,13695.10,10116.60,8042.60,6769.68,5289.43,4845.07,4346.45,3658.81,3204.04,3115.87,2917.04,2915.58,2333.82,2424.77,2755.01,2506.57
贵州省,6342.39,5625.16,4642.46,3981.19,3771.94,3225.99,2624.32,2241.46,2052.34,1711.11,1509.18,1215.52,1098.93,1015.10,913.15,766.88,680.27,631.24,567.27,494.94
云南省,10542.89,8728.66,6861.42,5790.80,5218.33,4318.17,3676.02,3130.48,2649.63,2213.36,1998.93,1843.08,1639.85,1525.74,1409.92,1291.60,1154.96,1038.76,889.44,771.24
西藏自治区,380.58,343.80,309.17,206.44,189.85,163.36,150.45,120.40,91.70,88.48,75.40,63.75,63.68,62.30,59.58,39.38,35.46,29.95,23.53,20.05
陕西省,18096.18,12642.41,13117.98,10643.40,7236.99,6135.51,5999.40,4956.67,4126.15,3439.54,3050.64,2503.21,2237.96,2037.19,1730.35,1644.23,1271.42,1171.35,1077.17,947.12
甘肃省,7682.43,6799.39,6061.48,5033.09,4305.51,3404.04,2935.45,2323.53,2049.12,1608.21,1759.54,1544.63,1375.51,1270.26,1165.68,1094.59,1142.70,1021.78,870.08,793.21
青海省,4196.86,3250.50,2656.96,2303.06,2026.10,1575.12,1315.94,1158.06,978.01,844.71,727.33,615.29,570.36,517.71,505.81,503.23,370.13,354.70,253.40,236.53
宁夏回族自治区,3762.36,3306.02,2951.09,2426.14,1771.53,1465.30,1170.32,988.94,847.84,661.54,556.98,503.85,425.83,422.73,362.21,366.09,316.47,275.13,236.92,209.87
新疆维吾尔自治区,12688.14,10434.84,8572.17,6939.87,6111.28,5154.56,4111.08,3592.91,2860.59,2612.31,2311.41,1974.60,1779.66,1567.26,1387.56,1349.63,1221.26,1141.69,1025.13,809.27
注：1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
数据来源：国家统计局
