数据库：分省年度数据
指标：规模以上工业企业累计折旧(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5251.64,4745.26,4230.35,3509.09,3131.86,2767.53,2425.03,2129.14,1851.07,1592.12,1383.41,1073.80,989.17,887.53,826.99,,,,,
天津市,5827.31,5147.02,4414.55,3723.70,3124.77,2564.11,2025.24,2060.80,1819.28,1627.03,1395.18,1260.68,1132.44,995.89,854.28,,,,,
河北省,9644.54,8571.78,7527.64,6766.37,5003.02,4071.52,3355.77,2897.83,2611.13,2182.59,1891.22,1643.60,1426.50,1420.48,1113.57,,,,,
山西省,6623.65,6218.56,5408.14,4646.16,3760.06,2966.54,2489.65,2094.54,1729.80,1446.96,1243.98,1057.07,932.77,773.08,788.01,,,,,
内蒙古自治区,6126.68,5022.15,4277.96,4461.25,3471.07,2313.31,1836.89,1510.36,1209.58,1042.92,729.30,610.32,547.71,504.35,430.21,,,,,
辽宁省,12999.00,11842.16,10022.88,8983.69,7815.60,6207.15,5084.22,4484.16,3472.71,3217.42,2883.26,2531.14,2366.59,2178.79,1821.98,,,,,
吉林省,9264.16,7977.59,7284.25,5475.57,3559.29,1911.71,1820.56,1558.60,1353.57,1155.75,982.00,835.42,785.64,683.71,554.73,,,,,
黑龙江省,5679.10,5179.93,4403.39,3798.85,3480.04,2979.66,2972.06,2651.42,2309.07,2078.64,1890.36,1681.27,1534.23,1370.64,1159.56,,,,,
上海市,9089.54,8505.36,7898.00,7424.54,6963.70,6287.39,6087.38,4982.59,4430.60,3911.59,3402.10,2883.10,2461.23,2297.00,1929.10,,,,,
江苏省,27976.33,24411.75,20968.99,17819.09,12714.57,10124.31,9358.98,6526.36,5254.31,4248.04,3598.74,2948.18,2610.65,2221.98,1932.54,,,,,
浙江省,10942.95,9799.42,8683.11,7511.24,6731.40,5751.15,4869.92,4027.22,3383.29,2770.55,2316.37,1844.37,1540.94,1295.38,1088.76,,,,,
安徽省,6876.08,6192.32,4874.91,4073.72,2716.61,2265.39,1896.02,1353.67,1180.11,1012.10,896.12,789.40,702.31,627.16,606.08,,,,,
福建省,5089.75,4482.96,3717.51,3029.16,2644.01,2285.78,1951.17,1722.71,1528.51,1273.18,1092.78,958.77,784.05,660.31,552.64,,,,,
江西省,4846.44,4127.46,3273.81,2422.54,1638.65,1374.60,1801.57,822.15,667.00,578.32,515.40,480.50,435.59,411.15,420.53,,,,,
山东省,27782.99,24919.42,18671.04,18926.56,13399.45,10991.29,8328.30,6443.65,5235.41,4414.48,3791.68,3191.96,2821.96,2510.27,2239.81,,,,,
河南省,8570.87,7455.94,6612.86,6416.35,4651.34,3596.17,2923.92,2699.36,2367.30,1963.82,1836.00,1652.66,1486.92,1319.30,1286.53,,,,,
湖北省,10751.20,10836.13,8620.30,7654.91,4919.92,3583.92,3458.72,2346.34,1926.23,1678.57,1435.28,1304.32,1226.68,1201.87,973.38,,,,,
湖南省,4503.93,4212.46,3651.85,3096.39,2379.67,1707.58,1701.73,1361.72,1152.74,1004.70,926.90,868.99,792.65,727.31,654.81,,,,,
广东省,20742.83,18362.55,16038.16,14087.45,12553.00,10391.56,10227.23,7255.27,6678.04,5494.31,4628.24,3897.76,3392.65,2975.88,2543.14,,,,,
广西壮族自治区,2786.63,2487.26,2132.66,1844.41,1473.98,1209.53,990.76,796.05,671.17,595.40,548.47,485.08,435.66,397.60,361.75,,,,,
海南省,474.03,413.62,371.06,312.63,278.59,230.60,202.89,199.97,162.35,138.37,121.58,102.62,97.53,81.69,76.47,,,,,
重庆市,3155.88,2648.47,2221.47,1989.28,1499.46,1135.22,942.54,764.63,670.86,577.86,523.18,484.17,444.77,409.81,366.73,,,,,
四川省,9102.36,7470.83,6615.28,6387.90,5414.39,3651.90,2753.96,2400.55,1854.82,1729.97,1526.96,1224.57,1018.22,1033.07,954.74,,,,,
贵州省,1911.23,1689.01,1429.48,1287.67,1118.72,994.53,841.70,714.73,616.64,553.87,480.16,402.95,367.62,322.56,286.77,,,,,
云南省,3011.02,2541.85,2193.84,1898.38,1650.45,1390.18,1230.97,1078.25,925.18,814.83,713.95,651.09,571.02,496.20,420.94,,,,,
西藏自治区,103.20,84.90,70.41,58.46,51.92,43.57,38.65,32.98,21.49,18.89,15.96,14.59,12.16,11.69,10.75,,,,,
陕西省,7173.26,4951.26,4940.81,3909.22,2753.54,2180.56,2071.92,1793.32,1468.97,1190.17,1037.58,847.46,726.74,623.46,515.81,,,,,
甘肃省,2839.01,2624.92,2282.32,1917.43,1334.19,1138.34,1120.04,818.28,675.45,538.54,553.74,526.92,485.54,424.43,374.41,,,,,
青海省,1557.78,1034.52,789.74,667.93,577.15,462.70,389.82,332.74,290.58,253.20,202.07,185.12,164.20,122.86,116.95,,,,,
宁夏回族自治区,1182.07,1017.42,833.12,648.18,540.86,445.16,354.20,306.25,258.32,215.03,181.22,160.90,139.45,141.89,116.66,,,,,
新疆维吾尔自治区,4423.26,3725.84,3441.25,2564.19,2195.52,1871.69,1507.72,1450.06,1125.24,1021.86,881.23,724.82,634.05,539.47,469.28,,,,,
注：1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
数据来源：国家统计局
