数据库：分省年度数据
指标：规模以上工业企业主营业务成本(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,16699.44,15833.59,14307.41,13397.61,12611.21,10406.36,9866.68,9034.08,7779.86,6309.44,5051.85,3203.24,2612.92,2533.45,2230.70,1720.07,1568.83,,,
天津市,24276.11,23085.79,19980.89,17770.58,14774.72,11455.73,11218.80,8700.76,7400.42,6039.33,4978.87,3546.84,2846.70,2459.89,2198.27,1820.80,1633.53,,,
河北省,40935.69,40223.28,37796.97,34556.85,27049.79,20792.12,19490.50,14515.55,11158.19,9134.05,7294.30,4947.98,3679.00,3144.40,2812.34,2427.48,2254.87,,,
山西省,15274.88,15539.93,15087.48,13546.84,10235.84,7533.12,8069.28,6123.58,4564.38,3728.70,2911.93,1901.32,1309.53,1049.27,897.49,799.48,808.21,,,
内蒙古自治区,16095.48,16047.25,14256.80,13564.91,10247.67,8253.78,6617.43,4285.95,3319.77,2420.87,1695.69,1105.36,790.25,667.41,601.78,523.97,451.62,,,
辽宁省,42575.06,44185.02,41146.95,36381.14,30578.87,23760.52,21329.86,15213.19,12223.93,9409.07,7264.61,5321.37,4221.40,3892.85,3623.54,2875.06,2608.76,,,
吉林省,19411.85,18641.65,16564.34,14121.24,10447.58,8137.55,6727.46,4919.42,3731.41,3109.47,2647.66,2147.99,1761.51,1457.21,1262.98,1039.02,941.83,,,
黑龙江省,10732.56,10769.37,9563.97,8498.87,7412.20,5959.69,5732.17,4573.59,3945.06,3192.67,2610.88,1967.05,1729.04,1593.47,1524.35,1216.33,1285.12,,,
上海市,29125.03,28684.46,28656.38,28911.88,26937.73,21529.75,22833.10,19735.69,16514.44,13982.81,12299.09,9020.10,6436.78,5889.13,5217.56,4462.86,4310.84,,,
江苏省,122437.72,115739.98,103160.90,92370.05,78460.64,62370.10,57465.89,45981.08,36358.55,28401.23,22831.98,15631.30,11669.43,9678.29,8533.46,7057.09,6314.14,,,
浙江省,54934.41,52430.01,49633.01,47493.50,43300.73,34333.23,34893.58,30753.86,24988.81,20119.25,15822.75,11070.55,8223.33,6581.95,5495.26,4219.08,3739.80,,,
安徽省,31708.03,28867.56,24505.33,21226.87,15208.67,10677.97,9184.24,6601.00,4930.13,3762.86,2956.86,2077.00,1686.27,1443.39,1369.24,1225.12,1073.75,,,
福建省,31768.28,28251.14,24825.87,22852.25,18223.27,13888.27,12727.46,10167.83,8173.35,6765.06,5608.84,4019.59,2933.84,2345.98,2052.32,1709.85,1562.01,,,
江西省,27270.11,23502.37,19500.87,16027.56,12145.77,8460.16,7301.09,5305.44,3545.21,2465.13,1878.78,1226.17,939.66,796.89,729.56,657.31,610.84,,,
山东省,125137.46,113897.96,100965.86,84816.09,71239.28,60505.61,52900.34,41710.39,32275.61,25293.09,18441.20,12575.68,9234.60,7543.15,6582.35,5445.25,4914.46,,,
河南省,58959.69,51549.68,44546.45,40301.82,30316.67,23765.05,21309.71,15478.08,11463.04,8441.39,6080.33,4399.48,3438.38,3015.28,2708.84,2391.14,2278.26,,,
湖北省,34843.30,32183.61,27322.91,22845.38,17730.34,12641.04,10732.57,7429.34,5932.84,4800.91,4010.30,3191.20,2694.26,2474.43,2294.40,2097.59,1968.29,,,
湖南省,27737.94,25797.74,22205.58,20352.21,14925.93,10463.62,8987.03,6248.37,4643.06,3627.99,2833.19,2042.49,1551.47,1325.67,1222.39,1053.54,931.28,,,
广东省,97844.17,90458.98,79982.61,79569.21,71251.44,55811.77,54036.01,45688.47,37189.19,30010.54,25024.52,18384.94,13822.71,11788.59,10381.40,8504.07,7678.84,,,
广西壮族自治区,16051.05,14538.64,12511.57,10305.78,7707.42,5573.70,4858.75,3500.46,2629.65,2060.35,1638.25,1137.05,941.96,825.76,777.32,704.95,727.98,,,
