数据库：分省年度数据
指标：规模以上工业企业主营业务税金及附加(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,305.14,281.39,263.58,231.93,193.09,165.78,84.29,75.97,64.02,54.48,47.18,36.13,28.98,26.12,25.54,23.04,21.83,,,
天津市,332.59,320.43,311.99,278.13,212.36,148.89,100.90,79.77,89.68,77.74,53.52,39.29,31.46,28.84,23.51,19.53,19.18,,,
河北省,467.52,430.67,413.16,361.13,360.07,254.66,173.43,139.81,113.85,94.67,80.21,63.17,54.72,47.92,43.94,40.35,38.15,,,
山西省,149.86,160.52,162.49,164.98,145.26,96.85,123.65,98.01,72.89,63.82,48.63,29.63,22.65,19.72,18.73,17.50,17.64,,,
内蒙古自治区,261.66,280.91,239.83,224.04,210.45,156.48,123.64,95.50,56.54,37.41,27.35,17.94,14.50,13.26,11.68,12.07,11.38,,,
辽宁省,929.58,882.60,872.31,734.54,702.10,578.11,264.81,234.95,160.37,120.57,99.44,84.67,71.17,62.88,65.38,55.12,54.75,,,
吉林省,539.55,494.13,455.38,271.21,367.44,329.73,163.78,113.18,92.11,70.29,68.19,67.83,48.91,41.66,33.90,29.10,22.32,,,
黑龙江省,609.74,673.46,697.26,711.90,478.70,231.12,136.91,105.03,94.98,84.03,108.56,63.91,67.09,62.93,57.96,53.16,53.02,,,
上海市,962.66,908.43,804.16,727.66,578.04,421.79,257.80,238.60,191.08,167.61,169.64,139.34,115.65,95.16,89.05,77.60,59.40,,,
江苏省,1246.86,1138.24,975.37,845.98,652.76,568.34,426.41,307.64,242.48,196.93,170.35,135.62,117.49,99.30,85.63,74.08,66.08,,,
浙江省,720.20,668.51,617.79,602.52,512.49,439.87,286.99,256.30,217.01,194.10,190.35,139.08,114.83,97.10,84.83,68.87,58.17,,,
安徽省,476.19,427.44,368.25,307.12,283.21,233.72,173.43,129.39,101.02,85.21,76.21,65.92,59.54,50.34,42.32,42.54,42.82,,,
福建省,435.40,400.12,379.56,286.12,268.42,205.27,151.51,137.75,105.09,79.48,70.87,60.42,51.83,47.09,44.40,39.50,37.12,,,
江西省,319.01,274.95,230.87,193.19,172.58,170.55,121.81,80.26,60.67,49.54,39.15,34.08,29.69,25.49,22.35,18.37,16.12,,,
山东省,1559.28,1495.83,1410.52,1219.17,1083.70,884.54,739.19,497.54,390.41,280.62,208.43,153.72,123.84,106.51,97.91,89.27,87.87,,,
河南省,687.28,640.78,629.20,589.21,478.60,414.82,358.05,269.22,200.08,142.92,108.11,83.83,75.50,65.41,57.13,55.09,56.37,,,
湖北省,829.79,775.09,628.22,509.63,642.46,406.64,301.75,217.01,150.64,112.78,90.96,78.25,72.16,61.00,55.85,49.28,45.65,,,
湖南省,919.31,884.40,773.99,656.74,553.39,500.55,388.88,267.99,198.30,180.20,155.79,106.88,94.30,88.18,84.19,82.53,75.26,,,
广东省,1207.83,1160.99,1034.98,951.50,898.22,853.00,669.56,436.67,363.76,227.29,207.84,157.46,126.10,123.08,117.19,99.38,103.24,,,
广西壮族自治区,348.63,318.06,288.72,226.97,232.18,134.62,78.93,63.62,47.22,38.02,32.24,25.27,21.47,19.56,18.75,18.52,18.54,,,
海南省,25.49,80.03,102.40,101.82,78.60,74.00,23.70,20.02,11.53,9.85,9.16,6.81,5.40,4.26,3.42,2.85,3.15,,,
重庆市,265.86,224.25,170.30,135.73,151.54,111.28,81.10,71.43,48.63,41.79,40.94,31.34,27.56,24.49,19.69,19.98,20.51,,,
四川省,608.32,594.44,515.46,450.44,385.73,319.94,215.29,164.12,111.29,89.36,72.58,65.63,61.28,52.49,50.15,46.36,42.81,,,
贵州省,314.44,290.17,213.83,203.51,158.11,123.13,108.71,87.36,70.85,64.30,55.19,41.07,35.12,33.91,31.42,31.64,32.23,,,
云南省,824.19,786.38,706.73,619.98,507.41,442.55,389.51,327.11,278.24,245.62,227.22,207.08,192.48,171.03,174.86,173.28,171.25,,,
西藏自治区,1.67,1.66,1.57,1.28,0.84,0.80,0.68,0.56,0.61,0.43,0.38,0.52,0.39,0.43,0.44,0.43,0.37,,,
陕西省,721.97,531.73,506.94,420.08,348.16,296.61,141.67,108.08,91.79,89.58,67.37,50.08,39.34,33.00,28.75,26.91,20.81,,,
甘肃省,309.64,264.89,261.90,239.51,195.88,177.80,64.09,61.70,48.66,43.72,48.60,29.60,26.99,23.08,18.04,16.16,16.49,,,
青海省,61.62,46.29,41.63,42.54,40.07,34.42,14.01,11.09,8.89,6.82,4.74,4.27,3.40,3.00,2.86,2.90,2.35,,,
宁夏回族自治区,72.05,68.57,62.03,26.48,34.34,27.18,11.33,9.64,8.97,6.86,5.51,4.58,3.59,4.08,3.22,3.30,2.97,,,
新疆维吾尔自治区,447.80,329.88,322.30,334.48,256.92,192.93,101.45,66.75,54.69,41.30,31.54,25.82,24.15,22.52,21.08,18.94,18.95,,,
注：1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
数据来源：国家统计局
