数据库：分省年度数据
指标：规模以上工业企业财务费用(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,214.49,203.65,197.48,136.61,125.23,120.66,105.20,66.03,64.64,49.14,58.45,44.05,45.83,45.39,47.58,,,,,
天津市,231.33,206.41,195.51,131.47,111.20,103.22,104.38,68.74,49.09,39.45,43.26,51.75,55.43,55.59,67.06,,,,,
河北省,646.38,588.82,562.74,471.52,341.92,269.10,276.83,198.07,158.13,128.54,120.25,106.47,103.39,93.80,91.98,,,,,
山西省,621.36,553.23,466.83,367.89,279.87,234.03,245.92,174.83,125.03,94.89,89.98,75.14,62.70,50.86,61.36,,,,,
内蒙古自治区,487.31,405.54,354.84,277.10,203.60,167.81,165.84,106.64,78.21,55.81,44.01,41.01,35.23,33.23,36.56,,,,,
辽宁省,563.05,489.01,497.62,366.20,312.58,258.04,242.32,165.74,131.87,108.89,120.15,116.94,118.24,111.40,106.70,,,,,
吉林省,238.24,217.69,216.76,155.74,103.97,118.73,101.89,57.63,53.92,44.77,44.25,43.57,43.37,46.42,59.48,,,,,
黑龙江省,157.81,152.49,125.46,95.48,80.24,68.50,65.95,50.74,36.39,39.87,44.24,44.12,42.78,40.38,45.99,,,,,
上海市,102.25,78.49,131.43,86.57,110.07,147.43,146.80,106.38,101.47,73.52,89.25,89.48,91.19,83.58,98.22,,,,,
江苏省,1298.13,1203.05,1233.30,943.87,745.18,607.19,662.41,493.45,386.76,287.58,258.30,200.26,182.20,169.84,170.99,,,,,
浙江省,1053.23,1027.94,1057.26,926.05,753.30,621.94,707.65,546.56,407.72,323.70,253.80,175.09,139.59,127.36,111.54,,,,,
安徽省,435.93,379.77,361.70,278.59,199.97,161.12,169.41,104.47,71.33,56.73,52.83,47.23,42.28,43.04,45.31,,,,,
福建省,409.12,355.51,338.40,270.18,218.12,186.70,183.61,123.51,100.01,75.92,74.74,60.87,56.77,55.67,50.57,,,,,
江西省,209.75,187.92,170.34,143.04,107.69,85.46,98.90,63.02,50.09,36.92,35.80,36.55,34.74,32.02,33.35,,,,,
山东省,1612.28,1457.51,1305.69,1051.42,856.21,742.70,732.70,552.62,431.00,342.33,278.14,215.35,189.02,168.49,160.95,,,,,
河南省,721.28,643.00,608.45,543.25,385.65,333.81,314.81,230.83,186.77,154.44,133.19,117.91,113.37,105.84,102.93,,,,,
湖北省,522.40,476.04,435.91,350.11,285.89,212.79,191.56,118.87,106.95,88.79,92.13,73.17,69.33,75.44,85.72,,,,,
湖南省,394.07,347.39,324.55,260.40,217.43,173.47,168.52,118.12,82.62,58.19,60.00,46.64,43.58,42.57,41.45,,,,,
广东省,736.98,700.12,690.31,556.62,445.93,388.27,423.67,309.67,261.24,208.46,198.15,183.25,177.88,186.40,207.66,,,,,
广西壮族自治区,240.83,214.22,210.07,160.63,134.77,122.39,124.64,70.02,49.09,38.44,36.07,32.67,30.67,30.09,32.22,,,,,
海南省,31.07,23.41,22.76,16.42,17.07,16.31,22.05,16.92,11.40,7.69,6.69,5.70,5.98,5.03,7.06,,,,,
重庆市,216.53,192.53,159.32,123.05,97.26,76.92,80.63,56.50,44.07,32.24,33.58,36.68,34.90,32.27,31.23,,,,,
四川省,696.40,569.61,506.12,403.76,292.99,216.60,237.69,162.84,125.36,99.44,94.23,89.92,87.73,85.31,83.66,,,,,
贵州省,238.95,196.18,165.38,120.64,96.56,76.78,76.34,51.70,40.33,34.75,32.21,26.74,23.69,21.63,22.69,,,,,
云南省,356.27,285.71,227.57,169.53,128.93,98.49,102.31,72.02,52.22,42.03,45.40,39.85,38.34,35.94,33.04,,,,,
西藏自治区,1.91,1.63,2.14,0.73,0.29,0.16,0.34,0.15,0.16,0.18,0.12,0.08,0.23,0.25,0.29,,,,,
陕西省,327.46,278.07,235.48,159.67,121.35,100.78,90.76,66.02,64.39,57.65,59.22,51.98,55.84,55.14,50.63,,,,,
甘肃省,210.93,160.21,158.32,106.82,74.69,58.29,57.42,43.42,36.68,33.52,29.28,26.99,28.13,26.11,24.31,,,,,
青海省,113.69,100.86,85.09,67.73,54.20,35.23,31.49,26.20,19.04,15.89,16.55,11.00,11.91,13.16,15.44,,,,,
宁夏回族自治区,129.65,111.50,109.54,76.91,50.74,38.68,41.27,27.45,19.31,15.21,13.04,12.67,11.30,10.16,10.55,,,,,
新疆维吾尔自治区,263.19,200.74,139.22,95.43,71.80,57.27,48.48,38.73,29.94,26.08,24.40,22.68,25.14,22.17,24.46,,,,,
数据来源：国家统计局
