数据库：分省年度数据
指标：规模以上工业企业利息支出(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,264.34,243.48,223.91,172.36,107.64,104.70,104.71,70.30,61.99,54.66,50.65,36.39,38.34,44.45,44.12,,,,,
天津市,241.78,224.14,202.13,158.46,101.71,85.88,103.14,60.84,44.25,49.96,45.68,44.34,47.42,5.14,65.80,,,,,
河北省,613.40,587.46,544.11,444.00,305.24,253.21,257.84,187.83,146.45,117.95,110.82,97.39,95.83,91.90,87.15,,,,,
山西省,606.00,558.27,452.98,351.71,255.35,217.07,227.12,168.73,117.49,99.09,86.55,70.92,59.68,46.03,58.37,,,,,
内蒙古自治区,465.97,399.21,352.12,261.49,191.91,157.32,152.88,100.47,76.31,59.51,41.73,33.64,34.14,32.84,35.85,,,,,
辽宁省,527.05,484.29,480.77,385.24,273.18,227.76,230.30,163.94,134.44,119.91,112.83,105.08,113.14,111.49,104.00,,,,,
吉林省,235.11,209.83,198.04,149.68,96.37,100.69,84.01,66.25,54.64,47.70,43.93,36.84,38.55,40.90,46.45,,,,,
黑龙江省,181.14,169.30,151.80,117.44,72.12,58.89,62.00,52.50,33.92,45.06,42.39,42.18,41.39,39.37,45.96,,,,,
上海市,261.05,218.81,248.16,208.47,122.78,136.99,167.95,119.94,110.76,91.02,73.43,65.42,72.15,92.29,103.61,,,,,
江苏省,1350.63,1297.51,1296.35,990.41,670.79,561.19,687.22,503.95,375.40,290.04,229.27,168.31,154.99,167.50,155.65,,,,,
浙江省,1156.97,1137.49,1161.61,973.43,675.30,570.86,661.08,517.11,365.52,295.62,232.08,158.06,125.09,112.60,102.12,,,,,
安徽省,429.89,383.96,362.77,264.02,182.58,143.20,155.93,95.49,66.28,55.85,48.08,41.42,39.68,41.62,42.09,,,,,
福建省,403.63,369.66,335.14,272.84,185.54,159.15,166.78,115.08,93.21,72.27,61.61,52.05,50.30,45.15,43.10,,,,,
江西省,198.63,181.28,162.36,133.06,93.39,78.20,88.80,57.12,46.57,39.28,32.14,32.38,31.78,30.55,33.19,,,,,
山东省,1459.80,1337.30,1252.88,949.01,717.40,640.12,642.59,526.82,364.96,301.43,232.19,179.54,169.02,153.92,147.67,,,,,
河南省,683.15,619.70,582.61,500.03,334.43,289.55,261.74,214.16,169.78,136.15,123.10,109.07,104.36,100.24,96.39,,,,,
湖北省,490.65,457.65,412.76,337.82,263.03,194.34,189.73,114.14,97.70,92.64,83.54,61.74,60.08,69.45,81.75,,,,,
湖南省,368.04,332.63,307.38,244.15,187.14,155.35,146.45,101.31,75.77,52.73,56.21,43.13,38.68,40.90,39.50,,,,,
广东省,795.58,727.26,719.80,614.60,372.38,342.85,416.41,307.05,239.45,180.42,166.28,141.23,140.69,159.25,184.86,,,,,
广西壮族自治区,239.25,224.07,212.63,168.96,128.40,116.98,116.89,65.92,48.22,40.31,35.02,30.05,28.18,29.64,30.76,,,,,
海南省,25.45,26.69,24.01,18.52,17.30,15.84,21.98,17.62,10.65,8.21,6.88,4.33,5.07,6.49,6.79,,,,,
重庆市,226.06,199.76,171.43,127.95,87.19,69.66,78.23,52.25,39.31,34.14,32.22,32.40,32.70,31.67,32.36,,,,,
四川省,706.72,574.86,497.13,387.53,263.05,207.26,197.80,160.71,116.61,100.79,92.12,89.14,85.93,83.19,79.92,,,,,
贵州省,224.14,197.02,165.87,127.18,94.03,70.85,73.52,50.43,40.91,33.89,31.89,24.11,22.83,22.61,21.11,,,,,
云南省,356.79,292.54,228.16,170.55,120.15,92.07,98.33,62.76,48.33,39.54,43.99,38.67,38.07,33.73,31.82,,,,,
西藏自治区,2.91,2.56,2.60,0.98,0.36,0.27,0.32,0.18,0.12,0.18,0.11,0.10,0.20,0.15,0.20,,,,,
陕西省,327.21,291.92,255.06,172.39,111.75,91.21,99.20,78.33,68.63,55.66,61.16,48.38,51.44,55.65,48.07,,,,,
甘肃省,219.55,190.58,184.76,114.97,74.45,57.17,55.43,41.19,35.24,31.69,28.07,24.75,27.02,24.07,22.47,,,,,
青海省,108.54,91.02,78.51,55.76,50.65,34.16,29.22,23.21,19.83,17.20,14.22,10.88,12.38,12.97,15.62,,,,,
宁夏回族自治区,129.39,105.43,105.85,76.05,48.54,36.05,39.54,29.00,19.59,13.57,13.12,12.69,11.14,9.87,8.81,,,,,
新疆维吾尔自治区,278.70,210.35,156.94,105.22,70.04,54.16,47.02,38.69,29.41,25.46,24.60,21.30,23.15,22.24,25.85,,,,,
数据来源：国家统计局
