数据库：分省年度数据
指标：规模以上工业企业本年应交增值税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,561.56,537.17,455.76,427.06,409.79,346.46,298.57,304.90,243.29,207.19,195.43,147.57,127.49,116.42,99.91,88.14,84.83,75.68,66.87,
天津市,992.37,1145.89,903.27,758.27,656.54,467.17,290.11,250.61,220.71,186.29,145.76,124.44,107.42,118.54,85.89,80.14,73.77,62.35,57.20,
河北省,1160.87,1169.76,1165.91,1062.04,872.28,743.61,751.96,590.87,474.85,378.18,318.92,246.94,194.13,172.51,151.95,135.85,121.94,,,
山西省,617.45,752.18,829.51,886.71,714.39,566.46,670.35,500.36,387.44,320.37,249.17,165.74,112.55,89.42,75.36,63.18,67.19,,,
内蒙古自治区,769.14,826.36,749.77,728.71,586.32,475.35,442.00,313.37,215.99,166.43,107.17,71.45,53.56,46.09,49.06,39.14,34.47,,,
辽宁省,1175.39,1492.37,1295.54,1047.26,968.69,765.19,664.76,565.52,418.24,336.47,294.39,245.58,210.46,194.59,191.21,155.03,145.47,,,
吉林省,655.29,632.66,541.78,450.65,355.00,293.25,227.33,214.64,166.96,135.36,133.89,110.16,99.84,90.52,86.00,67.00,58.23,,,
黑龙江省,554.51,600.24,618.42,585.85,509.51,372.46,503.49,393.57,369.88,327.93,258.72,209.60,181.41,182.21,212.64,127.19,113.87,,,
上海市,915.23,922.78,856.36,834.21,816.97,690.74,607.94,602.31,490.46,437.98,432.39,384.14,319.94,284.27,253.25,227.71,222.61,200.11,182.89,
江苏省,4633.56,4295.61,3708.77,3118.03,2692.69,2126.75,2175.35,1349.74,1019.03,805.50,678.52,542.86,456.87,423.45,377.99,315.16,274.03,,,
浙江省,1844.10,1747.94,1590.69,1536.23,1412.68,1079.28,1080.41,974.15,801.37,679.47,583.49,468.06,362.68,297.96,248.80,202.33,178.35,,,
安徽省,991.10,1023.47,909.63,800.44,672.57,522.38,451.94,304.75,232.56,183.97,156.77,125.08,102.37,91.34,88.65,82.68,69.85,,,
福建省,1076.56,992.09,869.60,701.84,555.85,443.84,409.36,343.46,272.11,206.26,182.24,143.80,113.07,99.07,91.40,74.17,66.72,,,
江西省,1014.06,874.54,675.27,554.36,439.07,333.28,357.06,219.93,168.85,117.65,95.84,71.10,56.80,51.23,45.83,38.83,37.31,,,
山东省,4022.61,3889.73,3426.20,2863.60,2545.93,2051.81,1942.87,1571.64,1247.77,1007.60,737.10,531.74,416.20,383.77,360.68,279.20,252.79,,,
河南省,1711.04,1594.74,1452.56,1397.73,1147.72,976.99,958.30,812.31,565.18,402.71,284.31,208.00,174.14,150.68,140.02,128.23,117.71,,,
湖北省,1217.24,1181.37,838.79,710.53,639.08,488.77,550.69,364.29,292.54,242.86,197.35,172.31,156.84,140.32,131.53,114.41,105.61,,,
湖南省,1247.98,1311.26,1132.62,1077.77,830.66,558.63,588.82,362.60,248.20,205.65,160.81,127.54,104.79,96.41,87.25,78.41,73.59,,,
广东省,3430.87,3343.02,2866.35,2728.46,2280.56,1736.19,2194.53,1583.61,1325.61,956.53,689.63,618.03,485.04,421.30,362.08,323.18,294.70,,,
广西壮族自治区,688.51,583.21,528.62,376.00,320.65,239.87,224.50,208.74,149.81,120.56,100.78,81.79,66.11,66.58,62.39,52.58,49.54,,,
海南省,64.89,65.26,67.97,61.74,60.46,41.76,35.74,41.58,30.37,25.34,19.32,14.12,16.24,10.21,8.53,8.22,10.05,,,
重庆市,720.36,599.19,406.39,365.58,341.75,243.25,211.93,189.40,114.78,99.10,85.49,73.78,63.93,53.45,50.78,46.57,38.12,40.15,30.93,
四川省,1297.33,1359.69,1283.83,1189.55,945.28,644.50,642.49,419.08,314.03,241.67,200.80,164.61,131.10,117.01,112.69,108.03,91.88,,,
贵州省,359.07,336.59,300.64,237.22,195.65,155.74,162.99,141.73,117.33,97.40,84.03,57.28,48.21,42.05,43.73,34.16,28.38,,,
云南省,472.75,478.02,463.85,404.80,337.57,293.64,305.87,280.41,218.45,177.68,151.21,123.90,105.83,94.18,88.52,82.94,84.03,,,
西藏自治区,7.71,8.28,7.70,6.08,5.01,3.58,4.48,4.38,3.13,2.57,2.01,1.73,1.11,1.18,1.14,1.05,0.65,,,
陕西省,948.84,938.66,893.13,720.69,584.23,403.22,427.65,297.89,247.71,186.20,145.08,101.88,80.59,66.55,63.20,54.42,43.90,,,
甘肃省,239.04,197.46,214.40,194.95,162.53,145.19,140.09,144.35,109.27,84.28,82.60,57.30,48.27,41.91,38.88,35.17,33.78,,,
青海省,81.97,98.39,87.95,83.88,80.66,46.93,60.90,52.01,40.28,29.98,21.70,15.99,14.67,12.68,13.36,11.38,7.79,,,
宁夏回族自治区,103.21,112.86,97.48,80.50,71.12,53.81,56.51,45.10,34.57,26.02,26.31,16.23,13.63,12.81,11.72,9.96,9.15,,,
新疆维吾尔自治区,404.41,349.50,327.88,312.00,261.52,180.11,251.72,203.06,166.43,125.75,91.55,64.95,50.73,49.37,50.75,41.45,36.71,,,
注：1998年至2006年，规模以上工业是指全部国有及年主营业务收入达到500万元及以上的非国有工业法人企业；从2007年开始，按照国家统计局的规定，规模以上工业的统计范围为年主营业务收入达到500万元及以上的工业法人企业；2011年经国务院批准，纳入规模以上工业统计范围的工业企业起点标准从年主营业务收入500万元提高到2000万元。
数据来源：国家统计局
