数据库：分省年度数据
指标：规模以上工业企业国家资本金(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3408.12,3055.32,2826.12,2635.71,2793.82,2678.60,2467.32,2473.98,2476.74,2352.77,2533.53,548.82,470.00,438.38,480.27,,,,,
天津市,1137.69,933.71,860.49,492.70,683.99,536.45,903.19,584.90,487.57,465.37,337.99,313.96,383.69,446.13,488.76,,,,,
河北省,1813.12,1522.45,1119.28,898.40,797.55,771.16,866.58,808.02,788.68,710.37,836.80,750.06,675.50,778.52,809.92,,,,,
山西省,1708.85,1400.64,1179.71,773.99,876.60,842.73,948.93,635.09,568.84,619.24,642.67,568.66,653.88,500.84,515.75,,,,,
内蒙古自治区,1689.75,1710.51,1053.34,815.65,674.87,607.60,629.31,522.57,414.17,345.82,288.91,363.87,415.78,374.42,348.96,,,,,
辽宁省,2112.31,1893.70,1547.56,1485.22,1644.96,1614.02,1853.02,1098.59,1089.13,1136.08,1461.93,855.41,1184.39,1180.77,1099.02,,,,,
吉林省,610.61,597.52,411.09,436.45,404.09,558.60,1013.09,469.39,401.45,426.28,643.53,345.96,385.81,361.99,475.66,,,,,
黑龙江省,554.15,462.60,575.53,408.16,335.30,414.45,653.84,669.58,459.29,460.85,443.78,503.68,490.24,850.85,802.98,,,,,
上海市,1337.45,1195.16,1195.87,1010.27,448.98,485.27,431.21,528.03,572.51,532.68,450.08,428.17,455.92,1047.93,881.10,,,,,
江苏省,1761.90,1646.98,1371.77,956.25,844.06,711.41,842.80,487.34,489.58,448.93,547.09,712.05,622.45,688.77,673.61,,,,,
浙江省,873.76,887.93,732.76,532.77,513.81,500.82,462.77,274.54,301.19,410.24,334.99,345.25,316.43,313.88,301.57,,,,,
安徽省,1360.19,1120.79,817.76,706.04,574.62,550.69,558.81,417.31,472.42,454.92,465.00,531.92,478.22,468.05,452.02,,,,,
福建省,628.30,548.44,486.52,333.86,311.26,361.15,397.97,303.13,288.94,290.99,293.53,293.61,228.02,233.63,220.86,,,,,
江西省,451.38,364.59,311.64,291.02,261.03,278.00,311.03,267.73,229.25,191.62,301.96,245.04,256.55,280.50,237.26,,,,,
山东省,2607.52,2230.53,2140.50,1790.97,1713.27,1567.76,888.21,875.53,874.01,1024.71,1268.90,1172.78,1130.34,1109.81,1040.92,,,,,
河南省,1266.10,1034.27,764.64,612.20,685.06,839.04,1058.57,580.86,760.43,635.46,673.20,634.69,649.16,565.05,531.27,,,,,
湖北省,1607.76,1572.25,1372.05,1048.25,891.67,2186.47,1807.49,1456.03,1336.21,1062.65,1107.43,886.25,587.41,620.06,633.13,,,,,
湖南省,808.26,734.93,563.04,378.17,467.02,388.57,379.41,389.83,456.28,350.75,399.03,313.67,343.25,342.91,362.99,,,,,
广东省,2243.20,2075.52,2130.80,1034.29,1178.50,1141.26,1310.05,1262.54,1119.70,470.41,493.44,767.49,862.68,646.92,714.24,,,,,
广西壮族自治区,683.80,587.53,445.95,262.28,330.39,279.99,214.18,289.40,251.10,241.42,257.04,282.77,288.68,343.60,279.85,,,,,
海南省,69.68,188.46,79.56,40.57,96.19,24.06,22.41,65.62,87.23,71.29,64.18,58.84,64.26,65.75,59.46,,,,,
重庆市,469.45,390.66,345.78,199.13,213.44,206.26,171.63,146.91,142.87,176.68,195.85,160.91,208.63,219.30,252.67,,,,,
四川省,1375.20,951.85,793.84,674.92,835.42,564.63,1000.97,405.94,562.67,521.45,632.10,453.27,458.43,401.04,514.28,,,,,
贵州省,794.24,633.74,484.06,301.29,331.66,434.59,333.59,238.07,217.22,223.59,331.17,309.97,243.70,251.86,216.44,,,,,
云南省,823.21,855.28,456.91,359.97,265.73,333.37,283.32,347.09,397.96,302.71,315.06,322.71,299.98,310.93,297.84,,,,,
西藏自治区,50.43,49.25,44.59,32.30,27.10,23.11,26.90,6.01,43.14,50.03,55.97,43.22,22.00,22.37,21.88,,,,,
陕西省,3281.16,2863.02,2351.45,1906.30,550.23,859.91,1159.20,395.86,392.05,447.36,485.58,496.55,476.65,517.16,345.16,,,,,
甘肃省,1413.22,1037.03,875.42,811.92,599.58,583.62,871.93,485.95,422.71,385.81,479.09,312.98,299.56,240.40,349.13,,,,,
青海省,332.74,284.58,228.00,154.61,80.39,98.49,113.64,97.67,84.08,73.47,80.41,81.03,44.98,77.57,94.58,,,,,
宁夏回族自治区,366.19,306.59,205.22,167.78,164.50,139.97,153.32,147.94,108.84,118.74,111.23,89.70,93.37,89.08,87.97,,,,,
新疆维吾尔自治区,1830.50,1559.15,1456.70,1049.95,809.30,738.96,724.57,857.47,637.26,549.14,415.38,367.84,442.92,417.83,372.22,,,,,
数据来源：国家统计局
