数据库：分省年度数据
指标：国有控股工业企业产成品(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,313.38,289.19,286.56,302.09,230.99,193.28,189.65,185.09,165.28,173.90,162.31,107.57,113.80,127.55,131.85,,,,,
天津市,441.04,410.83,377.10,332.58,232.79,196.42,189.79,136.79,115.98,101.04,90.46,84.69,84.90,100.48,92.07,,,,,
河北省,457.17,410.34,366.19,359.84,293.76,254.87,244.32,174.85,165.90,174.34,157.96,156.38,163.02,170.73,173.67,,,,,
山西省,377.10,347.85,307.50,341.48,246.69,195.30,233.04,209.17,167.49,137.70,111.52,89.18,89.83,85.92,90.76,,,,,
内蒙古自治区,260.39,225.48,224.60,187.92,126.99,86.33,107.94,64.40,73.60,67.82,46.01,45.12,54.23,52.69,52.81,,,,,
辽宁省,529.02,489.10,483.37,478.20,386.19,332.37,356.96,316.91,271.16,219.39,241.45,191.53,190.61,213.49,194.20,,,,,
吉林省,310.06,267.31,188.21,151.86,155.02,147.54,207.55,143.15,82.48,74.97,74.40,92.83,95.99,108.46,114.78,,,,,
黑龙江省,234.35,252.31,225.06,187.70,196.66,148.94,160.92,138.46,138.63,115.02,121.89,110.15,114.03,121.66,142.42,,,,,
上海市,368.91,326.76,326.02,445.22,332.43,292.84,375.16,236.69,221.79,232.36,210.55,166.32,163.84,164.28,177.50,,,,,
江苏省,422.74,396.70,364.26,358.69,280.29,213.71,207.71,174.16,179.59,162.80,161.06,174.88,185.37,196.05,213.93,,,,,
浙江省,211.91,171.38,169.55,162.66,132.43,120.36,103.19,108.99,89.98,94.37,74.13,79.80,75.97,72.41,79.47,,,,,
安徽省,307.25,255.35,249.78,206.31,176.80,173.28,116.45,93.35,89.14,92.36,80.55,67.34,69.41,73.58,73.92,,,,,
福建省,122.58,110.59,107.34,86.47,77.15,76.30,64.19,60.01,59.50,49.22,46.98,41.74,46.40,46.43,50.52,,,,,
江西省,166.53,151.16,132.72,138.50,116.30,92.69,84.56,84.25,92.50,57.08,52.95,54.88,55.32,61.60,69.80,,,,,
山东省,729.01,686.12,639.45,623.14,504.43,384.67,411.58,335.49,300.28,285.28,246.77,269.56,245.09,259.66,264.80,,,,,
河南省,358.22,347.18,350.89,309.62,227.27,208.28,207.08,191.42,149.83,165.63,155.50,172.86,178.94,185.70,187.37,,,,,
湖北省,603.28,490.31,378.15,376.06,321.63,273.37,219.26,185.24,166.00,128.53,114.60,121.17,239.24,128.17,139.41,,,,,
湖南省,278.12,222.25,268.54,219.71,205.34,150.32,133.72,143.06,104.70,76.38,72.48,69.98,82.66,90.76,90.92,,,,,
广东省,497.38,368.19,371.82,338.09,289.15,210.53,337.68,222.63,177.77,198.29,195.63,201.25,154.45,195.52,207.94,,,,,
广西壮族自治区,220.83,207.71,260.09,177.38,178.06,133.59,100.79,93.49,74.59,57.56,62.36,52.72,56.94,61.95,64.76,,,,,
海南省,15.31,7.91,5.80,6.31,9.52,7.47,7.04,14.75,9.59,5.71,6.14,7.72,8.77,10.86,9.79,,,,,
重庆市,183.72,141.91,146.83,143.52,124.91,116.57,109.25,100.19,86.93,65.93,65.26,54.62,57.56,53.44,58.32,,,,,
四川省,351.58,359.40,309.11,280.36,247.59,209.03,198.05,178.51,164.87,140.08,87.18,122.51,129.22,148.44,153.69,,,,,
贵州省,147.16,126.46,127.28,126.45,96.56,86.11,106.11,60.77,55.88,50.91,50.37,47.39,54.45,68.27,72.78,,,,,
云南省,250.99,220.58,253.23,197.10,147.92,123.18,108.99,114.67,103.56,76.10,64.82,98.16,55.56,54.35,53.34,,,,,
西藏自治区,1.97,0.96,1.32,2.10,1.30,0.79,1.06,0.71,0.88,1.56,1.69,1.72,1.53,1.13,1.60,,,,,
陕西省,509.69,464.44,452.31,407.38,313.60,247.54,224.69,183.59,146.74,110.17,107.09,106.30,104.05,115.32,116.17,,,,,
甘肃省,302.61,408.78,355.90,252.83,235.87,168.69,123.88,113.79,83.86,68.24,70.03,65.89,61.49,74.55,75.60,,,,,
青海省,45.24,46.82,37.15,26.88,34.02,50.82,14.78,5.87,21.04,12.58,10.24,9.85,8.65,11.76,12.15,,,,,
宁夏回族自治区,62.19,55.53,66.88,61.37,38.28,23.40,45.82,15.71,16.31,20.06,14.89,18.54,19.42,18.24,16.66,,,,,
新疆维吾尔自治区,198.81,199.54,177.84,172.39,149.79,138.72,103.49,80.42,55.03,62.65,68.71,57.56,55.32,59.40,59.03,,,,,
数据来源：国家统计局
