数据库：分省年度数据
指标：国有控股工业企业实收资本(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,5114.09,4936.62,5405.99,5076.10,4556.70,4369.01,4134.20,3737.62,3701.86,3751.32,3927.05,956.97,1018.02,956.96,855.42,741.22,,,,
天津市,2306.49,2164.57,2052.16,1620.27,1608.32,1375.02,1586.95,1195.70,999.17,955.78,944.20,675.96,689.00,657.44,602.13,483.39,,,,
河北省,2952.35,2844.26,2654.10,2513.92,2188.02,1996.51,1596.24,1349.21,1266.26,1117.19,1086.52,1088.41,985.60,1007.38,950.10,832.86,,,,
山西省,2623.46,2497.24,2315.49,2031.21,1841.53,1646.00,1476.53,1156.96,1022.95,927.50,920.62,820.11,857.59,724.82,648.53,512.15,,,,
内蒙古自治区,2915.33,2517.94,2070.30,1887.80,1510.91,1353.34,1242.21,1012.51,840.98,669.79,590.36,558.02,584.59,520.65,485.00,433.24,,,,
辽宁省,3505.98,3264.41,2843.75,2987.65,2903.62,2968.59,2937.65,2038.84,1923.99,1931.09,2153.52,1480.78,1677.39,1646.42,1477.57,1245.52,,,,
吉林省,1038.27,1352.00,972.34,1065.61,1007.34,1156.25,1465.45,998.67,926.13,833.85,986.06,648.78,660.00,703.88,593.03,595.86,,,,
黑龙江省,1424.38,1301.90,1412.71,1373.87,1335.95,1204.95,1470.19,1410.82,1330.22,1183.69,1288.40,1221.48,1200.78,1014.94,1061.64,599.25,,,,
上海市,2904.66,2905.61,2744.86,2513.46,2412.14,2545.72,2355.81,2206.52,2181.52,2137.33,1986.84,1760.52,1683.72,2144.57,1962.06,1679.33,,,,
江苏省,3074.91,3051.69,2740.05,2375.16,2194.54,2052.42,1837.10,1539.41,1354.68,1138.50,1130.26,1139.06,1135.37,1177.95,1125.70,1059.04,,,,
浙江省,1966.06,1716.03,1607.88,1272.03,1234.04,1037.37,1026.77,863.89,711.27,686.26,683.38,569.65,515.98,513.82,526.34,653.29,,,,
安徽省,2214.79,1835.26,1687.98,1439.51,1339.05,1051.56,1033.45,761.53,734.07,688.95,643.49,694.47,644.98,633.63,591.98,563.86,,,,
福建省,1389.66,1210.60,963.53,715.64,723.13,684.78,701.18,562.43,444.94,431.42,427.74,385.52,370.01,361.14,342.51,311.57,,,,
江西省,698.33,716.16,634.02,579.82,529.81,456.53,473.78,432.76,393.07,396.37,495.16,388.40,379.03,385.42,330.00,296.78,,,,
山东省,4054.66,3614.54,3875.23,3487.62,2915.72,2656.82,2529.62,1858.29,1758.75,1587.66,1609.66,1675.55,1530.74,1493.93,1337.95,1154.26,,,,
河南省,2062.82,1987.41,1905.82,1864.14,1658.17,1590.07,1710.49,1177.86,1281.79,1122.14,1134.20,1088.97,1027.51,886.31,791.95,766.02,,,,
湖北省,2211.23,2182.89,1922.30,1899.01,1733.85,2976.43,2532.44,2235.25,1828.06,1608.95,1550.50,1210.44,1000.68,994.81,909.98,832.13,,,,
湖南省,1393.08,1311.81,1215.40,1119.70,967.22,739.28,770.09,644.88,648.21,530.98,646.28,513.20,517.38,475.74,449.59,402.82,,,,
广东省,4368.72,4116.81,4677.64,3394.32,3368.32,3114.47,3322.87,2610.80,2558.97,1692.92,1720.49,1456.96,1447.40,1268.40,1194.57,1232.27,,,,
广西壮族自治区,1146.01,1078.96,999.55,833.09,790.69,623.35,568.80,505.76,419.48,404.98,393.63,306.74,328.25,363.34,312.66,299.06,,,,
海南省,149.22,217.16,141.48,127.10,152.95,130.56,95.35,135.40,144.09,117.37,109.77,113.60,102.10,97.15,88.63,81.90,,,,
重庆市,1086.01,1002.80,891.82,821.62,741.99,679.51,633.54,552.72,522.41,482.97,476.96,449.49,469.46,457.54,468.49,406.36,,,,
四川省,2784.62,3398.65,2109.16,2047.99,2167.54,1550.13,1773.02,1115.17,964.40,904.33,821.98,819.35,741.12,670.39,743.78,661.09,,,,
贵州省,1200.49,1078.45,928.74,819.49,728.61,701.08,593.31,445.55,475.16,438.50,507.64,458.28,353.40,365.33,283.77,263.53,,,,
云南省,1944.89,1508.04,1233.14,1159.22,1033.69,1007.41,885.47,806.12,655.24,579.03,601.21,488.77,457.23,436.27,411.85,384.82,,,,
西藏自治区,82.71,82.78,80.87,65.56,52.79,44.67,63.27,41.17,44.71,53.72,59.25,43.18,44.22,45.82,43.66,28.11,,,,
陕西省,4288.36,3910.26,3434.45,2777.04,1473.27,1459.80,1810.68,1004.22,800.77,710.31,644.29,601.50,585.23,703.81,576.68,421.68,,,,
甘肃省,1736.67,1693.69,1398.73,1405.96,1121.48,1079.28,1067.91,875.82,758.21,679.43,663.33,496.82,442.35,381.96,379.91,315.49,,,,
青海省,435.82,397.38,304.64,327.52,312.77,296.64,250.76,225.24,208.04,189.26,159.31,199.78,166.61,151.06,120.96,116.79,,,,
宁夏回族自治区,597.15,473.18,447.83,412.30,361.40,302.10,257.58,188.77,186.81,153.04,150.75,128.45,117.26,97.88,99.38,98.43,,,,
新疆维吾尔自治区,3461.09,3021.77,2745.05,2589.75,2031.16,1972.53,1773.67,1482.64,1142.11,845.32,597.08,578.83,535.47,441.92,390.34,367.73,,,,
数据来源：国家统计局
