数据库：分省年度数据
指标：国有控股工业企业主营业务成本(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,9763.46,9351.75,8584.08,7769.23,6806.17,5479.86,4988.71,4444.33,3762.96,3406.42,3004.04,1726.52,1562.67,1617.17,1581.80,1299.86,,,,
天津市,7729.45,7891.52,7247.55,7142.81,6117.74,4680.47,4390.03,3292.70,2854.77,2257.75,1746.39,1363.90,1023.39,911.68,816.65,640.95,,,,
河北省,9548.70,9899.21,10493.85,10047.34,8684.35,6515.27,6026.68,4643.31,3637.93,3388.22,2859.21,2237.65,1837.36,1705.66,1580.21,1393.69,,,,
山西省,8791.34,8538.41,8565.46,7277.86,5510.31,4222.38,4228.85,3169.49,2338.92,1974.50,1501.18,1106.95,840.00,736.44,637.41,554.63,,,,
内蒙古自治区,4918.47,5151.07,4692.81,4588.07,3341.22,2858.36,2706.58,1756.08,1589.72,1271.09,958.87,681.26,579.94,521.97,490.67,453.97,,,,
辽宁省,10918.50,10589.55,11210.38,11489.25,9979.77,8301.56,8986.81,6952.98,5758.78,5265.79,4216.31,3262.95,2770.84,2677.06,2519.54,1975.65,,,,
吉林省,7320.76,6983.80,6605.93,5980.90,4531.03,3750.71,3415.75,2790.83,2322.10,2123.45,1881.89,1698.10,1418.31,1197.59,1055.06,861.80,,,,
黑龙江省,4818.59,4759.29,4580.22,4417.08,4229.89,3531.02,3697.51,3211.75,2944.95,2300.13,1933.48,1504.05,1340.11,1287.84,1235.58,999.28,,,,
上海市,11245.38,11178.35,11231.61,11368.05,10494.16,8455.24,8648.57,7291.19,6340.55,5439.38,4483.89,3864.39,3057.76,2993.30,2711.52,2370.85,,,,
江苏省,12866.15,12552.51,11331.27,10126.34,8239.49,6642.63,6761.51,5656.82,5096.93,4279.24,3342.15,3249.26,2917.15,2826.67,2733.65,2381.53,,,,
浙江省,7884.81,7617.56,7233.91,7008.40,5778.54,4577.89,4893.36,4021.58,3524.53,3317.26,2353.83,1777.22,1380.31,1210.55,1247.07,1081.19,,,,
安徽省,8300.68,8745.53,7822.33,7323.41,5777.14,4396.73,4233.54,3012.60,2427.18,2009.52,1568.67,1164.79,968.35,899.85,903.33,825.02,,,,
福建省,4029.25,3484.81,3321.22,2734.72,2514.97,1844.43,1805.81,1527.89,1408.36,1273.30,1073.87,857.84,724.60,669.14,656.30,590.03,,,,
江西省,5540.23,5340.47,4685.80,4117.82,3308.70,2343.37,2391.53,2074.36,1624.96,1294.42,1081.32,821.15,694.82,609.01,586.83,537.29,,,,
山东省,18718.12,18542.45,18185.97,16447.04,14440.11,10966.40,11148.23,8911.31,7676.58,6196.85,5081.41,4543.93,3626.50,3210.78,2976.67,2526.96,,,,
河南省,9558.04,9712.17,9908.90,9539.55,7954.09,6621.25,6149.19,5344.27,3915.75,3391.21,2619.62,2336.05,1827.12,1644.22,1481.09,1340.62,,,,
湖北省,9610.92,9821.70,8948.69,8771.48,7469.94,5540.12,4902.84,3772.44,2978.93,2385.37,2142.16,1891.44,1643.71,1583.41,1469.28,1307.39,,,,
湖南省,5424.03,5608.59,5402.92,5195.56,4301.98,3039.25,2991.69,2525.11,1996.52,1624.16,1458.98,1132.21,906.49,824.44,823.21,702.04,,,,
广东省,14796.78,14241.26,13207.11,11733.76,10909.07,8582.39,9026.61,6679.91,5682.73,5294.21,5013.44,3867.37,3043.10,3062.08,2924.01,2525.27,,,,
广西壮族自治区,4795.95,4528.66,4254.31,3769.63,3004.49,2316.83,1868.78,1507.93,1224.12,1028.19,905.98,638.50,574.91,515.90,521.02,494.42,,,,
海南省,247.97,262.48,283.16,234.57,274.85,212.25,217.86,240.33,192.41,178.74,176.15,168.85,126.07,101.48,97.38,100.23,,,,
重庆市,4082.05,3699.58,3285.85,3164.84,2772.94,2166.49,1991.18,1690.87,1358.43,1081.73,919.12,701.44,603.69,538.61,534.78,501.40,,,,
四川省,8099.70,7719.30,6962.15,6308.18,5132.85,4222.25,3874.58,3096.90,2471.32,1969.58,1507.94,1369.91,1153.43,1046.76,984.68,951.09,,,,
贵州省,2813.05,2578.80,2421.42,2198.01,1831.69,1596.77,1396.11,1221.55,1013.28,838.80,695.50,529.71,431.67,389.17,346.78,322.69,,,,
云南省,4128.00,3829.83,3495.69,3182.59,2751.80,2063.37,2054.54,1831.58,1446.80,1110.50,878.35,696.75,625.73,564.43,514.39,480.56,,,,
西藏自治区,50.62,54.53,53.84,43.27,30.48,21.46,18.44,12.67,11.31,12.96,12.33,11.54,9.82,9.45,7.53,7.41,,,,
陕西省,8326.45,7953.21,7293.42,6064.81,4873.66,3781.35,3613.92,2950.81,2376.30,1610.70,1382.47,1010.06,891.65,792.53,688.25,580.73,,,,
甘肃省,6476.28,6056.44,5378.46,4553.76,3453.56,2612.40,2593.12,2149.19,1725.90,1200.12,1038.15,747.82,579.38,525.54,533.39,433.22,,,,
青海省,903.72,802.38,720.85,701.92,693.32,566.05,519.43,396.85,377.87,265.24,221.29,177.76,151.48,139.34,141.25,111.61,,,,
宁夏回族自治区,1302.93,1336.09,1317.28,983.52,794.69,557.61,529.69,435.85,381.68,298.47,251.48,211.38,168.72,169.09,150.08,128.73,,,,
新疆维吾尔自治区,4399.32,4373.43,3873.92,3500.03,2724.43,2124.32,2432.71,1901.60,1495.21,1215.09,878.47,636.85,568.94,541.31,524.22,439.01,,,,
数据来源：国家统计局
