数据库：分省年度数据
指标：国有控股工业企业销售费用(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,243.84,234.74,212.95,193.57,157.19,122.73,109.30,103.26,88.02,92.51,93.36,61.15,60.26,64.51,57.77,,,,,
天津市,70.07,68.85,65.13,55.20,47.35,43.54,46.77,68.93,48.99,40.35,36.85,39.29,33.35,28.54,22.17,,,,,
河北省,144.53,138.16,125.14,114.88,99.29,86.24,79.83,78.81,65.27,71.92,65.65,59.87,52.82,52.66,50.46,,,,,
山西省,358.24,340.07,308.16,260.04,216.48,178.05,184.89,181.23,146.85,99.04,93.29,78.38,71.69,66.53,36.41,,,,,
内蒙古自治区,126.31,151.90,129.52,119.24,102.69,109.15,82.30,52.56,53.90,53.81,34.15,18.89,34.72,31.28,24.68,,,,,
辽宁省,274.74,171.62,223.21,178.68,160.82,136.09,145.16,124.77,98.79,85.39,67.74,65.00,67.46,58.45,55.41,,,,,
吉林省,333.82,322.82,284.82,144.80,131.98,92.65,101.17,68.48,59.39,48.82,36.22,50.08,41.01,32.06,29.16,,,,,
黑龙江省,99.13,107.31,106.70,101.79,96.65,65.47,81.69,93.37,75.37,62.13,54.10,55.01,41.70,39.11,45.76,,,,,
上海市,257.01,240.38,229.63,284.89,262.43,203.75,178.86,186.90,150.99,133.95,121.74,101.38,89.64,90.48,84.15,,,,,
江苏省,244.68,239.79,204.75,169.05,144.88,124.62,120.81,110.23,116.23,104.27,89.84,103.17,95.10,86.16,82.08,,,,,
浙江省,111.66,115.33,95.08,89.53,69.01,56.63,50.42,54.72,50.49,46.73,38.03,67.51,55.72,46.66,40.26,,,,,
安徽省,173.54,168.44,157.90,143.73,141.55,118.38,90.13,83.88,60.19,58.02,46.94,44.15,42.96,36.13,35.82,,,,,
福建省,57.71,65.91,54.67,49.75,41.36,31.81,36.70,38.99,42.56,44.93,43.60,45.87,38.15,29.75,24.32,,,,,
江西省,94.04,80.03,70.62,68.72,66.18,56.54,51.76,45.60,39.59,34.00,30.64,29.79,28.29,24.39,22.16,,,,,
山东省,372.42,355.39,391.48,374.63,327.12,270.16,254.61,221.84,190.47,174.43,155.93,158.09,137.10,129.66,110.02,,,,,
河南省,147.71,149.95,151.96,144.94,117.55,96.32,93.18,90.16,80.80,76.73,66.04,73.35,65.20,61.76,51.43,,,,,
湖北省,317.72,310.83,242.23,234.45,197.52,146.82,129.17,123.04,92.55,74.22,68.16,91.85,74.18,61.60,56.90,,,,,
湖南省,160.66,158.67,147.04,130.89,115.78,85.49,83.99,67.87,57.89,49.56,45.96,43.03,40.30,36.54,30.62,,,,,
广东省,756.48,649.91,524.54,400.68,361.36,282.39,238.55,170.72,128.97,157.67,162.87,157.77,101.92,119.78,98.97,,,,,
广西壮族自治区,117.68,109.22,95.94,88.60,98.24,80.87,49.23,44.44,35.46,25.14,35.06,31.02,25.57,23.11,23.30,,,,,
海南省,4.49,5.71,5.03,4.04,6.11,3.78,3.66,4.52,4.32,6.72,9.55,9.56,9.75,9.89,7.90,,,,,
重庆市,200.63,167.90,141.98,119.18,135.35,117.62,94.42,92.72,72.16,57.76,73.55,44.03,39.34,35.93,32.53,,,,,
四川省,257.91,250.77,227.66,210.08,180.37,160.93,130.93,115.92,100.48,87.39,56.97,70.76,66.96,63.59,59.06,,,,,
贵州省,88.28,84.21,76.90,68.53,60.80,51.27,44.84,40.69,33.18,32.54,28.38,26.65,24.41,19.95,17.89,,,,,
云南省,112.84,118.16,114.95,113.96,109.14,78.22,68.38,56.90,50.29,43.18,39.40,39.33,38.88,25.58,17.30,,,,,
西藏自治区,0.93,1.49,1.32,1.47,0.73,0.51,0.44,0.43,0.55,1.02,1.51,1.04,0.62,0.64,0.72,,,,,
陕西省,194.30,176.45,167.78,146.18,114.09,95.19,83.69,66.82,51.70,39.12,38.21,37.91,33.58,29.38,25.60,,,,,
甘肃省,83.21,80.39,106.51,133.94,65.51,49.17,44.99,39.29,35.65,28.57,24.14,19.45,14.87,11.71,12.12,,,,,
青海省,36.36,29.28,30.51,24.62,19.93,14.75,11.88,7.98,7.01,5.72,5.18,4.75,4.96,4.07,3.98,,,,,
宁夏回族自治区,17.64,19.45,20.78,17.11,19.31,30.47,9.84,7.65,6.56,6.89,6.70,6.21,5.25,4.47,3.98,,,,,
新疆维吾尔自治区,94.34,88.09,79.53,68.71,72.73,52.49,51.52,44.88,36.59,27.16,22.49,34.12,31.68,35.70,15.15,,,,,
数据来源：国家统计局
