数据库：分省年度数据
指标：国有控股工业企业财务费用(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,169.82,172.32,167.51,120.78,97.32,92.57,82.81,50.02,39.87,40.29,42.31,31.18,33.50,35.71,36.97,,,,,
天津市,132.09,113.15,108.02,82.09,64.01,55.15,57.74,39.55,27.53,21.99,23.11,31.43,34.55,37.05,39.88,,,,,
河北省,284.29,265.19,256.82,223.35,166.67,130.60,132.96,93.42,74.01,68.06,65.24,66.94,69.95,63.38,63.85,,,,,
山西省,388.48,322.04,275.98,211.61,164.96,142.66,147.22,97.06,72.14,50.95,55.91,53.87,49.24,40.85,52.59,,,,,
内蒙古自治区,274.43,211.43,195.22,160.11,97.48,98.61,109.62,64.43,50.36,31.67,31.52,33.03,30.94,29.42,33.03,,,,,
辽宁省,279.86,217.08,241.36,160.21,133.36,118.37,115.45,80.65,62.76,60.11,70.85,75.68,85.76,82.52,78.91,,,,,
吉林省,100.66,98.18,102.98,76.21,44.62,66.49,50.81,26.29,33.84,29.70,31.87,33.52,34.68,40.25,53.01,,,,,
黑龙江省,87.81,84.55,69.87,49.04,45.46,43.05,38.81,31.23,22.88,25.60,31.58,33.67,34.83,33.00,37.88,,,,,
上海市,10.48,-6.96,31.22,23.27,34.21,60.03,64.98,34.90,36.13,32.62,35.56,43.09,49.27,47.75,59.81,,,,,
江苏省,183.26,175.13,191.20,138.45,100.81,105.27,116.22,84.70,78.15,60.80,54.09,55.28,62.41,56.98,64.41,,,,,
浙江省,138.02,116.73,124.67,106.16,96.50,92.76,104.41,77.61,70.37,62.17,54.63,29.82,29.68,32.60,21.97,,,,,
安徽省,202.36,166.72,174.08,133.42,98.72,92.08,99.08,59.74,41.09,33.40,30.83,29.28,25.84,30.23,30.76,,,,,
福建省,116.54,95.23,96.77,66.50,61.67,51.47,50.06,41.18,31.91,24.87,25.37,19.65,23.63,24.69,23.95,,,,,
江西省,67.34,61.39,59.89,56.51,48.86,40.48,51.01,35.22,30.06,22.86,25.10,30.26,29.67,27.24,29.32,,,,,
山东省,369.02,328.73,313.96,276.04,219.96,196.65,218.43,169.49,137.50,102.08,97.52,99.48,100.61,92.38,89.01,,,,,
河南省,267.52,245.45,242.21,213.41,158.05,152.75,144.50,114.79,93.39,79.33,78.45,79.32,75.45,67.87,63.15,,,,,
湖北省,196.32,174.67,187.67,171.79,148.48,118.02,111.83,71.18,66.17,60.22,68.11,51.67,50.79,57.83,67.34,,,,,
湖南省,153.80,126.55,137.26,110.08,90.36,73.83,91.94,69.66,47.97,30.27,39.61,30.61,30.89,29.73,30.21,,,,,
广东省,220.19,201.93,233.57,193.03,144.31,134.24,131.21,92.23,86.77,76.46,81.58,73.95,72.23,74.53,84.07,,,,,
广西壮族自治区,111.56,100.61,103.47,87.38,76.56,71.64,74.91,39.63,27.89,23.19,21.88,20.46,20.35,19.60,24.80,,,,,
海南省,8.79,10.59,9.45,7.18,6.43,4.96,5.17,5.29,4.13,3.99,5.14,3.83,4.51,3.73,5.47,,,,,
重庆市,106.35,84.70,81.43,59.61,46.56,41.53,42.45,31.42,25.03,17.64,22.38,28.19,27.31,24.99,24.60,,,,,
四川省,339.84,245.77,210.67,162.69,116.79,94.77,117.20,83.51,66.56,47.14,49.84,58.32,62.50,62.90,59.91,,,,,
贵州省,160.37,133.92,122.81,90.88,74.82,59.63,60.98,40.15,32.73,29.86,27.00,23.03,21.04,19.26,19.97,,,,,
云南省,252.07,184.63,141.11,104.55,82.72,61.03,60.78,42.84,30.90,25.13,33.31,31.48,31.55,29.51,26.02,,,,,
西藏自治区,1.37,1.26,1.84,0.60,0.08,0.11,0.22,0.04,0.04,0.17,0.10,0.07,0.21,0.22,0.27,,,,,
陕西省,230.34,200.66,170.58,107.80,84.67,71.12,63.88,45.11,45.37,37.34,44.12,40.53,46.23,45.15,41.56,,,,,
甘肃省,163.97,124.22,129.97,89.73,59.09,45.95,44.11,33.77,30.39,26.78,22.54,22.61,23.09,21.61,20.81,,,,,
青海省,79.49,66.97,55.89,43.84,39.85,27.87,26.21,22.73,16.59,14.44,15.23,9.74,10.77,12.45,14.65,,,,,
宁夏回族自治区,71.80,61.01,65.64,44.72,30.42,23.87,26.61,17.63,11.93,9.71,8.07,9.20,8.73,8.15,8.66,,,,,
新疆维吾尔自治区,163.43,129.35,93.26,59.84,47.44,41.48,36.01,28.71,22.32,17.89,16.50,17.07,21.06,18.48,21.96,,,,,
数据来源：国家统计局
