数据库：分省年度数据
指标：国有控股工业企业本年应交增值税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,313.86,291.01,246.94,252.26,221.18,185.42,158.80,174.19,132.03,124.65,124.30,84.79,74.68,71.44,70.21,67.10,,,,
天津市,284.07,374.97,348.44,353.31,359.80,300.33,158.63,144.00,128.10,105.89,77.47,69.94,54.02,55.80,41.20,42.26,,,,
河北省,357.22,376.33,410.78,378.96,308.60,275.21,295.00,256.31,213.70,183.21,170.62,151.67,127.19,121.03,109.10,98.49,,,,
山西省,392.45,483.77,534.03,547.49,444.61,360.06,336.50,259.87,212.23,171.49,129.01,106.49,79.90,67.98,58.61,47.39,,,,
内蒙古自治区,287.85,318.44,325.32,324.53,254.03,213.07,221.91,165.77,130.02,102.31,70.25,50.72,44.10,38.82,41.58,35.67,,,,
辽宁省,379.69,402.39,429.71,404.60,375.28,281.73,298.86,292.15,232.09,215.84,192.73,169.12,154.29,143.97,143.90,120.19,,,,
吉林省,370.89,331.82,271.53,240.80,211.07,176.36,134.60,143.80,116.47,98.93,104.19,91.79,82.64,76.61,74.78,58.07,,,,
黑龙江省,402.48,399.01,434.78,435.58,375.32,256.94,389.32,329.02,322.80,281.77,221.36,185.45,159.54,164.95,197.90,115.19,,,,
上海市,503.29,521.27,438.16,449.65,449.37,359.97,288.22,335.10,267.31,244.55,243.74,228.77,195.50,173.03,160.59,147.48,,,,
江苏省,651.63,633.01,563.91,490.02,434.55,323.86,329.69,291.66,259.58,212.89,178.80,164.03,149.72,150.63,141.60,129.51,,,,
浙江省,352.68,371.97,347.63,330.89,275.26,211.83,206.01,210.21,176.59,163.93,128.43,114.24,90.29,79.20,70.64,66.97,,,,
安徽省,317.56,359.25,361.66,366.19,353.79,266.49,236.69,180.33,141.78,120.28,102.04,83.92,69.15,65.06,66.58,64.47,,,,
福建省,187.21,173.76,155.62,119.68,107.74,83.01,94.59,92.59,74.74,68.73,57.24,57.35,52.45,47.20,44.40,41.61,,,,
江西省,170.97,175.61,150.97,142.93,118.72,104.51,107.58,95.08,93.69,69.19,61.78,52.48,46.01,42.23,38.96,33.97,,,,
山东省,834.66,853.01,824.61,758.48,680.34,541.33,589.04,506.02,446.60,346.22,305.09,264.88,217.77,216.09,220.55,168.57,,,,
河南省,372.22,375.80,379.63,396.17,328.94,300.32,292.10,286.16,235.15,190.42,158.96,138.09,115.74,103.78,95.28,91.18,,,,
湖北省,487.50,417.53,322.36,333.32,331.09,254.20,272.57,235.25,188.89,154.02,134.71,123.98,110.91,103.80,98.61,84.53,,,,
湖南省,341.65,368.60,341.04,316.24,294.31,223.92,248.31,193.11,132.71,116.37,102.46,85.98,76.09,71.46,67.48,61.10,,,,
广东省,1026.56,1012.16,843.90,656.75,582.75,408.43,631.27,442.55,369.87,283.51,233.33,224.61,186.57,173.71,138.20,142.76,,,,
广西壮族自治区,314.42,237.52,229.23,150.67,150.41,127.87,104.06,104.34,84.28,70.57,63.00,54.87,45.57,45.90,47.50,41.07,,,,
海南省,25.55,21.25,20.76,14.94,12.69,9.34,13.75,15.85,14.31,15.26,10.82,9.23,11.57,6.79,5.94,6.14,,,,
重庆市,223.88,191.58,148.37,153.76,167.48,118.65,108.57,115.61,71.10,62.27,57.28,51.40,47.00,38.53,39.29,37.13,,,,
四川省,389.16,421.65,400.41,359.19,327.43,227.63,218.32,184.51,159.88,127.49,108.71,101.21,84.50,80.01,78.87,81.29,,,,
贵州省,199.53,187.43,176.68,144.08,116.28,99.91,105.39,101.97,86.35,73.66,62.33,45.23,39.55,35.84,38.36,30.22,,,,
云南省,348.78,323.97,317.73,281.16,229.89,202.99,202.68,194.96,146.81,129.63,116.92,102.11,90.93,81.07,77.03,73.54,,,,
西藏自治区,1.53,3.18,3.79,3.56,2.14,1.51,2.41,2.23,1.71,1.89,1.60,1.40,0.99,0.92,0.92,0.85,,,,
陕西省,613.21,626.59,606.76,474.60,395.74,259.90,315.93,226.08,191.45,136.72,109.78,79.11,63.25,51.78,50.03,43.76,,,,
甘肃省,205.09,166.02,181.49,164.61,136.47,123.45,111.71,122.29,92.21,71.01,69.53,49.86,42.03,35.57,33.37,30.16,,,,
青海省,58.93,72.47,60.16,57.76,58.40,33.73,46.71,42.72,34.98,26.55,19.38,13.88,13.06,12.05,12.68,10.86,,,,
宁夏回族自治区,72.49,79.31,67.97,54.13,48.13,33.14,34.44,28.84,22.94,17.36,18.25,11.85,10.67,10.00,9.25,8.18,,,,
新疆维吾尔自治区,293.86,264.81,257.39,250.20,210.19,143.65,215.71,178.90,149.88,111.75,80.56,57.13,44.81,43.72,46.95,39.34,,,,
数据来源：国家统计局
