数据库：分省年度数据
指标：国有控股工业企业集体资本金(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,4.77,3.65,3.07,13.63,1.52,1.47,1.14,7.13,7.17,3.08,4.95,5.89,5.07,7.04,6.76,,,,,
天津市,16.67,13.90,9.98,9.65,4.55,6.06,11.97,3.88,2.30,2.34,2.79,6.76,4.94,3.32,2.59,,,,,
河北省,13.06,30.80,11.60,20.68,7.55,5.02,9.50,4.53,4.88,7.79,9.66,7.43,7.48,8.12,4.49,,,,,
山西省,63.53,42.71,39.61,16.04,11.51,7.90,7.69,14.00,2.72,4.61,5.49,6.54,6.62,4.32,2.59,,,,,
内蒙古自治区,24.16,45.53,29.84,4.97,2.83,17.33,0.63,2.47,2.32,2.82,3.65,2.34,3.03,2.27,2.93,,,,,
辽宁省,235.55,202.48,219.53,203.51,7.57,2.65,2.12,1.28,2.72,7.67,2.23,2.40,4.52,2.81,3.71,,,,,
吉林省,5.47,209.74,7.84,4.97,50.65,45.97,1.43,0.89,0.17,2.15,1.66,1.72,2.72,3.23,2.60,,,,,
黑龙江省,9.45,6.90,17.27,2.30,13.77,1.68,1.94,3.96,0.72,1.60,3.43,2.32,2.84,3.50,2.36,,,,,
上海市,18.19,45.43,9.55,17.81,31.84,13.18,3.98,21.60,7.94,7.86,26.47,17.54,20.83,19.58,13.24,,,,,
江苏省,35.98,23.65,25.04,8.52,19.45,2.67,6.93,1.99,2.95,4.35,4.32,39.42,8.69,13.07,13.06,,,,,
浙江省,9.69,5.94,9.69,9.81,1.84,2.83,3.50,1.27,2.07,3.10,4.32,2.13,1.93,4.70,4.84,,,,,
安徽省,6.55,7.19,5.83,2.33,9.75,3.25,2.93,2.95,4.29,3.64,2.36,1.56,2.56,2.39,1.14,,,,,
福建省,20.21,14.36,7.49,7.67,3.91,2.99,2.74,1.90,1.39,1.20,3.08,1.54,2.59,2.99,3.28,,,,,
江西省,4.25,13.61,6.52,1.42,1.33,0.71,0.13,0.23,0.39,2.44,4.25,0.93,2.08,1.61,2.38,,,,,
山东省,55.12,33.85,24.12,24.70,21.74,23.98,32.43,16.71,13.43,17.20,7.11,13.83,8.82,14.94,9.70,,,,,
河南省,48.52,38.86,59.26,46.12,27.29,16.94,25.37,16.06,9.11,8.46,8.92,9.33,10.70,9.17,16.29,,,,,
湖北省,20.34,15.04,11.03,3.76,14.44,17.47,5.61,22.54,1.89,3.80,12.49,20.86,22.77,12.37,12.09,,,,,
湖南省,52.70,7.80,12.39,7.32,3.31,3.07,3.65,12.83,1.80,5.11,5.09,3.09,7.16,3.40,3.30,,,,,
广东省,52.75,46.87,23.95,11.77,6.84,6.24,6.57,2.96,3.60,8.67,9.13,25.62,11.46,23.48,18.42,,,,,
广西壮族自治区,5.30,4.04,10.36,2.25,1.59,0.52,5.02,1.10,0.98,2.48,3.31,2.39,2.43,1.96,5.24,,,,,
海南省,0.00,3.67,,0.42,0.05,0.29,0.02,1.71,1.01,2.30,2.47,1.48,2.23,5.57,2.42,,,,,
重庆市,2.47,6.03,1.07,2.00,2.08,3.54,1.52,2.84,1.83,1.20,2.23,1.33,2.22,2.35,3.25,,,,,
四川省,22.42,37.69,24.12,20.12,18.49,5.16,7.69,4.95,1.59,3.04,3.18,4.71,7.13,9.17,4.89,,,,,
贵州省,12.25,8.45,6.79,47.39,5.92,1.28,1.32,0.35,0.89,0.79,1.58,0.79,2.96,1.02,5.65,,,,,
云南省,23.90,10.29,10.55,8.38,3.29,3.40,7.45,6.36,4.36,6.42,9.31,11.74,9.84,7.83,5.05,,,,,
西藏自治区,0.00,0.00,2.02,0.03,0.31,0.33,17.46,0.32,0.00,0.15,0.41,0.40,0.81,1.11,0.41,,,,,
陕西省,51.30,28.71,11.19,8.21,12.67,6.17,6.08,6.34,2.61,10.31,6.16,3.52,5.98,8.50,4.55,,,,,
甘肃省,19.50,9.90,6.79,11.13,5.89,5.96,4.15,20.18,6.09,6.53,10.83,7.69,1.13,1.41,1.29,,,,,
青海省,1.68,5.32,3.03,1.46,1.65,2.15,0.22,0.88,0.18,0.84,0.73,8.46,6.02,0.75,0.91,,,,,
宁夏回族自治区,1.80,7.95,4.09,0.15,0.81,18.73,0.00,0.05,0.06,0.11,0.06,0.12,0.19,0.47,0.17,,,,,
新疆维吾尔自治区,15.32,10.28,14.43,1.92,3.11,4.42,1.23,6.94,8.53,4.84,3.05,5.72,1.35,1.02,1.57,,,,,
数据来源：国家统计局
