数据库：分省年度数据
指标：国有控股工业企业流动资产合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,8088.88,7342.66,6743.22,5646.88,4682.83,3633.61,3447.17,2759.83,2226.96,2148.70,1996.64,1376.25,1299.02,1381.02,1400.83,1301.91,,,,
天津市,5070.66,4630.91,4059.61,3706.63,2983.52,2729.40,2065.60,1636.14,1434.31,1286.21,1170.61,1019.27,905.64,886.97,884.92,809.79,,,,
河北省,5238.53,5146.01,4831.30,4670.22,3879.76,3252.46,2797.17,2435.62,1939.31,1859.04,1757.36,1565.25,1441.74,1424.01,1362.08,1343.18,,,,
山西省,6559.54,5916.70,5676.65,5627.34,4486.10,3610.16,3021.41,2272.99,1902.65,1596.40,1419.19,1193.53,979.49,1016.18,984.63,875.59,,,,
内蒙古自治区,4207.81,3664.27,3531.85,3083.20,2241.38,1705.06,1629.56,1185.66,1029.62,778.14,646.37,544.22,587.51,503.24,495.67,501.68,,,,
辽宁省,7310.66,7184.55,6958.82,6783.03,6307.01,5672.34,4986.31,4117.25,3282.92,2950.46,2726.78,2360.65,2509.43,2473.91,2332.24,2264.21,,,,
吉林省,4109.34,3756.13,3225.36,2835.36,2295.68,1356.09,1556.54,1390.86,1218.82,1127.09,1054.99,1198.65,1035.49,1071.65,1092.27,981.93,,,,
黑龙江省,3540.83,3331.42,3214.16,3188.07,2724.63,2087.52,2092.91,1813.90,1680.49,1601.70,1484.02,1366.18,1373.09,1358.94,1283.95,1249.81,,,,
上海市,7346.89,7048.98,6541.83,6434.86,5851.16,5054.11,4463.42,4303.52,3648.07,3352.71,3149.97,2792.32,2538.76,2670.56,2563.52,2406.35,,,,
江苏省,6971.05,6824.45,6031.17,4968.52,4171.26,3235.69,2942.50,2535.50,2374.93,2213.31,2107.53,2190.18,2148.23,2084.76,2251.65,2051.70,,,,
浙江省,3130.75,3022.34,2612.92,2365.79,2076.52,1755.21,1691.66,1525.26,1355.22,1325.52,1149.96,1031.78,904.72,925.88,954.34,985.69,,,,
安徽省,4418.85,3990.33,3819.60,3400.48,2969.38,2206.12,1856.13,1633.31,1325.80,1198.13,1033.82,973.54,829.10,810.30,865.63,846.41,,,,
福建省,1886.47,1695.98,1492.37,1268.84,1129.14,944.11,877.10,785.07,720.70,655.60,639.12,576.86,538.95,525.89,537.31,508.37,,,,
江西省,2401.56,2546.40,2185.57,2050.95,1730.91,1225.51,1213.54,1074.02,948.45,774.65,704.93,738.39,671.10,638.63,643.11,622.75,,,,
山东省,9654.29,8936.77,8514.90,7762.87,6648.58,5304.08,4903.64,3953.35,3537.25,3168.71,3003.56,2891.55,2460.01,2316.26,2250.29,2117.33,,,,
河南省,5281.68,5084.89,4722.60,4511.38,3952.01,3247.11,2854.23,2577.60,2214.49,1997.22,1901.05,1891.37,1690.89,1632.12,1544.56,1550.83,,,,
湖北省,5592.96,5692.43,4845.35,5119.37,4604.58,4317.97,2724.15,2507.64,1899.83,1826.28,1774.98,1778.16,1648.75,1611.60,1571.02,1481.03,,,,
湖南省,3834.30,3744.65,3436.35,3025.33,2573.43,1812.00,1602.27,1375.68,1170.06,1023.99,1031.38,969.27,950.02,895.79,874.67,813.90,,,,
广东省,7146.82,7161.63,6323.58,6146.13,5305.29,4473.38,4135.90,3056.17,2624.07,2654.39,2826.90,2505.41,2306.74,2422.88,2411.27,2315.30,,,,
广西壮族自治区,2352.21,2187.17,1973.10,1685.19,1572.76,1157.78,905.45,798.04,657.37,611.47,626.83,512.07,500.49,506.44,511.20,510.75,,,,
海南省,160.17,115.47,113.52,110.37,125.40,110.93,119.63,159.61,136.00,130.69,104.42,121.99,107.08,98.13,110.91,114.49,,,,
重庆市,2701.41,2448.28,2245.03,1984.40,1672.39,1438.48,1216.82,1094.66,952.73,840.72,818.79,723.97,674.67,681.70,684.39,657.06,,,,
四川省,6100.45,5642.11,5412.38,4918.31,4134.86,3579.77,3098.43,2448.14,1943.60,1683.30,1405.99,1455.26,1409.16,1392.49,1347.30,1328.96,,,,
贵州省,2543.16,2139.26,1876.32,1675.97,1392.53,1181.33,1121.17,911.07,831.52,773.37,705.96,621.42,595.02,591.41,595.18,549.05,,,,
云南省,3057.88,2985.68,2806.08,2617.18,2286.26,1920.32,1787.85,1581.95,1413.70,1201.11,1088.79,1007.89,895.80,878.41,661.24,635.91,,,,
西藏自治区,95.09,76.87,105.29,71.92,45.51,38.97,34.81,34.80,16.91,20.92,20.27,22.73,20.79,20.11,22.05,18.57,,,,
陕西省,6353.56,5907.01,6287.82,5529.53,4645.24,3616.66,2983.74,2293.61,1867.90,1421.50,1315.12,1172.95,1027.50,993.03,932.62,845.98,,,,
甘肃省,2937.82,2880.18,2645.13,2442.12,1935.27,1443.17,1313.11,1103.75,965.57,753.94,702.31,664.39,572.44,549.14,592.14,524.85,,,,
青海省,761.73,704.68,603.19,575.29,534.41,425.65,392.15,352.08,340.19,276.72,265.44,222.00,212.83,227.73,209.22,156.02,,,,
宁夏回族自治区,717.66,628.18,604.03,644.72,484.62,374.73,391.26,275.99,279.75,268.14,207.66,198.16,165.45,174.40,168.78,158.53,,,,
新疆维吾尔自治区,2254.34,2092.96,1946.53,1700.17,1367.78,1204.29,1268.35,1004.39,773.88,635.18,535.46,439.47,468.85,476.04,489.81,514.86,,,,
数据来源：国家统计局
