数据库：分省年度数据
指标：私营工业企业存货(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,233.00,202.44,175.09,161.32,188.04,174.37,167.78,122.27,98.80,79.55,77.25,29.48,23.28,14.93,8.56,,,,,
天津市,341.51,307.54,268.60,209.45,236.51,203.18,195.70,121.07,104.99,92.19,72.88,23.66,16.14,14.01,8.84,,,,,
河北省,1142.54,1069.25,919.16,778.51,694.71,515.94,547.33,365.44,283.29,224.38,181.05,106.56,69.55,51.93,30.88,,,,,
山西省,647.38,662.86,620.56,405.79,295.22,237.06,244.81,180.39,146.09,140.15,116.38,61.14,36.48,20.81,11.98,,,,,
内蒙古自治区,302.85,301.97,238.97,221.63,192.89,152.03,139.09,97.82,88.19,52.76,43.48,20.00,12.55,10.44,9.21,,,,,
辽宁省,879.82,897.27,791.90,660.23,579.31,553.43,493.26,311.30,261.92,204.08,151.95,91.22,54.05,48.37,34.99,,,,,
吉林省,265.34,229.66,210.07,216.39,180.63,151.10,143.04,90.21,64.00,43.68,34.61,22.06,16.72,11.47,6.44,,,,,
黑龙江省,275.06,261.77,228.07,187.12,183.89,150.85,129.47,103.40,71.15,50.17,40.38,32.46,20.15,14.43,10.00,,,,,
上海市,679.59,630.68,544.46,506.66,510.92,428.32,424.28,324.84,262.23,200.47,179.80,86.06,52.59,36.84,9.31,,,,,
江苏省,3813.27,3605.54,3102.88,2860.48,2432.01,2030.22,1872.49,1313.05,944.06,764.25,696.28,438.34,258.45,165.43,95.43,,,,,
浙江省,3246.77,3141.47,2965.85,2724.89,2628.76,2056.21,1879.39,1451.15,1100.25,839.93,675.15,401.82,294.49,222.55,137.99,,,,,
安徽省,1065.21,990.17,697.23,552.60,477.13,349.69,273.88,177.07,127.82,85.90,70.83,49.91,30.47,19.61,11.68,,,,,
福建省,906.14,847.19,760.53,603.86,552.36,389.39,342.63,247.67,183.21,136.73,112.01,62.84,38.71,27.58,20.73,,,,,
江西省,472.49,434.66,369.03,274.01,223.72,184.72,174.77,161.26,123.39,75.09,44.84,31.28,16.00,11.48,4.65,,,,,
山东省,3051.35,2592.32,1766.72,1461.49,1265.99,1190.72,1046.01,772.96,606.05,426.26,326.67,180.73,109.31,81.80,42.48,,,,,
河南省,813.67,725.37,594.19,482.67,410.43,365.27,368.55,237.51,161.14,123.58,115.69,56.41,35.29,27.55,21.78,,,,,
湖北省,816.76,725.92,526.08,385.38,424.09,272.37,236.22,162.54,114.10,90.09,70.35,62.75,39.50,26.37,17.10,,,,,
湖南省,656.31,585.19,455.25,370.01,310.45,269.75,225.22,159.08,118.62,85.26,66.55,40.91,26.36,18.19,12.75,,,,,
广东省,2187.75,1988.27,1592.18,1551.53,1349.21,1118.79,963.84,797.52,673.12,474.21,388.13,245.64,188.41,140.01,100.69,,,,,
广西壮族自治区,468.14,438.57,359.47,286.13,265.36,207.30,171.07,121.22,77.30,52.48,39.41,29.52,16.33,11.85,6.61,,,,,
海南省,11.67,9.43,9.31,10.20,9.49,10.49,10.36,7.22,6.41,5.42,4.63,3.92,3.72,2.88,2.19,,,,,
重庆市,439.62,373.93,304.10,252.09,243.73,207.55,222.29,122.26,83.12,67.94,50.83,36.81,28.68,25.00,17.73,,,,,
四川省,825.70,708.71,625.03,600.80,500.37,399.64,387.92,268.66,207.82,168.81,129.72,80.00,59.47,47.07,32.89,,,,,
贵州省,148.07,131.73,91.49,71.02,77.46,55.32,56.38,32.98,28.47,31.33,21.65,16.90,10.93,8.72,4.90,,,,,
云南省,335.90,314.87,242.95,205.10,218.68,183.95,172.98,138.48,95.97,69.19,48.99,28.89,16.34,12.47,7.32,,,,,
西藏自治区,3.14,2.56,1.47,1.41,1.96,1.19,1.07,1.00,0.56,0.62,0.28,0.21,0.19,0.15,0.17,,,,,
陕西省,190.43,163.48,143.41,141.61,157.99,115.26,89.97,59.38,51.94,37.22,29.06,14.45,10.43,7.89,6.70,,,,,
甘肃省,127.31,120.13,87.85,67.46,69.68,65.38,56.91,38.51,22.73,20.69,16.63,8.50,5.49,5.58,2.75,,,,,
青海省,82.76,85.26,67.51,45.82,38.15,24.71,22.76,17.66,10.21,6.91,8.82,2.88,2.91,2.18,0.96,,,,,
宁夏回族自治区,369.79,293.82,188.20,164.91,124.85,105.88,75.26,59.13,47.84,31.73,24.62,12.24,5.31,3.57,3.71,,,,,
新疆维吾尔自治区,266.84,276.86,218.68,153.58,160.15,105.91,85.60,59.07,34.00,28.23,21.72,14.25,8.06,3.07,2.43,,,,,
数据来源：国家统计局
