数据库：分省年度数据
指标：私营工业企业个人资本金(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,189.57,155.90,132.02,119.67,153.80,129.18,116.95,88.28,71.49,61.57,73.03,22.29,15.98,10.93,5.04,,,,,
天津市,379.86,456.66,287.13,330.06,241.02,210.68,173.35,118.62,92.03,96.62,68.96,17.53,9.16,9.53,7.82,,,,,
河北省,1338.32,1200.80,994.55,909.93,776.25,593.42,553.67,401.38,294.63,227.22,237.35,112.14,71.03,50.38,30.43,,,,,
山西省,776.22,754.28,408.27,311.66,218.15,258.43,191.00,153.10,119.54,100.54,95.72,64.97,35.63,18.20,9.57,,,,,
内蒙古自治区,250.69,244.40,177.91,179.50,210.09,195.60,130.19,98.35,96.84,60.08,58.35,21.69,9.97,7.38,4.68,,,,,
辽宁省,1133.90,1100.44,1027.67,802.79,702.91,690.25,613.82,372.31,322.94,248.70,206.65,111.82,78.53,60.48,32.57,,,,,
吉林省,288.74,249.59,348.83,212.12,230.10,210.60,170.90,102.51,55.83,39.67,31.03,29.92,19.99,9.83,5.14,,,,,
黑龙江省,267.85,260.91,204.29,158.72,159.69,139.39,123.47,98.80,76.67,62.20,49.51,43.07,27.81,18.03,11.46,,,,,
上海市,451.96,417.96,350.62,543.44,367.07,343.20,327.56,282.97,226.61,187.27,168.93,88.81,58.72,33.17,4.89,,,,,
江苏省,3603.89,3290.12,2869.56,2594.08,2462.98,2041.30,1915.99,1164.78,946.89,694.60,652.76,338.78,193.64,116.41,80.70,,,,,
浙江省,2407.58,2332.72,2096.98,1995.27,2151.81,1893.80,1757.57,1525.75,1300.08,1063.49,851.72,567.56,403.17,284.65,155.13,,,,,
安徽省,1092.48,1109.59,737.71,606.62,585.47,453.73,326.62,200.54,145.57,94.85,82.67,56.89,32.98,17.82,12.05,,,,,
福建省,882.42,793.46,748.14,594.75,611.23,501.25,464.19,334.93,303.40,268.47,218.70,92.61,56.82,39.83,26.93,,,,,
江西省,656.36,416.64,364.79,263.59,261.26,249.65,260.62,157.79,120.84,84.12,67.11,37.98,22.73,11.34,4.39,,,,,
山东省,2614.29,2157.47,1631.30,1329.45,1326.96,1290.52,1068.53,792.33,649.72,364.40,295.23,153.96,75.08,52.56,29.19,,,,,
河南省,2691.41,2243.73,1786.53,1460.46,1031.44,844.94,831.69,447.03,279.66,208.31,167.62,72.36,43.58,25.14,15.41,,,,,
湖北省,872.86,619.69,426.29,364.73,429.76,344.18,261.30,169.76,131.30,98.09,79.56,65.72,37.13,24.39,12.53,,,,,
湖南省,783.93,800.05,647.20,453.26,383.41,386.15,335.75,216.48,197.06,117.55,92.14,53.29,35.07,24.06,14.99,,,,,
广东省,973.28,840.17,732.83,698.64,707.95,624.53,561.61,409.86,361.34,278.90,262.44,172.03,121.07,87.90,61.47,,,,,
广西壮族自治区,240.65,216.88,183.93,200.50,150.54,119.33,95.50,63.55,50.88,30.40,27.79,15.93,13.04,8.00,5.10,,,,,
海南省,4.65,4.44,5.07,2.99,2.96,3.99,5.53,4.78,6.79,3.92,3.13,2.57,1.87,2.14,1.24,,,,,
重庆市,286.19,247.41,213.58,194.65,185.68,169.92,184.77,90.88,75.92,54.21,43.82,31.36,24.82,20.25,11.84,,,,,
四川省,641.93,566.52,475.93,478.74,533.71,397.66,363.99,236.77,186.69,150.21,136.94,79.66,54.52,39.97,28.34,,,,,
贵州省,177.06,163.68,117.14,123.70,115.56,80.44,87.95,43.75,44.91,31.34,25.42,19.55,11.40,9.93,4.77,,,,,
云南省,180.91,176.50,132.93,105.37,145.45,122.86,109.53,73.28,61.88,50.59,38.56,18.62,11.82,6.80,3.83,,,,,
西藏自治区,2.78,1.61,1.48,0.67,3.42,2.03,2.95,0.60,0.01,0.16,0.17,0.21,0.25,0.25,0.17,,,,,
陕西省,276.42,185.86,176.02,175.25,190.22,137.62,107.79,65.08,55.22,35.03,28.42,19.77,11.38,8.54,7.99,,,,,
甘肃省,79.85,73.71,59.35,46.28,51.23,44.40,35.53,22.33,14.29,14.80,10.36,6.87,3.34,2.99,1.38,,,,,
青海省,62.50,46.29,33.01,14.04,11.45,26.41,8.72,12.44,7.98,6.57,7.93,2.81,2.95,1.96,1.19,,,,,
宁夏回族自治区,107.38,95.56,79.98,60.78,63.74,62.67,50.70,36.50,42.22,32.67,29.71,13.80,5.34,4.45,2.88,,,,,
新疆维吾尔自治区,175.64,143.50,108.98,81.88,83.61,75.06,68.78,35.60,28.72,26.03,26.83,17.25,6.42,3.17,1.99,,,,,
数据来源：国家统计局
