数据库：分省年度数据
指标：私营工业企业流动资产合计(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,928.23,783.47,652.31,560.27,653.65,538.60,481.29,353.43,284.16,233.52,229.79,86.50,64.09,37.09,21.94,,,,,
天津市,1562.43,1418.93,1280.45,1003.85,940.22,752.85,669.66,438.02,337.54,292.22,237.01,70.64,46.60,45.16,23.69,,,,,
河北省,4974.76,4608.05,3810.57,3218.22,2591.28,1934.68,1695.95,1233.78,955.94,705.70,538.15,309.65,194.96,133.96,82.35,,,,,
山西省,3125.49,3092.22,2601.04,1716.36,1236.99,818.10,765.04,596.73,458.12,405.77,364.57,209.95,130.60,67.24,38.58,,,,,
内蒙古自治区,1808.18,1536.74,1112.56,1057.62,902.73,681.72,521.25,348.71,265.09,157.75,121.48,62.86,34.71,28.59,22.23,,,,,
辽宁省,4117.19,4043.54,3581.69,2866.56,2595.23,2159.42,1834.21,1179.77,931.43,661.27,497.41,280.07,177.22,139.76,102.11,,,,,
吉林省,897.54,815.37,745.24,699.65,608.90,489.16,439.32,266.41,183.86,115.55,86.82,61.35,48.07,33.80,18.62,,,,,
黑龙江省,892.71,846.74,689.15,585.89,585.26,448.02,393.74,287.52,207.12,156.24,117.79,91.83,61.98,34.00,22.49,,,,,
上海市,2747.84,2486.02,2148.93,1998.23,2024.53,1677.29,1525.61,1135.43,915.70,722.25,654.00,331.06,191.88,121.51,28.08,,,,,
江苏省,17047.94,16157.55,13811.05,12700.52,10716.42,8257.68,7252.30,5064.79,3753.88,2883.70,2515.70,1575.80,776.50,448.84,253.38,,,,,
浙江省,14707.09,14281.78,13474.69,12453.86,12279.19,9537.60,8236.95,6412.55,4864.93,3754.27,2856.90,1790.86,1096.26,713.10,410.45,,,,,
安徽省,4244.86,3767.75,2737.27,2115.02,1781.14,1235.79,892.77,582.96,401.95,276.73,213.23,147.42,85.28,50.08,30.48,,,,,
福建省,3411.13,3177.79,2798.07,2177.65,1992.88,1389.71,1180.31,947.23,633.43,459.91,358.82,199.01,107.45,75.17,48.55,,,,,
江西省,1849.51,1502.76,1235.87,944.69,773.46,614.82,566.10,443.63,320.67,213.61,120.29,93.35,47.32,32.18,13.55,,,,,
山东省,12498.46,11015.29,7333.45,6074.06,5265.69,4514.28,3467.59,2548.30,2003.14,1335.66,1001.78,536.28,301.27,212.84,114.64,,,,,
河南省,5905.52,5285.13,4040.52,2846.08,2234.89,1731.91,1605.21,1071.17,697.44,511.02,396.53,186.40,107.16,77.73,62.53,,,,,
湖北省,3071.59,2640.30,1943.36,1377.05,1585.58,942.29,719.96,532.94,365.15,277.55,200.16,178.96,113.76,76.18,42.44,,,,,
湖南省,2494.27,2138.32,1657.02,1286.39,1046.05,815.85,709.63,480.96,368.90,265.20,199.84,121.65,81.71,55.73,38.94,,,,,
广东省,8648.88,7398.04,5778.49,5549.60,4882.33,3866.57,3266.97,2635.56,2064.09,1506.43,1214.93,768.56,550.20,401.39,311.58,,,,,
广西壮族自治区,1711.71,1591.29,1221.11,941.30,828.06,605.09,467.10,334.52,209.40,142.35,121.13,81.42,44.67,29.33,17.66,,,,,
海南省,52.09,32.93,34.66,32.75,31.31,44.44,43.50,24.54,22.17,17.34,15.05,13.08,11.63,7.05,5.43,,,,,
重庆市,2144.17,1731.11,1459.19,1164.22,993.41,790.66,785.30,438.29,332.49,261.60,196.57,141.40,94.29,77.56,44.79,,,,,
四川省,3597.05,3440.68,2754.90,2444.24,2118.41,1447.79,1247.65,817.05,596.43,458.98,355.01,219.10,160.54,118.41,84.50,,,,,
贵州省,958.93,874.00,588.94,429.29,380.74,249.54,215.63,123.17,97.76,82.71,64.46,54.52,35.62,23.96,13.37,,,,,
云南省,1250.97,1277.03,1005.56,850.96,861.34,695.81,574.26,444.56,311.43,203.75,139.37,79.84,39.83,26.87,16.66,,,,,
西藏自治区,14.83,17.26,14.76,12.27,16.51,13.57,7.28,7.50,5.91,5.41,4.78,0.63,0.52,0.45,0.41,,,,,
陕西省,791.11,671.94,572.02,560.82,596.09,403.12,317.95,179.95,143.32,91.63,74.97,37.80,26.66,22.25,16.09,,,,,
甘肃省,431.59,392.04,239.73,188.95,210.82,169.11,147.46,103.50,63.63,50.54,42.66,22.77,12.11,15.52,5.86,,,,,
青海省,344.30,320.60,290.25,213.65,152.86,114.71,87.36,58.84,26.33,19.95,19.85,9.01,6.26,4.89,1.40,,,,,
宁夏回族自治区,1172.86,959.34,673.83,471.32,362.34,283.32,193.56,141.90,123.08,83.12,63.84,30.88,12.86,10.20,10.22,,,,,
新疆维吾尔自治区,1054.60,967.96,762.37,518.09,550.36,326.92,261.51,178.83,91.17,74.28,57.57,45.84,24.56,9.89,7.74,,,,,
数据来源：国家统计局
