数据库：分省年度数据
指标：总承包建筑业企业从业人员(万人)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,33.19,34.05,34.14,44.34,40.33,31.58,37.85,50.07,50.09,,,,,,,,,,
天津市,,24.00,23.66,23.52,36.23,31.03,27.63,26.16,22.13,17.97,,,,,,,,,,
河北省,,108.61,124.53,110.20,117.32,107.62,103.71,91.78,93.25,94.99,,,,,,,,,,
山西省,,56.04,56.02,52.29,64.92,59.35,51.58,50.09,45.77,47.37,,,,,,,,,,
内蒙古自治区,,36.41,34.11,38.11,40.97,46.86,39.82,35.47,26.71,23.56,,,,,,,,,,
辽宁省,,158.53,160.64,138.91,136.10,106.98,86.66,79.18,78.43,70.94,,,,,,,,,,
吉林省,,38.08,45.20,29.03,34.73,31.73,31.93,27.80,26.44,30.77,,,,,,,,,,
黑龙江省,,44.65,43.18,43.80,51.44,61.75,41.26,41.50,37.92,37.75,,,,,,,,,,
上海市,,66.73,73.74,75.69,79.01,72.85,66.05,56.35,58.37,57.61,,,,,,,,,,
江苏省,,692.09,669.76,552.14,522.42,454.47,421.58,394.00,333.18,295.01,,,,,,,,,,
浙江省,,623.42,596.00,500.37,523.78,455.71,397.63,372.00,326.29,280.30,,,,,,,,,,
安徽省,,154.04,151.64,148.69,139.75,125.62,122.08,107.57,98.78,85.57,,,,,,,,,,
福建省,,201.04,167.85,153.27,165.54,132.77,108.36,86.95,68.28,61.43,,,,,,,,,,
江西省,,117.01,101.55,80.24,79.49,70.68,59.82,56.48,56.04,54.47,,,,,,,,,,
山东省,,261.33,253.72,245.21,278.72,245.89,234.59,240.68,230.46,216.16,,,,,,,,,,
河南省,,215.44,199.49,202.10,205.54,197.23,173.99,157.09,127.73,109.36,,,,,,,,,,
湖北省,,161.29,156.04,129.86,138.24,124.46,114.63,103.51,97.85,94.37,,,,,,,,,,
湖南省,,125.98,109.46,97.11,139.69,133.86,128.34,122.08,117.03,110.31,,,,,,,,,,
广东省,,156.77,147.91,144.00,154.43,143.00,138.95,145.48,141.11,137.59,,,,,,,,,,
广西壮族自治区,,72.28,64.45,57.06,56.45,50.95,43.19,44.57,41.89,40.03,,,,,,,,,,
海南省,,5.50,5.68,5.23,10.57,9.73,7.58,6.66,6.83,6.32,,,,,,,,,,
重庆市,,148.81,130.85,125.02,129.09,109.58,94.56,87.96,77.46,75.16,,,,,,,,,,
四川省,,222.28,199.37,214.62,283.79,194.95,170.65,177.52,161.77,156.32,,,,,,,,,,
贵州省,,39.48,34.27,32.03,32.71,31.89,28.76,27.66,28.73,29.09,,,,,,,,,,
云南省,,72.49,67.64,55.85,69.00,62.35,58.94,56.16,57.53,51.77,,,,,,,,,,
西藏自治区,,3.28,3.47,4.77,4.01,3.65,4.10,3.64,2.56,3.03,,,,,,,,,,
陕西省,,89.22,75.44,67.31,99.44,84.18,66.84,49.73,44.60,39.71,,,,,,,,,,
甘肃省,,53.22,52.56,42.30,41.33,41.60,39.24,39.68,38.68,37.28,,,,,,,,,,
青海省,,10.63,10.48,7.59,7.89,8.21,6.80,8.38,7.89,7.67,,,,,,,,,,
宁夏回族自治区,,11.17,7.55,8.53,8.23,5.72,5.32,5.35,6.13,6.22,,,,,,,,,,
新疆维吾尔自治区,,32.77,27.51,24.39,20.55,18.37,17.52,16.67,16.56,17.65,,,,,,,,,,
数据来源：国家统计局
