数据库：分省年度数据
指标：国有企业法人单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,6467,,7211,7300,7499,,,,,,,,,,,,,,,
天津市,3586,,4336,4219,4183,,,,,,,,,,,,,,,
河北省,4814,,5795,5947,6082,,,,,,,,,,,,,,,
山西省,4610,,6005,5921,6005,,,,,,,,,,,,,,,
内蒙古自治区,2341,,2590,2544,2505,,,,,,,,,,,,,,,
辽宁省,7242,,10093,9556,9619,,,,,,,,,,,,,,,
吉林省,2953,,3057,3032,3033,,,,,,,,,,,,,,,
黑龙江省,4632,,5880,5936,5837,,,,,,,,,,,,,,,
上海市,2781,,5371,5396,5590,,,,,,,,,,,,,,,
江苏省,6929,,7389,7081,7017,,,,,,,,,,,,,,,
浙江省,3418,,5438,5371,5343,,,,,,,,,,,,,,,
安徽省,5271,,5791,5659,5298,,,,,,,,,,,,,,,
福建省,5975,,6768,6690,6096,,,,,,,,,,,,,,,
江西省,5109,,6277,5415,5414,,,,,,,,,,,,,,,
山东省,6873,,9421,8987,8825,,,,,,,,,,,,,,,
河南省,6079,,6450,6407,6326,,,,,,,,,,,,,,,
湖北省,5875,,8266,8024,7484,,,,,,,,,,,,,,,
湖南省,3661,,5857,5783,5651,,,,,,,,,,,,,,,
广东省,10235,,11903,11817,11713,,,,,,,,,,,,,,,
广西壮族自治区,3651,,5362,5670,5456,,,,,,,,,,,,,,,
海南省,1424,,1563,1538,1456,,,,,,,,,,,,,,,
重庆市,2319,,3126,3022,2972,,,,,,,,,,,,,,,
四川省,4367,,5505,5502,5499,,,,,,,,,,,,,,,
贵州省,3407,,3729,3630,3568,,,,,,,,,,,,,,,
云南省,3093,,3748,3615,3361,,,,,,,,,,,,,,,
西藏自治区,657,,595,588,582,,,,,,,,,,,,,,,
陕西省,5101,,5303,5136,5080,,,,,,,,,,,,,,,
甘肃省,2327,,2575,2431,2386,,,,,,,,,,,,,,,
青海省,956,,968,909,882,,,,,,,,,,,,,,,
宁夏回族自治区,562,,729,733,694,,,,,,,,,,,,,,,
新疆维吾尔自治区,3501,,2543,2464,2391,,,,,,,,,,,,,,,
数据来源：国家统计局
