数据库：分省年度数据
指标：有限责任公司法人单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,148752,,65821,63847,62807,,,,,,,,,,,,,,,
天津市,52580,,24533,20693,16807,,,,,,,,,,,,,,,
河北省,87056,,44066,38979,31945,,,,,,,,,,,,,,,
山西省,21967,,21840,20087,16553,,,,,,,,,,,,,,,
内蒙古自治区,36953,,25601,22517,19528,,,,,,,,,,,,,,,
辽宁省,75259,,51278,44469,41059,,,,,,,,,,,,,,,
吉林省,27403,,16781,13755,11404,,,,,,,,,,,,,,,
黑龙江省,36986,,24990,23273,20689,,,,,,,,,,,,,,,
上海市,31440,,26507,21437,17722,,,,,,,,,,,,,,,
江苏省,93115,,54046,46095,40135,,,,,,,,,,,,,,,
浙江省,56631,,53964,48078,42459,,,,,,,,,,,,,,,
安徽省,62681,,38520,29665,21098,,,,,,,,,,,,,,,
福建省,91545,,44991,36722,27672,,,,,,,,,,,,,,,
江西省,45874,,31035,20229,16059,,,,,,,,,,,,,,,
山东省,109441,,70728,59264,50796,,,,,,,,,,,,,,,
河南省,106668,,46833,40319,35849,,,,,,,,,,,,,,,
湖北省,109609,,68608,50941,41308,,,,,,,,,,,,,,,
湖南省,43708,,18780,15309,13201,,,,,,,,,,,,,,,
广东省,240779,,136879,118031,99850,,,,,,,,,,,,,,,
广西壮族自治区,34508,,21479,17249,13092,,,,,,,,,,,,,,,
海南省,15494,,15367,12145,9430,,,,,,,,,,,,,,,
重庆市,39962,,23067,20221,16976,,,,,,,,,,,,,,,
四川省,67857,,45826,38356,33092,,,,,,,,,,,,,,,
贵州省,36426,,19651,16956,14877,,,,,,,,,,,,,,,
云南省,42679,,18527,15516,12295,,,,,,,,,,,,,,,
西藏自治区,1276,,539,487,442,,,,,,,,,,,,,,,
陕西省,78454,,52125,38746,25263,,,,,,,,,,,,,,,
甘肃省,20759,,11211,9041,7979,,,,,,,,,,,,,,,
青海省,3810,,2600,2518,2264,,,,,,,,,,,,,,,
宁夏回族自治区,5535,,3553,3092,2516,,,,,,,,,,,,,,,
新疆维吾尔自治区,22884,,10629,9076,8157,,,,,,,,,,,,,,,
数据来源：国家统计局
