数据库：分省年度数据
指标：私营企业法人单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,413407,,252528,241920,235894,,,,,,,,,,,,,,,
天津市,152733,,133282,117845,105128,,,,,,,,,,,,,,,
河北省,241217,,188109,169923,162293,,,,,,,,,,,,,,,
山西省,124663,,93984,78457,71821,,,,,,,,,,,,,,,
内蒙古自治区,73318,,64180,61101,57611,,,,,,,,,,,,,,,
辽宁省,264051,,252708,210646,196983,,,,,,,,,,,,,,,
吉林省,63256,,58010,55404,52437,,,,,,,,,,,,,,,
黑龙江省,60473,,80634,79173,74914,,,,,,,,,,,,,,,
上海市,323012,,337337,317345,302714,,,,,,,,,,,,,,,
江苏省,976131,,817146,724881,632068,,,,,,,,,,,,,,,
浙江省,937635,,612077,545209,467318,,,,,,,,,,,,,,,
安徽省,244576,,178484,153674,124374,,,,,,,,,,,,,,,
福建省,293459,,217870,189946,157990,,,,,,,,,,,,,,,
江西省,130858,,110394,81410,70290,,,,,,,,,,,,,,,
山东省,582417,,530778,486316,450110,,,,,,,,,,,,,,,
河南省,199133,,197686,191963,185999,,,,,,,,,,,,,,,
湖北省,246103,,196856,173510,154165,,,,,,,,,,,,,,,
湖南省,190349,,160456,139889,129336,,,,,,,,,,,,,,,
广东省,695114,,606355,537725,462575,,,,,,,,,,,,,,,
广西壮族自治区,170406,,132977,104622,80780,,,,,,,,,,,,,,,
海南省,20404,,15682,13820,12098,,,,,,,,,,,,,,,
重庆市,241020,,166614,127565,91265,,,,,,,,,,,,,,,
四川省,153580,,147137,133565,128035,,,,,,,,,,,,,,,
贵州省,86695,,43166,31875,29059,,,,,,,,,,,,,,,
云南省,116661,,103651,95797,79200,,,,,,,,,,,,,,,
西藏自治区,5175,,1617,1554,1400,,,,,,,,,,,,,,,
陕西省,98157,,95997,82866,71570,,,,,,,,,,,,,,,
甘肃省,47044,,41476,36227,33021,,,,,,,,,,,,,,,
青海省,18618,,11026,9081,8077,,,,,,,,,,,,,,,
宁夏回族自治区,22832,,21928,19291,16276,,,,,,,,,,,,,,,
新疆维吾尔自治区,73691,,47573,42270,39050,,,,,,,,,,,,,,,
数据来源：国家统计局
