数据库：分省年度数据
指标：第三产业法人单位数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,598321,575251,352507,339930,333119,,,,,,,,,,,,,,,
天津市,196037,157479,146761,129983,115642,,,,,,,,,,,,,,,
河北省,360865,319446,253885,238171,226856,,,,,,,,,,,,,,,
山西省,204219,170938,167686,152719,142929,,,,,,,,,,,,,,,
内蒙古自治区,156062,132180,117284,111756,105566,,,,,,,,,,,,,,,
辽宁省,360057,306583,315733,255177,242397,,,,,,,,,,,,,,,
吉林省,125444,103832,94269,89507,85508,,,,,,,,,,,,,,,
黑龙江省,153845,139677,140072,136219,130178,,,,,,,,,,,,,,,
上海市,330431,314050,336372,308687,289813,,,,,,,,,,,,,,,
江苏省,852005,655272,636540,556722,479293,,,,,,,,,,,,,,,
浙江省,723735,568992,472890,417817,364092,,,,,,,,,,,,,,,
安徽省,321755,258328,217851,193694,162753,,,,,,,,,,,,,,,
福建省,388842,269612,259971,232899,201768,,,,,,,,,,,,,,,
江西省,227755,182915,166966,133364,124181,,,,,,,,,,,,,,,
山东省,750280,605737,600099,547125,505592,,,,,,,,,,,,,,,
河南省,449315,389834,267180,256627,249744,,,,,,,,,,,,,,,
湖北省,424391,341365,317929,279162,253804,,,,,,,,,,,,,,,
湖南省,327002,322685,245616,224218,209186,,,,,,,,,,,,,,,
广东省,877443,735691,667820,596147,522154,,,,,,,,,,,,,,,
广西壮族自治区,247266,202327,211760,189951,166446,,,,,,,,,,,,,,,
海南省,46701,39238,38842,34123,30322,,,,,,,,,,,,,,,
重庆市,257403,201169,181851,149740,121050,,,,,,,,,,,,,,,
四川省,353117,305294,302400,275697,267267,,,,,,,,,,,,,,,
贵州省,138414,114167,98388,91544,88095,,,,,,,,,,,,,,,
云南省,207876,157709,160897,149743,130783,,,,,,,,,,,,,,,
西藏自治区,21882,17859,15553,15428,15244,,,,,,,,,,,,,,,
陕西省,237044,200377,193674,178409,160258,,,,,,,,,,,,,,,
甘肃省,128036,111712,97644,91216,87505,,,,,,,,,,,,,,,
青海省,35818,28861,25467,23900,22915,,,,,,,,,,,,,,,
宁夏回族自治区,39976,35789,33250,30801,28000,,,,,,,,,,,,,,,
新疆维吾尔自治区,142535,116080,88826,83684,80881,,,,,,,,,,,,,,,
数据来源：国家统计局
