数据库：分省年度数据
指标：事业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,12139,,11173,11217,11256,,,,,
天津市,6921,,6396,6309,6234,,,,,
河北省,35371,,31640,31944,33432,,,,,
山西省,27799,,24571,24109,23972,,,,,
内蒙古自治区,18500,,17426,17406,17398,,,,,
辽宁省,30884,,29385,27992,27878,,,,,
吉林省,19409,,16970,17249,17224,,,,,
黑龙江省,21753,,19808,19764,19759,,,,,
上海市,7832,,8463,8168,8254,,,,,
江苏省,40678,,37704,37377,37582,,,,,
浙江省,31597,,27797,27337,27269,,,,,
安徽省,22794,,21297,22844,22789,,,,,
福建省,29242,,26005,25724,25545,,,,,
江西省,33100,,25521,24614,24706,,,,,
山东省,41210,,36366,36470,36621,,,,,
河南省,67030,,40960,40660,40774,,,,,
湖北省,42640,,39425,38153,37450,,,,,
湖南省,44420,,40452,40549,40518,,,,,
广东省,46317,,41463,40854,40611,,,,,
广西壮族自治区,42819,,41667,40652,39786,,,,,
海南省,4310,,3535,3491,3468,,,,,
重庆市,17928,,17062,16909,16764,,,,,
四川省,62155,,54562,53086,53356,,,,,
贵州省,20901,,21701,21404,21653,,,,,
云南省,22575,,20855,20398,20312,,,,,
西藏自治区,2372,,2168,2170,2163,,,,,
陕西省,30708,,26461,29571,30847,,,,,
甘肃省,20178,,18485,18351,18313,,,,,
青海省,4457,,3735,3705,3692,,,,,
宁夏回族自治区,3223,,2842,2829,2837,,,,,
新疆维吾尔自治区,17178,,13823,13694,13604,,,,,
数据来源：国家统计局
