数据库：分省年度数据
指标：租赁和商务服务业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,140269,134953,77035,73752,71741,,,,,
天津市,29363,23441,21553,18285,14482,,,,,
河北省,29344,24379,15638,13359,11434,,,,,
山西省,16412,12053,11201,9506,8404,,,,,
内蒙古自治区,13677,10390,8901,8159,7531,,,,,
辽宁省,41114,32694,36142,26687,24503,,,,,
吉林省,10231,8223,7395,6518,6094,,,,,
黑龙江省,11440,9757,11772,11304,10152,,,,,
上海市,55448,51181,63975,55317,50753,,,,,
江苏省,109728,77822,81495,65189,51979,,,,,
浙江省,98892,73675,68184,59494,50294,,,,,
安徽省,39947,28508,24754,18656,12280,,,,,
福建省,48347,29040,30609,25715,20864,,,,,
江西省,24079,15567,16335,9839,7406,,,,,
山东省,74033,49917,53847,46418,39873,,,,,
河南省,29737,22923,16271,14815,13289,,,,,
湖北省,44965,30386,31783,24208,20117,,,,,
湖南省,24417,24175,15525,13344,11022,,,,,
广东省,152560,131863,96324,84173,72830,,,,,
广西壮族自治区,25498,18610,22108,18798,15392,,,,,
海南省,5819,4543,5357,4340,3636,,,,,
重庆市,29351,20506,21127,16729,12963,,,,,
四川省,30079,25165,24629,18749,17363,,,,,
贵州省,12131,9129,6576,5622,5001,,,,,
云南省,21345,14332,14924,13450,10324,,,,,
西藏自治区,1158,1004,292,280,251,,,,,
陕西省,17573,13100,15511,12242,9141,,,,,
甘肃省,7123,6033,4798,3961,3577,,,,,
青海省,2920,2094,1337,1148,1075,,,,,
宁夏回族自治区,2994,2643,2408,2025,1696,,,,,
新疆维吾尔自治区,11953,8847,6045,5493,5011,,,,,
数据来源：国家统计局
