数据库：分省年度数据
指标：居民服务和其他服务业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,19429,18734,14788,14651,14613,,,,,
天津市,7663,5798,7457,6707,6236,,,,,
河北省,7695,6292,5088,4732,4331,,,,,
山西省,4778,2801,4840,4181,3592,,,,,
内蒙古自治区,3697,2621,2787,2533,2350,,,,,
辽宁省,9339,7471,9661,7170,6686,,,,,
吉林省,3528,2942,2157,2024,1914,,,,,
黑龙江省,3001,2748,3707,3657,3426,,,,,
上海市,12302,12073,13307,13396,13036,,,,,
江苏省,20725,14760,18805,16561,13907,,,,,
浙江省,15590,12375,9572,8345,7194,,,,,
安徽省,7797,5473,5033,4352,3269,,,,,
福建省,9326,5993,5919,5453,4856,,,,,
江西省,5517,3892,4751,3614,3047,,,,,
山东省,16531,11901,17604,15525,13944,,,,,
河南省,8029,6898,4790,4543,4445,,,,,
湖北省,13000,9419,9659,8639,7963,,,,,
湖南省,7789,7827,5675,5450,5317,,,,,
广东省,21772,17589,18981,17530,15975,,,,,
广西壮族自治区,4709,3541,4093,3417,2666,,,,,
海南省,1073,847,892,756,645,,,,,
重庆市,10199,7613,6844,5101,3408,,,,,
四川省,6620,5285,5066,4327,4091,,,,,
贵州省,4451,3418,2072,1770,1623,,,,,
云南省,5289,3122,3381,2882,2407,,,,,
西藏自治区,210,125,110,112,108,,,,,
陕西省,5652,4236,5372,4305,3368,,,,,
甘肃省,2275,1805,1776,1639,1502,,,,,
青海省,746,477,370,326,297,,,,,
宁夏回族自治区,794,691,740,638,527,,,,,
新疆维吾尔自治区,2725,1925,1583,1477,1409,,,,,
数据来源：国家统计局
