数据库：分省年度数据
指标：文化、体育和娱乐业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,27309,26787,12754,12112,11762,,,,,
天津市,3179,2544,1863,1608,1428,,,,,
河北省,7901,7388,2675,2322,2272,,,,,
山西省,6073,5601,3398,2727,2579,,,,,
内蒙古自治区,3357,3104,1900,1837,1801,,,,,
辽宁省,8745,7967,4880,3867,3782,,,,,
吉林省,3142,2736,1844,1599,1572,,,,,
黑龙江省,4133,3988,2026,1856,1793,,,,,
上海市,6864,6266,4941,4453,4166,,,,,
江苏省,18371,15410,9065,7352,6312,,,,,
浙江省,17680,14697,7218,6044,5274,,,,,
安徽省,11029,8852,3204,2653,2280,,,,,
福建省,9927,7234,5082,4622,3829,,,,,
江西省,6084,5098,2899,2357,2303,,,,,
山东省,13593,11541,6234,5263,4992,,,,,
河南省,15757,13048,4574,3856,3750,,,,,
湖北省,11787,10128,5913,4806,4486,,,,,
湖南省,14328,14474,4998,4346,4199,,,,,
广东省,16988,14695,9290,7762,7010,,,,,
广西壮族自治区,7302,6665,3489,3180,3005,,,,,
海南省,1605,1343,832,712,662,,,,,
重庆市,6896,5682,3156,2394,2128,,,,,
四川省,15232,12806,6505,4576,4394,,,,,
贵州省,3476,2853,1765,1515,1480,,,,,
云南省,6212,5432,3393,2809,2561,,,,,
西藏自治区,485,363,173,172,169,,,,,
陕西省,6322,5611,3231,2794,2554,,,,,
甘肃省,3774,3331,1775,1283,1226,,,,,
青海省,1056,888,457,404,394,,,,,
宁夏回族自治区,1149,1087,368,333,329,,,,,
新疆维吾尔自治区,3628,2925,1224,1161,1141,,,,,
数据来源：国家统计局
