数据库：分省年度数据
指标：建筑业法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,19019,18426,13102,12582,12321,,,,,
天津市,12415,9241,10078,8714,7607,,,,,
河北省,17486,14024,10562,9380,7954,,,,,
山西省,8751,6192,7433,6536,5658,,,,,
内蒙古自治区,5599,4238,4674,4369,4031,,,,,
辽宁省,24239,19727,21772,20190,18548,,,,,
吉林省,6485,4941,5218,4625,4018,,,,,
黑龙江省,6831,6148,8118,7895,7136,,,,,
上海市,16250,16163,22208,20388,20058,,,,,
江苏省,62563,43284,55105,48874,40517,,,,,
浙江省,32730,23416,24059,21081,17919,,,,,
安徽省,22319,16073,15424,12952,9946,,,,,
福建省,17719,10122,12856,10827,8925,,,,,
江西省,10902,7110,8698,6086,4857,,,,,
山东省,44962,29959,40418,36047,32419,,,,,
河南省,15510,12844,13132,12272,11522,,,,,
湖北省,23631,16439,21804,18251,15824,,,,,
湖南省,8831,8232,8132,7570,6935,,,,,
广东省,31623,23939,26249,23165,20172,,,,,
广西壮族自治区,7515,4730,5713,5047,3950,,,,,
海南省,3969,3174,3729,3079,2505,,,,,
重庆市,10247,7119,8959,7936,6949,,,,,
四川省,12056,9808,10965,9987,9474,,,,,
贵州省,4969,3617,2845,2437,2144,,,,,
云南省,11047,7760,8603,8042,6395,,,,,
西藏自治区,2193,2067,451,416,380,,,,,
陕西省,14488,10479,12822,10215,7664,,,,,
甘肃省,3552,2837,3204,2641,2464,,,,,
青海省,1727,1207,1077,949,831,,,,,
宁夏回族自治区,1440,1269,1502,1337,1154,,,,,
新疆维吾尔自治区,3907,2934,2480,2136,1955,,,,,
数据来源：国家统计局
