数据库：分省年度数据
指标：法人单位数(个)
时间：最近10年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年
北京市,660703,627051,404907,391503,384525,,,,,
天津市,264151,211404,207512,185899,168535,,,,,
河北省,530948,434833,387093,361028,345762,,,,,
山西省,304890,205135,244262,220371,205152,,,,,
内蒙古自治区,208636,157864,155136,147105,138466,,,,,
辽宁省,500312,415421,453601,388515,369014,,,,,
吉林省,172127,130301,131947,124637,118001,,,,,
黑龙江省,209042,173343,189208,184150,175798,,,,,
上海市,434106,409125,455055,422955,399549,,,,,
江苏省,1344793,1047033,1096912,979237,862205,,,,,
浙江省,1235667,962213,865140,778193,685493,,,,,
安徽省,467775,350360,324622,286915,242591,,,,,
福建省,566075,373792,399091,356207,307811,,,,,
江西省,326563,241367,249278,199355,184559,,,,,
山东省,1042834,823846,906064,832499,773550,,,,,
河南省,623772,510502,425276,410810,400721,,,,,
湖北省,567795,424368,435964,382113,345826,,,,,
湖南省,424939,403026,343869,314853,297153,,,,,
广东省,1295271,1070306,1008447,908008,802824,,,,,
广西壮族自治区,334563,236831,274666,238512,204970,,,,,
海南省,63619,45679,49117,42715,37648,,,,,
重庆市,378003,254834,274165,223752,177894,,,,,
四川省,462084,373424,403208,366196,353042,,,,,
贵州省,209860,146514,133415,116423,110274,,,,,
云南省,279007,190607,214490,197322,170893,,,,,
西藏自治区,26143,21162,16664,16474,16218,,,,,
陕西省,310150,243170,255333,231354,206664,,,,,
甘肃省,173848,130203,124734,114200,108433,,,,,
青海省,52074,34202,33425,30446,28326,,,,,
宁夏回族自治区,54607,43029,43820,40053,35963,,,,,
新疆维吾尔自治区,177083,134666,110109,101929,96728,,,,,
注：2004年及以后各年份法人单位数不包括国际组织法人单位数。
数据来源：国家统计局
