数据库：分省年度数据
指标：乡镇级区划数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,329,325,325,322,322,322,317,317,314,314,311,318,322,299,215,239,240,254,,
天津市,240,240,245,244,243,243,243,244,242,241,240,241,239,239,220,221,225,225,,
河北省,2246,2246,2234,2233,2227,2228,2228,2220,2233,2205,2209,2207,2202,2203,1973,1973,1972,1970,,
山西省,1398,1398,1397,1397,1397,1397,1397,1396,1389,1389,1388,1386,1384,1936,1834,1839,1937,1936,,
内蒙古自治区,1010,1010,1010,909,863,863,858,854,861,1112,1427,1431,1428,1405,1448,1496,1554,1553,,
辽宁省,1530,1521,1515,1508,1507,1504,1498,1498,1522,1528,1530,1532,1551,1639,1587,1619,1678,1198,,
吉林省,900,900,895,898,897,897,894,890,887,878,1005,1011,1026,1046,856,887,898,911,,
黑龙江省,1231,1279,1278,1278,1278,1272,1272,1270,1270,1273,1297,1314,1325,1964,1161,1161,1161,1161,,
上海市,209,208,208,209,210,210,213,211,213,214,220,221,234,246,255,206,209,207,,
江苏省,1274,1265,1281,1300,1307,1334,1342,1355,1388,1410,1488,1518,1592,1598,1482,1922,1971,1979,,
浙江省,1321,1324,1341,1346,1512,1513,1511,1516,1519,1525,1569,1598,1610,1610,1723,1770,1832,1841,,
安徽省,1505,1508,1509,1522,1523,1520,1523,1519,1625,1696,1776,1936,1996,1988,1841,1840,1870,1867,,
福建省,1104,1104,1104,1102,1102,1102,1101,1101,1104,1101,1104,1111,1104,1110,943,976,980,973,,
江西省,1548,1546,1540,1539,1539,1535,1530,1528,1526,1550,1549,1548,1615,1639,1817,1816,1811,1731,,
山东省,1826,1826,1824,1857,1874,1872,1868,1869,1932,1931,1941,1928,1927,1918,2207,2362,2366,2375,,
河南省,2420,2406,2399,2381,2371,2361,2358,2356,2355,2299,2451,2440,2422,2430,2031,2043,2144,2147,,
湖北省,1233,1232,1232,1233,1230,1227,1228,1223,1219,1220,1236,1234,1234,1234,1329,1355,1388,1395,,1901
湖南省,2414,2407,2388,2426,2419,2409,2404,2403,2407,2409,2576,2587,2583,2574,2353,2350,2351,2299,,
广东省,1587,1585,1586,1585,1581,1584,1584,1580,1579,1585,1612,1710,1844,1894,1612,1709,1707,,,
广西壮族自治区,1243,1247,1243,1235,1234,1232,1231,1230,1230,1232,1396,1396,1388,1410,1360,1360,1363,1360,,
海南省,218,224,222,222,222,222,222,222,220,218,218,218,218,315,309,308,308,308,,
重庆市,1023,1016,1012,1012,1014,1009,1007,1026,1022,1081,1150,1259,1347,1446,1472,1465,1483,1440,,
四川省,4648,4657,4660,4672,4668,4660,4657,4657,4660,4782,5018,5144,5280,5250,5062,5039,5007,4981,,
贵州省,1396,1507,1518,1558,1560,1555,1553,1543,1543,1543,1540,1539,1539,1537,1463,1464,1473,,,
云南省,1389,1388,1365,1362,1366,1366,1373,1370,1368,1455,1559,1574,1582,1585,1564,1565,1574,1574,,
西藏自治区,694,694,693,692,692,692,692,691,691,692,692,692,689,693,720,720,914,916,918,924
陕西省,1420,1420,1418,1418,1745,1745,1745,1745,1745,1745,1747,1744,1742,1739,1933,1963,1969,1968,,
甘肃省,1351,1347,1345,1353,1351,1350,1347,1343,1342,1348,1350,1569,1651,1660,1534,1536,1535,1533,,
青海省,399,395,396,396,396,396,398,396,396,422,429,429,424,425,430,430,432,432,,
宁夏回族自治区,237,237,237,237,235,233,232,231,229,229,226,227,343,344,309,299,299,299,,
新疆维吾尔自治区,1038,1035,1026,1020,1021,1005,1002,1009,1009,1009,1004,1005,1009,993,794,808,811,803,,
数据来源：国家统计局
