数据库：分省年度数据
指标：镇数(个)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,144,144,144,144,142,142,142,142,142,142,142,142,141,125,139,121,120,,,
天津市,121,121,123,123,115,116,116,117,118,120,120,120,120,120,114,103,94,,,
河北省,1050,1045,1019,1013,1007,992,969,962,946,943,937,937,933,910,900,893,871,,,
山西省,564,564,564,564,563,563,563,563,561,561,561,564,564,564,559,437,528,,,
内蒙古自治区,495,493,490,477,463,463,458,458,457,493,532,527,503,496,416,307,301,,,
辽宁省,645,636,615,607,581,577,572,573,595,602,613,614,613,665,656,652,636,,,
吉林省,434,434,429,428,426,425,423,423,425,426,454,456,460,452,459,454,445,,,
黑龙江省,513,495,485,478,473,467,467,466,470,470,473,475,475,448,479,433,426,,,
上海市,107,108,108,108,109,109,109,107,106,108,114,118,132,144,153,198,201,,,
江苏省,780,797,836,860,877,911,930,946,994,1019,1078,1117,1194,1200,1203,1073,1015,,,
浙江省,629,639,650,654,728,735,747,750,754,752,760,783,824,836,970,989,1006,,,
安徽省,938,927,923,914,912,905,908,912,924,948,968,997,1020,1003,973,903,898,,,
福建省,628,616,609,600,595,591,590,591,591,593,605,608,621,623,628,600,600,,,
江西省,816,807,802,794,788,778,770,768,767,773,771,770,789,786,759,700,671,,,
山东省,1114,1107,1094,1118,1118,1096,1111,1118,1190,1194,1223,1237,1253,1225,1351,1439,1432,,,
河南省,1103,1085,1014,1011,949,904,856,848,832,841,865,866,869,871,844,697,758,,,
湖北省,761,757,746,742,741,740,733,734,732,733,738,737,738,734,860,864,856,,,
湖南省,1153,1138,1131,1121,1109,1106,1101,1095,1091,1089,1098,1098,1097,1087,1055,1003,989,,,
广东省,1128,1128,1131,1132,1134,1137,1139,1137,1137,1145,1188,1318,1458,1511,1556,1570,1578,,,
广西壮族自治区,773,722,715,702,702,702,702,702,700,699,748,748,750,749,745,718,703,,,
海南省,176,182,183,183,183,183,183,183,181,180,181,181,181,200,205,204,202,,,
重庆市,610,611,604,598,587,578,580,589,595,608,626,648,683,680,675,637,653,,,
四川省,1937,1853,1831,1816,1821,1821,1821,1821,1821,1865,1882,1934,1937,1888,1790,1702,1684,,,
贵州省,762,782,729,694,689,689,691,691,691,691,692,693,697,696,692,685,692,,,
云南省,665,652,659,577,597,597,580,580,583,567,577,580,597,540,496,416,407,,,
西藏自治区,140,140,140,140,140,140,140,140,140,140,140,140,140,136,112,97,35,,,
陕西省,1142,1142,1136,1137,922,921,907,907,908,917,903,919,930,930,919,858,853,,,
甘肃省,526,478,470,468,466,464,462,462,460,457,456,463,460,328,267,194,184,,,
青海省,140,137,138,137,137,137,137,137,135,123,116,115,115,114,49,40,30,,,
宁夏回族自治区,102,101,101,101,99,99,98,98,94,94,93,92,78,79,72,61,60,,,
新疆维吾尔自治区,305,276,262,242,237,234,229,229,229,229,229,229,229,218,198,136,132,,,
数据来源：国家统计局
