数据库：分省年度数据
指标：原油消费量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,1075.77,1105.08,1116.29,1162.93,1116.76,950.91,796.12,799.60,809.35,726.68,748.00,700.50,754.71,724.05,644.50,694.79,690.50,654.66
天津市,,,1544.62,1754.02,1566.79,844.64,790.33,950.14,900.49,863.14,786.57,750.95,675.58,749.35,709.76,604.07,534.62,574.69,494.34,488.38
河北省,,,1547.61,1564.68,1396.65,1379.12,1357.63,1124.77,1046.69,1003.29,939.39,835.19,697.59,670.55,747.37,694.50,664.60,596.04,535.60,498.50
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,87.02,118.66,140.74,191.76,189.25,142.82,139.20,131.83,132.19,128.83,126.05,133.07,126.26,126.31,115.05,113.27,100.30,87.30
辽宁省,,,7000.91,6705.53,6558.91,5873.05,5945.19,5893.46,5555.04,5410.89,5216.67,4560.41,4218.81,4046.30,3938.74,3364.49,2982.66,3054.26,2692.74,2516.42
吉林省,,,977.05,1064.58,939.97,851.89,915.24,986.08,954.94,968.36,833.01,885.24,731.42,709.33,702.63,708.37,671.33,659.36,532.55,493.30
黑龙江省,,,2166.48,2200.93,2106.53,2065.13,1735.97,1886.02,1850.06,1785.01,1616.07,1619.14,1586.16,1615.50,1601.27,1517.62,1418.56,1419.41,1288.88,1204.34
上海市,,,2210.55,2134.69,2126.50,1937.18,1951.55,1719.57,1832.84,1967.00,1842.29,1737.52,1424.91,1355.03,1309.70,1150.06,1001.35,1018.50,995.53,976.04
江苏省,,,2947.99,2981.07,2998.55,2661.44,2313.13,2454.00,2302.70,2264.76,1875.39,1714.54,1407.68,1317.61,1376.65,1183.92,1126.52,1106.91,1045.96,1010.80
浙江省,,,2732.59,2939.77,2835.41,2505.80,2287.35,2248.73,2114.73,2113.04,1853.44,1425.16,1241.04,1123.85,1112.48,785.80,690.92,692.34,618.67,575.02
安徽省,,,421.38,484.13,477.57,454.13,426.34,451.08,445.40,414.49,419.79,334.92,307.99,288.27,345.06,292.83,285.99,300.90,302.73,277.04
福建省,,,1104.55,963.00,1141.74,706.01,310.96,352.33,375.03,348.40,390.55,362.41,334.15,347.54,358.43,291.33,279.08,285.01,250.05,225.02
江西省,,,508.22,432.77,469.92,451.68,411.00,396.47,417.99,368.02,363.41,314.07,297.27,299.57,331.18,283.56,251.56,249.47,231.46,230.56
山东省,,,6271.50,5826.37,5593.40,5142.90,4626.97,4075.67,3878.27,3300.36,3196.39,2213.73,1628.23,1777.97,1771.22,1477.60,1448.99,1528.57,1425.66,1347.92
河南省,,,1010.02,874.63,835.07,785.82,704.22,713.83,696.57,668.82,704.54,37.12,601.64,598.20,610.58,560.52,486.66,447.82,398.06,401.96
湖北省,,,947.74,1026.23,1033.86,946.60,884.26,910.00,851.10,822.13,754.01,637.14,595.43,570.06,669.77,578.65,500.35,594.91,562.31,511.36
湖南省,,,926.00,766.03,587.60,565.77,614.11,671.67,574.49,660.86,615.79,507.82,470.92,440.43,541.05,481.58,356.98,359.20,347.01,348.87
广东省,,,4511.51,4403.37,4455.31,3709.44,3046.21,2940.10,2805.71,2388.37,2391.35,2095.15,1961.91,1943.03,1956.41,1573.96,1377.42,1388.73,1287.18,1226.95
广西壮族自治区,,,1473.00,1064.06,396.02,163.03,133.30,152.98,118.21,97.71,82.36,73.19,70.24,61.41,61.41,57.45,57.51,50.87,49.25,42.44
海南省,,,930.81,915.19,859.17,835.68,796.83,816.28,230.10,11.46,13.87,31.60,,13.49,14.69,6.39,1.10,0.01,0.01,0.01
重庆市,,,,,,0.01,0.02,0.13,3.17,2.86,0.48,0.27,0.25,0.19,,,,,,
四川省,,,351.47,361.75,351.76,315.68,285.49,239.95,174.94,140.81,114.99,75.67,57.78,55.80,38.89,38.89,37.31,33.94,33.48,30.60
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,0.02,0.02,0.06,0.07,0.06,0.11,0.07,0.07,0.06,,,,,50.19,49.00,42.05,,32.16
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,2267.96,2095.67,2104.61,1870.10,1764.73,1608.85,1488.94,1242.42,1072.98,869.97,704.25,618.26,521.61,446.03,342.20,291.22,197.21,153.94
甘肃省,,,1544.21,1635.77,1400.18,1440.79,1394.36,1432.87,1323.38,1229.26,1154.76,1017.98,935.32,887.10,880.88,794.09,803.95,785.79,708.10,673.37
青海省,,,145.44,156.25,127.98,82.03,109.20,110.15,106.11,95.02,83.41,66.73,62.43,65.40,62.17,59.12,55.48,51.68,60.13,83.96
宁夏回族自治区,,,424.12,91.71,175.77,182.65,183.75,156.78,174.42,167.05,159.10,200.40,,,92.62,92.62,87.59,83.74,68.56,67.86
新疆维吾尔自治区,,,2594.85,2598.46,2308.44,1997.90,1940.53,1873.37,1813.64,1628.77,1314.13,1189.14,1128.01,1076.34,1071.29,1005.45,1024.03,943.71,836.75,727.61
数据来源：国家统计局
