数据库：分省年度数据
指标：煤油消费量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,443.33,419.88,392.63,341.93,318.39,277.10,233.86,189.36,182.82,137.94,145.00,129.25,117.60,110.38,91.31,88.63,85.67,65.84
天津市,,,29.41,24.53,21.40,20.73,18.13,19.38,16.36,15.12,15.02,18.61,15.63,11.42,18.82,6.12,6.10,6.15,5.09,3.79
河北省,,,7.79,8.94,7.34,6.25,7.37,6.22,5.88,3.21,3.11,2.71,2.83,3.00,3.23,3.36,3.86,3.49,3.41,3.50
山西省,,,18.00,15.18,14.64,16.28,14.67,11.90,10.43,8.45,8.11,5.20,6.66,6.34,6.36,6.34,6.27,6.30,6.68,2.65
内蒙古自治区,,,23.19,10.10,9.35,8.28,7.24,6.44,5.52,0.40,1.94,1.76,1.58,1.56,1.55,0.30,0.70,0.40,0.89,0.40
辽宁省,,,35.58,27.35,23.34,20.62,24.99,38.15,34.89,26.40,21.53,18.42,20.27,18.17,18.55,21.01,20.25,13.74,12.91,11.56
吉林省,,,0.81,1.25,1.21,1.15,1.18,7.47,6.73,15.85,10.29,4.07,3.89,3.62,3.28,3.20,2.98,2.83,2.75,2.55
黑龙江省,,,65.94,26.47,24.06,0.31,0.51,3.85,10.25,7.28,8.94,7.06,10.61,7.91,8.74,10.64,5.70,6.14,3.80,5.17
上海市,,,402.74,400.50,399.07,353.11,321.47,295.45,261.97,223.32,168.15,103.44,103.62,59.57,55.71,58.83,55.84,46.68,39.83,37.56
江苏省,,,53.14,44.73,35.69,21.18,21.45,20.79,18.41,21.55,20.18,14.92,6.52,6.08,38.94,19.92,16.67,16.86,9.25,8.61
浙江省,,,80.07,74.75,70.42,62.90,54.91,49.48,46.47,40.98,10.55,10.40,9.37,9.92,11.25,10.86,10.70,10.08,7.92,7.29
安徽省,,,10.77,9.09,8.41,13.23,11.02,11.34,10.60,10.52,8.49,7.53,2.70,2.70,2.56,7.80,3.07,1.86,3.22,5.36
福建省,,,74.36,64.39,56.50,50.96,51.95,49.09,36.99,32.77,26.22,25.54,5.30,7.96,7.60,7.43,6.75,5.14,6.62,4.63
江西省,,,9.51,9.05,8.50,7.65,8.01,7.80,7.95,7.14,8.66,5.32,0.82,0.77,2.81,2.38,2.37,2.55,3.06,3.19
山东省,,,77.08,39.66,38.61,35.41,30.73,32.02,23.88,21.99,21.74,14.23,41.97,49.53,48.25,48.68,52.28,37.18,30.22,23.51
河南省,,,53.39,49.64,30.64,25.63,16.50,17.03,16.03,13.91,12.63,12.74,13.28,13.16,14.34,15.85,17.37,18.17,16.06,16.42
湖北省,,,53.26,46.75,40.41,47.43,49.70,35.98,34.61,26.08,14.55,12.93,17.47,14.51,18.29,20.38,19.79,16.74,15.89,14.93
湖南省,,,35.22,32.03,30.25,30.44,25.41,24.50,20.83,12.48,11.58,8.91,8.74,4.93,8.08,7.86,7.97,8.48,8.81,9.77
广东省,,,243.57,216.93,202.38,192.12,183.07,171.14,157.40,153.72,130.97,119.64,103.15,95.98,89.51,66.94,65.69,64.75,56.11,56.04
广西壮族自治区,,,0.08,0.28,2.73,0.09,16.05,0.27,,7.00,5.05,10.43,11.17,3.79,3.79,3.75,3.59,3.34,5.36,5.60
海南省,,,82.83,90.15,87.43,90.03,80.16,64.67,65.92,62.50,54.26,52.20,,30.49,28.13,22.10,16.18,14.54,13.15,11.01
重庆市,,,54.28,52.78,41.78,34.06,30.44,27.01,23.01,12.30,12.53,8.58,8.53,8.33,8.34,8.43,8.26,7.78,,
四川省,,,205.44,206.24,173.31,155.07,126.61,128.62,105.83,93.56,78.99,72.14,56.13,43.62,36.04,36.04,33.48,28.75,26.82,24.17
贵州省,,,13.27,10.84,8.94,2.95,2.95,9.73,9.63,8.41,2.69,2.55,2.29,2.36,9.37,8.88,8.62,7.73,7.38,7.49
云南省,,,56.06,51.12,47.44,37.24,38.19,36.18,35.06,28.71,23.50,20.02,18.95,20.55,19.24,19.43,16.78,14.90,11.70,9.15
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,10.11,9.67,8.94,8.48,15.65,1.78,34.80,34.81,48.46,36.01,28.03,18.48,19.49,26.67,25.85,18.90,18.97,17.26
甘肃省,,,5.23,3.72,4.98,5.45,5.51,5.48,4.68,4.61,6.80,5.34,5.30,5.28,3.73,3.34,3.99,3.96,3.25,3.17
青海省,,,,0.19,0.17,0.16,0.40,2.02,-0.00,0.01,,,,,0.06,0.08,0.13,0.14,0.18,0.07
宁夏回族自治区,,,7.32,6.58,5.16,4.23,3.72,2.79,2.25,2.01,4.13,,,,0.04,0.04,0.06,0.01,0.03,0.42
新疆维吾尔自治区,,,45.34,37.32,33.33,31.40,38.15,33.28,30.88,26.12,18.20,15.61,16.61,23.73,21.31,18.44,19.45,18.39,18.68,16.10
数据来源：国家统计局
