数据库：分省年度数据
指标：电力消费量(亿千瓦小时)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,937.05,913.11,874.30,821.71,809.90,739.15,689.72,667.01,611.57,570.54,510.11,461.24,439.96,399.94,384.43,344.13,318.18,302.97,277.40,261.74
天津市,794.36,774.49,722.50,695.15,645.74,550.16,515.88,494.91,433.65,384.84,350.97,313.00,274.39,247.94,234.05,211.19,182.42,194.09,187.51,178.99
河北省,3314.11,3251.19,3077.70,2984.90,2691.52,2343.85,2095.02,2013.67,1734.83,1501.92,1291.41,1098.99,965.83,867.55,809.34,745.72,682.65,670.71,630.29,602.68
山西省,1822.63,1832.35,1765.80,1650.41,1460.00,1267.54,1314.33,1348.81,1097.68,946.33,841.55,731.77,628.82,557.58,501.99,459.34,440.31,446.01,431.22,399.16
内蒙古自治区,2416.74,2181.90,2016.80,1864.07,1536.83,1287.93,1220.57,1160.21,884.91,667.72,535.58,406.62,320.43,280.89,254.21,236.77,189.56,211.61,202.15,186.83
辽宁省,2038.73,2008.46,1899.90,1861.53,1715.26,1488.17,1412.00,1359.51,1228.27,1110.56,1058.10,886.88,809.45,764.77,748.89,756.11,674.55,711.41,661.12,622.81
吉林省,667.81,653.85,637.00,630.15,576.98,515.25,496.49,462.64,412.46,378.23,383.06,359.40,306.29,295.08,291.37,295.46,270.58,287.80,274.30,267.60
黑龙江省,859.42,845.20,827.90,801.87,747.84,688.67,669.90,628.94,597.05,555.85,541.65,503.63,468.45,456.86,442.28,422.58,407.93,429.83,380.22,409.38
上海市,1369.03,1410.60,1353.40,1339.62,1295.87,1153.38,1138.22,1072.38,990.15,921.97,821.44,745.97,645.71,592.98,559.45,501.20,482.94,454.26,430.40,403.27
江苏省,5012.54,4956.62,4580.90,4281.62,3864.37,3313.99,3118.32,2952.02,2569.75,2193.45,1820.08,1505.13,1245.14,1078.44,971.34,848.74,786.02,777.63,748.57,684.80
浙江省,3506.39,3453.05,3210.60,3116.91,2820.93,2471.44,2322.87,2189.37,1909.23,1642.31,1419.53,1240.35,1010.72,848.40,738.05,611.67,547.78,511.45,479.34,439.59
安徽省,1585.18,1528.07,1361.10,1221.19,1077.91,952.31,858.88,769.10,662.18,582.16,515.94,445.44,389.94,359.59,338.93,312.96,309.19,315.65,308.10,288.97
福建省,1855.79,1700.73,1579.50,1515.86,1315.09,1134.92,1073.55,1000.33,866.84,756.59,664.35,585.35,496.83,439.19,401.51,355.26,321.92,310.19,284.88,261.28
江西省,1018.52,947.11,867.70,835.10,700.51,609.22,545.88,511.09,446.20,391.98,389.20,299.53,246.57,222.28,208.15,193.91,188.00,186.08,190.22,181.21
山东省,4223.49,4083.12,3794.60,3635.26,3298.46,2941.07,2726.97,2596.05,2272.07,1911.61,1693.71,1395.72,1241.74,1104.53,1000.71,805.47,792.89,855.54,796.76,741.07
河南省,2919.57,2899.18,2747.70,2659.14,2353.96,2081.38,1970.77,1808.00,1523.50,1352.74,1299.63,1054.64,916.25,808.41,718.52,672.09,649.88,653.26,613.67,571.48
湖北省,1656.54,1629.75,1507.90,1450.76,1330.44,1135.13,1058.53,989.23,876.76,788.91,699.41,629.20,561.96,526.02,503.02,487.65,454.52,444.85,430.01,414.99
湖南省,1430.88,1423.09,1346.50,1293.44,1171.91,1010.57,904.95,890.58,768.77,674.43,662.61,546.95,477.49,439.78,406.12,376.74,368.50,355.39,351.97,374.76
广东省,5235.23,4830.13,4619.40,4399.02,4060.13,3609.64,3504.82,3394.05,3004.03,2673.56,2387.14,2031.29,1687.83,1458.42,1334.58,1086.24,987.85,918.85,857.68,787.66
