数据库：分省年度数据
指标：煤油生产量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,132.92,126.35,116.10,111.61,85.23,36.39,11.60,12.36,8.11,,,,,0.03,0.02,0.65,0.18,0.26
天津市,,,94.50,114.95,81.22,32.74,21.80,35.12,27.42,25.83,29.19,27.07,26.90,22.37,32.57,15.36,9.76,12.44,7.89,8.85
河北省,,,0.32,0.00,4.31,7.05,12.21,11.14,13.15,11.94,12.08,11.43,8.71,9.15,12.69,12.95,11.32,13.08,7.86,4.83
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,0.00,,,,,,,,,,,,,,,,,0.02
辽宁省,,,293.27,221.96,224.23,231.90,230.06,206.19,218.74,220.00,213.46,214.19,200.21,205.39,231.53,140.23,115.56,98.26,90.55,84.34
吉林省,,,,,,,0.05,,,,0.05,0.31,0.22,1.23,1.28,2.06,0.12,0.07,0.14,1.96
黑龙江省,,,42.27,34.72,31.50,28.46,24.96,23.54,20.57,19.28,20.53,22.07,22.61,24.05,23.27,26.65,21.21,23.96,23.95,22.27
上海市,,,165.09,150.12,149.30,149.71,136.98,121.19,112.27,144.25,137.05,105.06,65.62,53.12,48.38,54.53,42.37,42.39,40.43,35.84
江苏省,,,231.63,201.29,165.57,156.87,108.93,141.03,99.45,99.41,69.18,59.16,66.94,55.10,67.21,72.16,51.88,55.77,58.87,50.64
浙江省,,,156.23,162.89,154.56,146.08,129.41,153.78,127.29,130.97,130.69,110.31,100.40,85.35,107.28,82.93,63.70,58.00,45.41,32.31
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,103.20,106.82,94.69,32.28,6.41,5.55,6.31,5.81,5.64,5.24,4.93,5.61,8.64,7.36,5.44,4.61,6.09,3.49
江西省,,,3.24,0.00,0.00,0.00,0.07,1.29,1.57,4.67,5.34,5.08,4.08,2.21,4.44,3.96,4.08,3.18,4.01,2.14
山东省,,,114.88,92.22,86.69,68.03,37.88,35.07,31.71,34.65,59.44,50.85,46.73,45.10,44.96,41.66,53.77,42.54,35.98,24.89
河南省,,,72.11,47.70,56.92,49.33,31.19,32.45,21.18,20.07,28.20,15.88,17.55,19.32,17.04,25.57,26.82,30.78,23.21,21.10
湖北省,,,50.89,51.20,46.22,23.52,15.72,12.62,7.84,8.85,8.59,12.93,17.47,17.66,16.38,20.33,23.89,14.20,19.52,13.64
湖南省,,,28.31,12.52,4.76,3.84,4.05,8.44,7.97,10.99,10.45,7.17,8.25,4.03,8.57,12.02,9.48,9.11,8.70,7.49
广东省,,,399.08,366.08,343.96,298.61,188.59,204.81,164.21,156.29,165.25,145.23,160.45,155.83,147.68,122.91,102.42,102.06,98.11,72.28
广西壮族自治区,,,35.14,18.45,3.35,2.90,,,,0.01,,0.01,0.01,0.05,0.05,0.10,0.76,0.48,0.26,0.55
海南省,,,78.03,68.06,44.58,35.43,31.06,32.78,3.43,,,,,,,,,,,
重庆市,,,,,,,,,,0.02,0.04,0.04,0.04,0.02,,,0.04,0.06,,
四川省,,,1.24,0.90,1.06,0.83,1.11,1.43,1.88,1.44,1.42,1.41,2.76,5.50,4.23,4.38,3.31,2.29,2.77,2.76
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,0.69,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,30.84,25.69,27.65,18.69,15.73,11.32,8.92,,8.21,6.87,10.24,8.29,8.46,1.41,0.63,1.11,1.31,1.65
甘肃省,,,39.40,31.66,32.28,50.69,49.58,48.53,48.57,49.61,42.76,35.39,42.44,49.17,55.88,44.05,4.12,43.80,43.79,38.64
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,0.06,0.48,0.11,,
新疆维吾尔自治区,,,58.95,46.13,45.63,30.86,38.65,30.60,34.79,32.14,24.45,19.60,19.55,20.80,31.75,28.74,23.04,18.02,16.95,15.80
数据来源：国家统计局
