数据库：分省年度数据
指标：火力发电量(亿千瓦小时)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,283.19,255.53,261.80,241.04,242.99,223.15,207.05,209.80,198.07,185.64,136.18,130.35,136.62,134.44,135.31,136.29,133.22,128.18
天津市,,,585.25,619.52,559.60,389.67,377.93,393.13,359.24,365.69,339.76,320.07,268.83,217.43,211.35,181.10,165.30,178.19,145.82,131.58
河北省,,,2193.17,2214.67,1926.28,1707.18,1407.60,1633.04,1438.88,1332.17,1251.11,1085.17,1010.32,897.88,839.53,767.01,679.35,683.50,636.06,593.72
山西省,,,2396.42,2301.73,2104.00,1848.76,1764.93,1713.18,1502.50,1291.65,1058.00,945.71,823.18,691.14,607.27,558.45,548.02,540.26,519.52,498.85
内蒙古自治区,,,2793.30,2639.00,2226.55,2073.49,2071.98,1876.83,1395.93,1042.28,805.84,639.53,507.30,456.93,432.09,378.18,347.94,340.85,322.53,277.11
辽宁省,,,1282.27,1260.40,1204.04,1117.15,1085.26,1065.26,962.82,845.00,834.48,812.30,709.29,638.68,628.00,584.94,581.05,585.18,537.89,496.63
吉林省,,,570.36,591.97,463.29,458.61,398.63,422.74,385.76,354.16,329.15,297.39,250.37,270.83,265.48,254.64,241.96,239.37,233.07,201.45
黑龙江省,,,763.50,771.57,720.35,685.91,696.62,670.32,629.64,581.13,484.98,483.12,444.19,425.41,413.54,402.31,411.17,422.02,405.14,381.30
上海市,,,882.45,945.98,864.79,767.77,765.25,736.25,720.33,728.74,703.77,687.51,608.92,572.86,553.09,498.01,483.23,452.96,423.11,401.93
江苏省,,,3669.74,3562.63,3166.32,2762.15,2631.34,2577.39,2512.58,2114.03,1550.78,1332.77,1115.53,986.49,909.57,787.03,753.97,776.54,756.39,698.42
浙江省,,,2214.77,2323.10,2075.47,1840.32,1519.53,1570.01,1403.49,1094.64,915.34,827.50,630.12,614.29,539.18,439.90,404.51,404.18,373.50,300.67
安徽省,,,1649.48,1609.86,1420.18,1300.24,1096.32,853.76,718.67,636.37,587.58,541.60,455.15,381.22,350.87,298.54,298.91,319.63,314.18,297.94
福建省,,,1118.29,1272.58,890.43,882.30,715.97,723.63,555.80,486.88,489.52,421.46,308.50,211.70,208.45,172.17,137.11,116.05,133.22,106.60
江西省,,,609.27,648.69,545.36,447.42,407.54,416.95,344.49,305.61,303.43,273.30,186.48,162.22,149.85,134.72,120.66,119.30,136.31,121.35
山东省,,,3034.60,3128.18,3003.60,2828.88,2598.25,2691.43,2309.22,1909.59,1681.78,1396.77,1220.73,1068.95,1005.14,910.45,823.72,839.85,792.33,738.83
河南省,,,2422.41,2467.24,2092.09,1952.61,1754.92,1829.73,1512.35,1346.77,1200.87,968.26,858.86,753.81,677.76,642.14,617.36,618.50,577.19,532.01
湖北省,,,744.49,913.63,752.72,606.07,525.63,644.40,548.41,476.15,396.80,395.32,333.98,322.88,277.73,283.00,243.93,244.61,204.89,193.71
湖南省,,,742.16,880.78,723.75,618.51,520.06,547.59,464.08,403.13,371.31,294.79,197.61,189.07,163.27,167.14,152.01,152.96,173.07,174.86
广东省,,,2860.68,3017.97,2487.86,2157.62,1968.54,2187.24,1884.29,1764.53,1661.26,1399.46,1209.57,1075.18,1038.61,877.22,748.91,702.98,659.63,583.62
广西壮族自治区,,,630.38,623.02,543.73,409.51,301.26,355.89,279.67,250.23,192.02,170.28,123.61,116.21,120.21,99.47,98.20,80.68,87.35,78.99
海南省,,,179.25,157.24,137.39,112.49,107.90,101.61,85.08,72.46,56.40,45.25,36.37,28.61,27.51,28.78,26.93,19.75,20.66,20.21
重庆市,,,338.77,393.47,333.76,307.59,284.88,290.69,234.87,185.81,168.99,158.18,147.27,136.87,129.68,125.99,118.54,116.77,,
四川省,,,587.33,609.42,570.21,513.09,400.85,448.60,441.93,365.42,313.79,368.45,285.65,208.77,185.13,183.46,222.87,245.10,349.20,316.18
贵州省,,,1025.42,1023.99,969.05,979.15,816.97,825.71,760.39,584.30,490.40,432.74,325.59,268.55,221.27,200.92,171.88,144.91,141.94,116.64
云南省,,,468.50,536.03,546.25,548.05,388.44,473.55,397.91,274.89,248.22,193.91,163.93,142.99,101.32,113.29,94.64,85.51,71.20,66.37
西藏自治区,,,4.61,4.64,3.82,1.31,0.14,0.01,0.09,0.08,0.08,,0.07,0.05,0.05,0.04,,0.21,0.24,0.25
陕西省,,,1126.70,1122.04,1024.89,834.37,786.58,651.28,544.82,495.85,455.90,373.35,317.59,275.04,237.48,235.37,214.77,247.12,235.79,211.34
甘肃省,,,717.51,709.91,502.29,432.45,479.27,424.37,357.38,339.70,334.71,295.95,234.26,184.13,150.98,144.92,157.41,163.91,151.33,141.56
青海省,,,114.70,91.78,97.15,101.62,103.23,99.90,72.04,55.63,61.21,63.88,50.52,44.98,26.10,26.88,33.93,34.06,28.21,17.85
宁夏回族自治区,,,954.70,909.42,551.36,454.60,449.28,432.45,367.31,295.19,243.99,198.85,163.24,142.71,128.43,102.46,102.60,106.41,103.30,98.48
新疆维吾尔自治区,,,903.24,731.02,550.90,447.82,404.25,349.20,299.01,265.48,226.34,195.10,164.43,151.30,149.29,135.33,130.41,123.02,111.15,97.27
数据来源：国家统计局
