数据库：分省年度数据
指标：国有经济煤气生产和供应业固定资产投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,1.90,7.24,4.73,2.08,,,10.57,11.03,6.56,11.38,13.71,11.32,12.50,10.17,7.22,7.71,4.14,4.04
天津市,,,17.81,15.29,13.88,10.93,6.58,5.72,2.50,2.63,2.64,3.02,2.57,2.45,3.90,7.95,7.19,5.21,3.31,1.10
河北省,,,12.30,6.18,16.78,15.26,7.12,12.04,9.55,4.20,6.95,7.10,3.48,3.85,2.53,1.27,1.78,1.45,0.71,0.53
山西省,,,32.38,22.43,26.24,11.02,6.38,3.55,2.09,0.79,3.43,6.88,0.87,2.98,2.80,2.83,2.56,1.33,2.37,1.07
内蒙古自治区,,,6.18,9.25,4.49,8.79,5.87,2.46,2.64,1.44,1.24,1.88,0.87,0.75,0.74,1.44,1.00,0.33,0.15,0.14
辽宁省,,,111.10,64.71,34.57,6.90,6.16,3.87,2.18,4.15,2.90,2.02,0.96,2.14,1.83,2.01,2.64,3.36,2.41,1.55
吉林省,,,5.77,7.03,3.47,1.92,7.22,2.59,1.49,0.50,1.09,,,0.19,0.76,0.74,1.32,2.36,1.27,0.91
黑龙江省,,,7.17,9.51,4.41,8.42,4.18,2.01,2.43,0.71,0.20,0.93,2.39,2.17,1.22,1.00,0.93,1.86,1.55,2.61
上海市,,,4.72,1.07,5.39,8.31,2.05,4.65,5.43,4.18,2.44,4.71,2.63,3.69,6.88,9.90,13.04,10.03,14.06,8.43
江苏省,,,5.60,9.85,43.47,14.92,12.73,1.07,1.94,1.32,2.46,4.33,4.52,1.47,1.41,3.82,3.29,2.28,2.30,0.86
浙江省,,,28.96,16.96,6.48,5.15,5.10,4.72,12.21,29.35,27.22,3.49,2.12,1.02,1.16,0.90,1.06,1.14,1.18,1.38
安徽省,,,6.76,9.90,11.82,12.15,6.90,3.55,3.00,3.27,3.41,2.44,1.12,1.36,0.61,1.16,2.06,0.99,0.98,0.88
福建省,,,4.07,9.04,15.77,13.78,11.08,26.95,22.57,7.36,1.69,1.28,0.97,1.27,2.03,0.86,0.60,0.62,0.23,0.26
江西省,,,14.60,7.95,12.08,6.08,1.85,1.91,1.89,1.14,1.38,0.56,0.24,0.37,0.64,0.63,0.70,1.01,2.48,0.78
山东省,,,10.93,9.90,11.54,6.80,14.45,4.05,4.50,4.40,3.53,4.50,3.47,3.69,3.38,3.42,4.72,6.27,4.03,2.37
河南省,,,19.14,19.33,22.42,29.82,2.19,4.59,12.62,7.62,10.10,6.50,3.24,3.95,3.64,4.29,6.97,2.84,1.22,3.24
湖北省,,,12.20,10.37,11.37,15.93,7.86,5.53,1.43,3.10,2.62,4.12,0.77,0.38,0.44,0.49,1.58,1.46,1.68,1.29
湖南省,,,11.06,9.23,5.61,4.75,5.35,2.41,1.13,1.07,1.97,1.09,2.01,0.61,0.83,0.79,0.57,0.35,0.74,1.05
广东省,,,15.84,9.56,17.14,9.57,6.96,4.70,5.50,8.99,1.75,1.24,1.49,1.79,1.45,1.38,1.79,1.47,0.94,1.83
广西壮族自治区,,,15.36,6.06,1.34,2.00,0.97,1.44,0.72,0.27,0.18,0.62,1.31,1.74,1.44,0.14,0.14,0.05,0.07,0.11
海南省,,,0.63,,2.66,1.45,,1.80,0.20,0.14,0.15,0.06,0.06,1.26,1.58,0.81,1.07,0.98,2.20,0.01
重庆市,,,13.56,6.27,4.52,11.42,6.38,6.48,2.48,1.40,1.49,0.86,1.47,1.16,0.72,1.16,1.11,0.49,,
四川省,,,13.38,36.34,9.91,7.80,5.54,4.19,10.10,4.51,2.38,3.96,2.68,3.60,3.00,2.82,2.18,1.76,2.75,2.27
贵州省,,,0.54,5.61,1.17,0.78,0.32,0.40,0.20,0.36,0.51,0.94,0.42,0.09,0.49,0.17,0.42,0.24,0.30,0.20
云南省,,,6.30,3.50,5.86,3.92,3.12,6.05,1.00,3.16,0.62,0.60,0.38,0.11,0.19,0.20,0.17,0.48,0.28,0.41
西藏自治区,,,1.99,0.72,0.40,0.79,0.24,0.10,,,0.06,,,,,,,,,
陕西省,,,33.93,25.17,20.72,11.71,5.50,6.02,3.68,3.21,2.04,2.83,2.25,3.20,2.37,2.80,3.78,2.62,2.49,0.78
甘肃省,,,16.51,11.74,8.10,5.96,5.43,6.79,1.71,0.80,0.62,1.45,0.51,0.30,0.36,0.64,0.61,0.66,0.64,0.52
青海省,,,0.24,1.46,2.12,,,0.11,0.10,0.09,0.06,,0.19,0.06,,,0.01,0.02,0.01,
宁夏回族自治区,,,1.09,1.55,0.98,0.70,0.57,0.32,0.47,0.21,0.51,0.52,0.31,0.36,0.47,0.28,0.45,0.03,0.02,0.09
新疆维吾尔自治区,,,13.89,11.65,6.10,4.83,4.57,2.47,2.60,1.50,2.73,2.97,3.09,1.02,0.68,0.68,1.09,0.37,0.74,0.29
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
