数据库：分省年度数据
指标：煤气生产和供应业投资(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,23.86,16.98,15.10,9.72,7.88,10.64,10.89,11.12,6.56,11.41,14.02,11.32,12.50,,,,,4.04
天津市,,,22.84,18.06,15.70,11.74,7.23,5.92,2.70,6.21,2.64,3.47,2.57,3.56,3.90,,,,,1.10
河北省,,,87.30,56.26,36.97,25.98,18.10,22.81,29.83,10.83,6.95,10.34,4.50,6.37,3.15,,,,,0.59
山西省,,,69.34,51.87,55.63,36.58,34.75,21.01,8.41,3.66,3.43,7.70,1.88,3.63,3.45,,,,,1.07
内蒙古自治区,,,186.29,194.54,126.19,81.38,19.12,8.15,5.92,4.17,1.24,11.91,2.45,0.76,0.78,,,,,0.14
辽宁省,,,163.59,99.51,71.63,21.83,14.00,10.51,5.76,6.64,2.90,2.19,1.54,2.19,2.25,,,,,1.55
吉林省,,,37.06,37.29,29.56,15.98,18.03,9.95,3.90,4.69,1.09,0.43,0.14,0.85,1.07,,,,,0.91
黑龙江省,,,59.69,55.52,21.18,13.96,9.25,5.89,2.96,1.13,0.20,1.10,2.39,2.23,1.36,,,,,2.61
上海市,,,11.89,12.37,24.95,25.57,19.57,10.78,11.84,11.60,2.44,14.02,6.84,5.83,6.88,,,,,12.98
江苏省,,,57.61,64.24,65.18,34.46,26.15,21.27,15.07,12.46,2.46,11.14,6.67,1.82,2.19,,,,,1.88
浙江省,,,57.34,33.32,17.07,10.23,10.71,9.01,22.34,33.32,27.22,5.75,2.83,1.39,1.59,,,,,1.77
安徽省,,,32.45,29.07,30.26,25.25,20.55,11.56,8.54,8.18,3.41,4.62,1.65,1.36,0.82,,,,,0.94
福建省,,,20.65,18.70,23.87,21.94,14.41,28.94,24.43,8.59,1.69,1.96,1.24,1.30,2.12,,,,,0.26
江西省,,,43.28,40.81,37.47,28.62,14.48,13.51,7.43,5.53,1.38,2.26,0.47,0.38,0.69,,,,,0.79
山东省,,,88.69,61.00,46.49,42.39,37.57,23.49,29.58,20.68,3.53,13.92,6.11,5.42,3.99,,,,,2.37
河南省,,,90.20,61.49,55.34,59.45,15.70,17.87,29.97,17.36,10.10,10.62,6.05,5.52,3.92,,,,,3.24
湖北省,,,36.88,29.40,22.19,31.61,16.96,12.47,14.96,16.36,2.62,5.41,1.73,0.71,2.35,,,,,1.30
湖南省,,,43.41,44.48,20.84,22.23,17.66,10.79,6.55,9.39,1.97,2.43,2.61,1.27,1.11,,,,,1.17
广东省,,,75.96,49.60,51.72,18.45,21.39,24.45,41.70,45.24,1.75,4.08,3.72,3.22,3.67,,,,,4.11
广西壮族自治区,,,64.66,15.30,10.89,7.32,5.59,4.57,4.20,4.08,0.18,1.27,1.54,2.01,1.77,,,,,0.11
海南省,,,11.19,8.62,4.26,3.67,0.15,2.25,0.54,2.70,0.15,1.00,0.60,1.46,2.08,,,,,0.76
重庆市,,,31.16,20.70,36.00,16.70,12.89,9.92,6.18,5.90,1.49,2.25,2.09,1.51,1.53,,,,,
四川省,,,71.02,75.05,47.25,25.53,18.62,13.90,18.55,9.05,2.38,7.75,3.72,5.89,3.92,,,,,2.44
贵州省,,,18.45,13.14,4.81,8.62,5.49,2.70,1.16,1.20,0.51,1.28,0.70,0.16,0.98,,,,,0.20
云南省,,,17.65,9.16,10.44,5.45,4.19,6.62,1.87,3.33,0.62,0.97,0.45,0.12,0.20,,,,,0.41
西藏自治区,,,2.04,0.77,0.64,0.84,0.34,0.11,,0.01,0.06,,,,,,,,,
陕西省,,,52.37,33.93,33.87,24.14,9.92,10.47,6.27,3.90,2.04,3.76,3.44,3.76,2.83,,,,,0.78
甘肃省,,,27.67,19.60,10.57,7.01,6.64,8.15,2.22,1.46,0.62,2.01,0.55,0.32,0.36,,,,,0.61
青海省,,,5.45,3.35,3.26,0.43,0.86,0.54,0.34,0.86,0.06,0.20,0.26,0.13,0.01,,,,,
宁夏回族自治区,,,10.50,7.98,9.84,3.32,3.70,0.98,0.62,0.39,0.51,0.75,0.39,0.55,1.01,,,,,0.09
新疆维吾尔自治区,,,84.20,62.32,25.04,10.26,8.12,7.41,6.78,4.61,2.73,5.65,4.17,1.53,1.21,,,,,0.29
注：从2011年起，城镇固定资产投资数据发布口径改为固定资产投资（不含农户），固定资产投资（不含农户）等于原口径的城镇固定资产投资加上农村企事业组织的项目投资。
数据来源：国家统计局
