数据库：分省年度数据
指标：单位地区生产总值电耗(等价值)(千瓦小时/万元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,681.85,719.61,758.25,787.00,828.51,,,,,,,,,,
天津市,,,,,,782.88,910.42,1017.15,1024.10,1040.79,,,,,,,,,,
河北省,,,,,,1449.94,1492.81,1579.76,1515.90,1487.63,,,,,,,,,,
山西省,,,,,,1921.93,2288.87,2543.87,2348.40,2264.20,,,,,,,,,,
内蒙古自治区,,,,,,1686.72,1887.32,2101.68,1913.10,1714.06,,,,,,,,,,
辽宁省,,,,,,1119.99,1223.81,1332.69,1372.60,1386.63,,,,,,,,,,
吉林省,,,,,,809.13,885.93,957.23,990.90,1044.75,,,,,,,,,,
黑龙江省,,,,,,798.67,865.90,908.52,965.90,1008.53,,,,,,,,,,
上海市,,,,,,808.49,884.13,914.19,964.30,1007.15,,,,,,,,,,
江苏省,,,,,,1064.25,1149.44,1221.44,1221.20,1198.24,,,,,,,,,,
浙江省,,,,,,1176.50,1202.08,1246.97,1247.40,1222.15,,,,,,,,,,
安徽省,,,,,,1088.76,1106.81,1116.40,1092.60,1082.92,,,,,,,,,,
福建省,,,,,,1032.05,1098.56,1156.20,1149.80,1151.76,,,,,,,,,,
江西省,,,,,,922.46,942.16,993.12,979.40,966.25,,,,,,,,,,
山东省,,,,,,972.49,1001.08,1068.37,1069.00,1032.36,,,,,,,,,,
河南省,,,,,,1218.36,1266.23,1302.24,1257.50,1277.68,,,,,,,,,,
湖北省,,,,,,1018.45,1103.90,1169.82,1187.50,1209.95,,,,,,,,,,
湖南省,,,,,,911.00,975.49,1082.92,1051.90,1035.77,,,,,,,,,,
广东省,,,,,,1002.09,1085.49,1156.85,1172.10,1195.34,,,,,,,,,,
广西壮族自治区,,,,,,1279.87,1254.15,1278.73,1252.00,1251.67,,,,,,,,,,
海南省,,,,,,922.89,979.24,1000.50,970.30,912.26,,,,,,,,,,
重庆市,,,,,,894.27,1090.19,1148.00,1177.00,1132.32,,,,,,,,,,
四川省,,,,,,1085.91,1156.37,1232.10,1265.70,1276.34,,,,,,,,,,
贵州省,,,,,,2328.02,2452.21,2662.14,2633.80,2460.64,,,,,,,,,,
云南省,,,,,,1591.10,1654.94,1704.70,1660.80,1604.57,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,,,,,,1078.51,1256.02,1340.24,1364.60,1405.00,,,,,,,,,,
甘肃省,,,,,,2398.81,2539.00,2537.33,2487.00,2530.96,,,,,,,,,,
青海省,,,,,,3862.12,4061.64,4173.16,4007.90,3801.76,,,,,,,,,,
宁夏回族自治区,,,,,,4720.74,5084.09,5706.63,5528.20,4997.67,,,,,,,,,,
新疆维吾尔自治区,,,,,,1408.20,1331.24,1273.90,1232.30,1190.91,,,,,,,,,,
数据来源：国家统计局
