数据库：分省年度数据
指标：地方财政税收收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,3861.29,3514.52,3124.75,2854.63,2251.59,1913.97,1775.58,1435.67,,,,588.96,539.87,475.00,372.79,315.10,270.11,235.82,201.32,145.94
天津市,1486.88,1310.66,1105.56,1004.51,776.65,614.27,546.26,438.36,,,201.64,177.56,154.81,153.80,123.78,104.87,79.14,72.37,67.39,54.57
河北省,1866.06,1724.87,1560.59,1348.51,1074.04,839.33,748.89,618.30,,,,255.46,202.75,165.67,152.90,144.28,166.99,149.88,129.86,110.54
山西省,1134.34,1136.89,1045.22,872.88,692.71,581.91,566.49,430.50,,,170.71,147.60,112.20,92.69,81.88,82.47,81.95,74.71,65.89,56.01
内蒙古自治区,1251.07,1215.20,1119.87,985.69,752.81,576.83,464.45,347.91,,,,106.54,162.48,131.53,122.65,114.47,115.28,104.45,89.54,67.26
辽宁省,2330.57,2521.62,2317.19,1974.85,1516.65,1183.98,1017.10,815.67,,,411.50,361.40,333.00,256.50,227.50,212.60,208.20,191.40,175.70,151.50
吉林省,884.40,856.41,760.57,624.19,439.31,361.11,311.07,237.39,,,130.51,125.77,111.97,,87.41,84.04,70.20,63.20,57.76,47.76
黑龙江省,977.40,912.82,837.80,741.85,556.97,444.31,420.21,334.97,,,,201.46,,,,,129.18,120.05,110.47,94.89
上海市,4219.05,3797.16,3426.79,3172.72,2707.80,2368.45,2223.43,1975.48,,,842.74,863.68,554.70,458.28,410.63,365.29,339.34,303.64,271.28,226.72
江苏省,6006.05,5419.49,4782.59,4124.62,3312.61,2654.75,2278.71,1894.77,,,833.71,690.53,565.30,523.84,409.14,314.26,244.20,210.56,184.65,146.39
浙江省,3853.96,3545.66,3227.77,2952.01,2464.96,1983.81,1792.09,1535.35,,,,673.47,,,,302.67,220.93,192.24,162.11,136.77
安徽省,1692.52,1520.22,1305.09,1108.31,866.55,629.32,527.93,401.88,,,204.83,176.77,162.00,164.16,144.58,136.58,129.60,120.81,99.24,72.90
福建省,1893.73,1723.28,1440.34,1254.31,966.09,778.14,704.45,594.02,,,,251.77,,,,,226.06,203.97,172.17,151.36
江西省,1381.13,1178.74,978.08,777.09,585.11,430.02,357.96,281.86,,,,123.05,187.04,147.68,128.62,122.39,118.53,107.75,103.88,88.21
山东省,3965.76,3533.49,3050.20,2603.13,2149.90,1720.35,1533.53,1308.35,,,627.43,558.28,495.03,488.34,392.90,342.94,301.90,264.87,215.63,163.51
河南省,1951.46,1764.71,1469.57,1263.10,1016.55,821.50,742.27,625.02,,,307.12,264.40,242.24,226.70,195.04,176.12,160.60,152.09,126.63,103.45
湖北省,1873.11,1604.85,1324.44,1067.11,777.96,616.06,537.21,433.98,,,,205.38,191.01,183.97,164.92,147.12,133.89,102.83,89.09,73.64
湖南省,1438.52,1299.15,1110.74,915.40,730.84,568.27,486.31,410.66,,,218.70,186.61,148.61,124.45,111.57,105.50,102.95,105.75,88.00,78.05
广东省,6510.47,5767.94,5073.88,4548.66,3803.47,3130.61,2864.79,2415.47,,,1191.55,1109.50,1032.33,1014.72,798.61,507.13,469.57,407.78,369.65,301.52
广西壮族自治区,978.07,875.74,762.46,644.80,533.87,417.68,346.49,282.68,,,,146.46,131.27,,,,79.48,71.71,65.38,58.76
海南省,480.55,411.63,350.80,295.69,237.10,151.24,120.54,87.99,,,44.67,40.54,36.38,35.09,31.52,29.17,27.24,25.05,25.92,24.81
重庆市,1281.83,1112.62,970.17,881.07,621.56,435.62,360.29,294.46,,,,119.37,101.63,87.39,73.94,64.42,59.90,53.45,46.69,
四川省,2312.46,2103.51,1827.04,1537.42,1180.58,886.67,732.07,628.95,,,303.55,254.19,230.26,218.15,194.63,177.90,166.03,152.58,129.84,105.20
贵州省,1026.70,839.67,681.66,518.14,395.57,311.71,260.80,211.85,,,,93.44,89.22,67.02,77.43,61.12,51.49,47.34,40.40,31.07
云南省,1233.23,1215.66,1063.90,881.95,702.16,548.11,482.39,378.64,,,209.36,184.43,173.36,163.52,153.11,144.08,139.29,134.54,117.82,90.59
西藏自治区,85.86,71.54,70.07,45.83,25.28,18.51,15.19,11.67,,,7.19,6.54,5.81,5.36,5.07,4.31,3.62,3.15,2.75,2.09
陕西省,1335.68,1256.24,1131.55,933.84,710.57,532.80,455.60,355.50,,,,143.13,96.62,94.29,84.63,88.80,74.13,64.05,55.51,45.44
甘肃省,490.26,417.73,347.78,284.04,220.29,176.04,162.80,142.05,,,,72.24,65.43,58.79,51.66,49.00,46.56,41.66,36.77,31.01
青海省,199.39,175.05,146.69,119.85,88.94,70.17,55.90,43.29,,,20.52,19.63,15.82,13.22,11.69,10.66,9.75,8.92,8.08,7.33
宁夏回族自治区,250.33,237.49,207.02,177.13,126.79,90.74,77.74,58.79,,,,24.41,21.93,23.42,18.44,15.77,13.79,12.23,10.46,7.97
新疆维吾尔自治区,887.79,826.34,698.93,593.41,416.23,301.13,286.55,220.65,,,123.19,105.24,93.58,72.68,64.53,56.74,,,,
数据来源：国家统计局
