数据库：分省年度数据
指标：地方财政土地增值税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,214.33,187.24,132.07,121.29,85.86,54.16,34.67,24.34,5.67,2.38,1.85,3.07,1.40,0.19,0.53,0.38,,,,
天津市,117.04,81.89,58.79,47.44,24.39,15.67,6.61,5.60,3.59,0.36,0.00,,,0.00,,0.00,,,,
河北省,116.09,100.38,69.72,53.27,32.47,15.22,10.92,7.76,3.64,0.85,0.27,0.24,0.14,0.09,0.26,0.13,,,,
山西省,30.92,24.74,15.33,9.71,4.65,2.00,1.81,1.13,0.42,0.15,0.02,0.01,0.01,0.02,0.02,0.01,,,,
内蒙古自治区,51.29,49.04,35.00,30.57,20.56,12.55,10.60,7.28,3.48,1.24,0.59,0.37,0.19,0.12,0.16,0.04,,,,
辽宁省,177.57,190.21,190.38,128.80,77.59,47.99,24.78,18.24,11.54,5.95,4.89,2.76,1.68,0.58,0.55,0.34,,,,
吉林省,48.47,40.41,35.88,25.21,11.25,6.32,3.95,3.11,1.52,0.69,0.58,0.38,0.36,0.37,0.17,0.05,,,,
黑龙江省,65.40,49.37,41.53,22.59,8.64,4.97,3.57,1.91,0.88,0.61,0.27,0.16,0.17,0.14,0.10,0.11,,,,
上海市,266.18,197.37,233.10,168.22,96.96,61.23,49.43,47.40,35.68,24.63,9.65,1.66,0.13,0.15,0.62,1.44,,,,
江苏省,444.89,405.79,317.17,256.97,170.36,98.17,63.46,51.39,32.92,22.73,12.40,2.65,0.54,0.28,0.15,0.10,,,,
浙江省,205.72,186.53,149.73,148.05,106.70,48.94,40.26,34.08,20.25,15.47,8.33,2.98,1.10,0.55,0.40,0.35,,,,
安徽省,96.67,91.15,70.06,51.98,30.22,15.46,12.31,8.92,4.60,3.00,1.83,1.11,0.65,0.38,0.35,0.30,,,,
福建省,213.37,182.28,136.00,99.92,62.81,36.78,30.17,19.70,10.53,4.08,1.61,0.99,0.79,0.53,0.43,0.23,,,,
江西省,113.84,80.25,52.28,37.33,25.72,16.33,12.33,10.14,4.05,2.09,1.42,0.55,0.30,0.20,0.12,0.07,,,,
山东省,257.74,205.91,145.21,105.67,66.19,43.84,36.56,32.53,22.02,14.39,9.08,5.49,1.98,1.07,0.74,0.35,,,,
河南省,132.51,97.03,70.35,58.44,37.96,21.93,16.37,15.00,4.59,2.84,1.70,0.21,0.12,0.09,0.05,0.06,,,,
湖北省,174.07,137.39,92.66,62.85,30.54,17.57,13.98,7.35,3.64,1.58,0.93,0.60,0.17,0.07,0.06,0.07,,,,
湖南省,76.75,74.39,58.71,40.61,19.54,5.27,5.04,3.63,1.05,0.58,0.48,0.43,0.18,0.09,0.09,0.07,,,,
广东省,505.90,417.51,408.01,295.21,189.79,107.90,81.12,48.35,30.46,18.90,9.45,8.44,8.29,4.04,2.67,1.96,,,,
广西壮族自治区,68.30,65.16,59.30,33.99,22.27,15.20,15.78,10.52,7.65,4.79,2.72,1.91,0.45,0.22,0.11,0.11,,,,
海南省,75.22,56.01,41.84,37.83,21.23,10.17,6.21,4.74,2.79,1.83,0.89,0.14,0.07,0.12,0.05,0.03,,,,
重庆市,96.22,80.73,79.06,61.47,29.80,7.59,10.70,7.36,4.38,2.93,1.57,0.41,0.20,0.10,0.09,0.11,,,,
四川省,150.53,127.40,96.78,76.55,47.78,26.73,24.05,18.09,8.77,5.14,3.21,1.91,1.17,0.57,0.32,0.10,,,,
贵州省,64.64,29.41,19.07,13.76,11.98,5.81,3.73,3.01,1.43,0.87,0.45,0.28,0.19,0.15,0.15,0.10,,,,
云南省,43.86,46.10,43.80,30.09,14.36,8.19,5.67,3.73,2.03,0.56,0.34,0.25,0.05,0.07,0.07,0.10,,,,
西藏自治区,1.06,0.64,0.34,0.36,0.13,0.28,0.25,0.08,0.02,0.03,0.02,0.02,0.03,0.01,0.01,0.04,,,,
陕西省,50.07,46.01,37.03,22.19,15.43,7.32,5.49,4.13,2.25,0.81,0.05,0.07,0.08,0.10,0.06,0.08,,,,
甘肃省,14.35,10.16,6.76,5.46,3.02,0.42,2.93,0.78,0.18,0.01,0.01,0.00,0.01,0.01,0.00,0.00,,,,
青海省,3.14,1.72,1.43,0.68,0.45,0.20,0.13,0.15,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.01,,,,
宁夏回族自治区,6.15,5.85,5.91,3.05,1.67,1.00,0.94,0.48,0.25,0.18,0.10,0.04,0.06,0.01,0.03,0.03,,,,
新疆维吾尔自治区,32.40,25.86,15.77,13.05,7.99,4.36,3.62,2.17,1.15,0.63,0.31,0.16,0.03,0.03,0.03,0.01,,,,
数据来源：国家统计局
