数据库：分省年度数据
指标：地方财政烟叶税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,0.14,0.11,0.09,0.10,0.08,0.05,0.09,0.06,,,,,,,,,,,,
山西省,0.23,0.22,0.16,0.13,0.15,0.15,0.06,0.09,,,,,,,,,,,,
内蒙古自治区,0.27,0.30,0.28,0.20,0.21,0.19,0.20,0.21,,,,,,,,,,,,
辽宁省,1.47,1.45,1.07,0.83,0.53,0.83,0.53,0.46,,,,,,,,,,,,
吉林省,1.13,1.33,1.29,0.84,0.74,0.78,0.68,0.35,,,,,,,,,,,,
黑龙江省,3.14,3.53,2.71,2.18,2.16,2.09,1.80,0.95,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,0.02,0.09,0.09,0.07,0.07,0.09,0.08,0.06,,,,,,,,,,,,
安徽省,1.92,1.31,1.02,0.68,0.57,0.49,0.38,0.31,,,,,,,,,,,,
福建省,7.80,7.00,5.60,4.29,3.29,4.36,3.76,2.75,,,,,,,,,,,,
江西省,2.80,2.29,1.89,1.58,1.05,1.16,1.26,0.76,,,,,,,,,,,,
山东省,2.58,3.99,3.36,1.92,1.51,2.38,1.71,1.23,,,,,,,,,,,,
河南省,9.36,11.52,9.19,4.92,4.54,5.60,4.67,2.89,,,,,,,,,,,,
湖北省,3.33,5.47,4.80,3.72,3.30,3.49,2.74,1.62,,,,,,,,,,,,
湖南省,10.10,10.68,9.76,6.91,5.48,5.40,4.74,3.37,,,,,,,,,,,,
广东省,1.62,1.65,1.63,1.40,1.20,1.21,1.11,0.90,,,,,,,,,,,,
广西壮族自治区,1.26,1.49,1.14,0.85,0.57,0.98,0.76,0.67,,,,,,,,,,,,
海南省,,0.01,0.01,,,,,,,,,,,,,,,,,
重庆市,3.25,4.10,3.85,2.67,2.32,2.32,1.74,1.02,,,,,,,,,,,,
四川省,10.49,11.54,9.27,7.30,7.17,6.82,4.30,2.86,,,,,,,,,,,,
贵州省,19.73,19.70,15.82,9.33,11.11,11.03,9.91,6.24,,,,,,,,,,,,
云南省,58.08,59.35,56.11,39.55,30.57,29.65,25.65,20.18,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,,,,,,,,,
陕西省,2.11,2.83,2.38,1.75,1.59,1.54,1.13,0.69,,,,,,,,,,,,
甘肃省,0.19,0.27,0.21,0.13,0.12,0.16,0.13,0.11,,,,,,,,,,,,
青海省,,,,,,,,,,,,,,,,,,,,
宁夏回族自治区,0.04,0.03,0.02,0.03,0.01,0.02,0.01,0.01,,,,,,,,,,,,
新疆维吾尔自治区,,0.00,0.02,0.02,0.02,0.02,0.01,0.02,,,,,,,,,,,,
数据来源：国家统计局
