数据库：分省年度数据
指标：地方财政罚没收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,38.67,34.49,43.06,33.75,22.93,19.48,21.25,21.33,20.78,18.84,13.22,10.22,9.36,8.65,7.30,5.98,,,,
天津市,18.21,16.40,15.50,13.58,8.80,8.16,6.94,7.88,8.90,6.78,6.60,5.98,6.25,4.99,4.30,3.79,,,,
河北省,103.14,97.26,97.54,81.21,61.61,53.85,51.31,42.50,38.29,34.65,32.26,25.97,22.01,21.59,17.90,14.19,,,,
山西省,60.94,59.78,60.78,49.39,43.23,36.01,32.06,25.21,21.88,18.75,15.70,12.29,9.64,8.15,6.94,6.79,,,,
内蒙古自治区,41.54,44.87,49.10,29.61,25.86,21.91,20.05,18.53,13.36,11.33,7.33,6.10,5.40,4.74,3.66,3.13,,,,
辽宁省,69.63,78.94,88.06,69.96,60.10,41.89,35.91,32.91,29.82,27.19,24.24,20.48,16.81,16.56,11.41,9.98,,,,
吉林省,34.57,40.87,43.27,29.87,28.76,29.80,23.35,16.76,13.08,11.60,10.72,9.60,9.39,7.44,6.45,6.21,,,,
黑龙江省,42.98,45.96,42.70,32.59,25.71,22.69,19.20,16.94,13.28,11.53,10.72,10.53,9.89,8.52,6.70,6.45,,,,
上海市,27.96,30.21,24.56,22.95,17.34,20.01,24.09,24.72,20.26,16.21,16.25,14.14,13.52,12.20,9.68,8.64,,,,
江苏省,120.63,118.54,98.51,97.53,89.31,77.19,75.17,71.76,61.43,53.05,41.82,34.99,29.38,27.55,21.96,16.04,,,,
浙江省,93.64,97.80,83.32,82.76,70.60,78.97,71.01,63.84,59.08,58.44,42.87,31.29,27.75,18.59,12.29,8.61,,,,
安徽省,49.16,49.23,43.57,34.07,26.77,28.34,24.31,22.41,18.42,16.00,13.95,10.37,8.65,7.61,6.99,7.38,,,,
福建省,50.99,50.88,46.96,37.09,29.22,27.98,28.96,27.56,23.16,21.40,18.07,16.50,13.63,11.46,10.18,10.44,,,,
江西省,73.18,63.38,54.76,39.37,30.48,29.76,26.72,26.89,23.76,19.38,16.61,13.37,10.61,8.80,8.88,8.40,,,,
山东省,121.45,125.51,123.85,104.19,77.62,68.02,59.29,61.97,55.75,42.45,43.71,25.15,23.19,20.08,15.24,12.38,,,,
河南省,82.20,79.18,75.32,59.03,50.83,45.96,50.40,47.94,38.59,29.80,23.37,19.20,15.91,19.98,19.10,17.05,,,,
湖北省,73.71,67.79,58.34,50.38,39.54,31.46,30.00,30.62,27.30,24.86,21.44,19.25,19.74,19.22,16.51,11.80,,,,
湖南省,81.22,72.39,60.43,58.20,45.54,40.31,39.78,36.77,33.28,27.69,24.34,22.85,21.27,21.27,18.90,16.01,,,,
广东省,134.69,134.89,139.99,112.33,95.62,88.90,80.94,74.73,66.25,60.33,49.77,44.83,48.99,47.49,40.71,36.05,,,,
广西壮族自治区,35.30,38.15,38.17,29.74,31.29,24.39,25.15,22.93,21.75,19.35,16.15,14.16,17.43,10.32,11.40,10.04,,,,
海南省,9.50,10.08,8.31,7.11,4.74,4.09,3.31,2.71,2.88,2.85,2.59,2.51,1.94,1.93,2.00,2.39,,,,
重庆市,32.50,25.96,29.25,22.63,21.41,14.01,11.87,9.91,9.54,9.09,8.83,8.00,6.63,6.80,5.76,4.55,,,,
四川省,61.50,59.35,53.66,47.21,35.25,32.16,28.46,29.84,24.00,21.23,19.09,17.95,15.48,14.34,13.11,11.38,,,,
贵州省,33.29,31.15,25.14,23.50,16.66,14.23,12.67,12.90,12.15,10.10,8.01,6.76,5.76,4.88,4.14,3.83,,,,
云南省,49.57,50.25,45.02,36.26,33.92,32.68,25.06,25.15,19.61,15.80,12.54,11.16,8.81,7.46,7.63,6.33,,,,
西藏自治区,2.54,2.23,1.86,0.53,0.83,1.16,0.92,1.06,0.70,0.58,0.79,0.29,0.20,0.24,0.20,0.15,,,,
陕西省,36.21,39.22,29.07,24.99,22.06,20.68,17.05,16.04,11.54,12.63,9.48,7.46,7.93,7.06,5.99,6.25,,,,
甘肃省,16.93,16.26,12.46,10.56,8.12,7.34,5.93,6.17,5.27,4.46,3.98,3.14,2.46,2.56,2.09,1.91,,,,
青海省,4.57,3.91,3.28,2.90,2.16,1.65,1.67,1.38,1.04,0.80,0.64,0.58,0.61,0.62,0.42,0.42,,,,
宁夏回族自治区,7.71,6.92,5.47,5.33,4.16,3.43,3.04,2.63,2.56,1.95,1.46,1.29,1.13,0.88,0.82,0.82,,,,
新疆维吾尔自治区,24.77,21.50,18.16,14.00,12.38,12.12,10.79,10.05,8.61,8.05,6.07,4.81,4.96,4.72,3.60,3.16,,,,
数据来源：国家统计局
