数据库：分省年度数据
指标：地方财政国有资源(资产)有偿使用收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,55.31,32.76,36.05,20.64,14.39,25.49,6.49,,,,,,,,,,,,,
天津市,355.79,253.35,260.70,150.79,83.37,42.77,22.25,,,,,,,,,,,,,
河北省,127.76,95.70,82.95,39.53,17.60,11.57,13.08,,,,,,,,,,,,,
山西省,34.16,32.13,20.52,19.18,10.35,6.44,7.57,,,,,,,,,,,,,
内蒙古自治区,102.46,105.29,67.56,47.84,33.62,20.70,8.33,,,,,,,,,,,,,
辽宁省,257.46,225.58,206.29,171.42,97.84,69.46,39.03,,,,,,,,,,,,,
吉林省,112.96,86.63,65.21,46.92,26.57,11.82,11.63,,,,,,,,,,,,,
黑龙江省,100.17,94.89,72.42,36.60,24.81,21.34,3.74,,,,,,,,,,,,,
上海市,87.72,48.63,43.33,22.38,8.76,6.30,11.71,,,,,,,,,,,,,
江苏省,186.63,167.13,147.64,115.98,79.75,46.18,20.73,,,,,,,,,,,,,
浙江省,50.43,42.83,28.27,27.28,16.77,11.47,10.46,,,,,,,,,,,,,
安徽省,141.29,176.55,125.44,62.20,59.80,47.16,25.56,,,,,,,,,,,,,
福建省,153.04,110.75,77.43,50.70,41.47,29.05,14.62,,,,,,,,,,,,,
江西省,145.39,113.95,65.90,30.76,20.09,13.18,8.11,,,,,,,,,,,,,
山东省,381.95,343.52,286.91,188.85,93.06,60.95,33.04,,,,,,,,,,,,,
河南省,156.27,105.53,78.01,46.00,23.98,26.07,14.18,,,,,,,,,,,,,
湖北省,141.93,109.78,76.84,45.95,22.17,12.86,10.16,,,,,,,,,,,,,
湖南省,325.29,276.14,200.68,151.53,74.10,51.37,30.94,,,,,,,,,,,,,
广东省,281.69,190.09,142.24,102.71,81.88,68.89,39.66,,,,,,,,,,,,,
广西壮族自治区,106.73,116.38,83.40,53.12,35.87,26.57,13.31,,,,,,,,,,,,,
海南省,14.75,14.62,12.72,7.27,3.95,3.97,2.36,,,,,,,,,,,,,
重庆市,170.19,104.73,113.23,87.53,42.53,31.07,16.55,,,,,,,,,,,,,
四川省,236.83,203.53,162.73,118.56,90.67,49.43,25.55,,,,,,,,,,,,,
贵州省,96.74,119.70,76.70,44.04,16.23,12.72,5.42,,,,,,,,,,,,,
云南省,76.77,57.44,43.53,22.17,14.28,10.44,6.71,,,,,,,,,,,,,
西藏自治区,16.20,7.63,4.40,2.21,3.09,2.74,2.08,,,,,,,,,,,,,
陕西省,126.81,83.61,93.80,31.95,14.97,14.41,6.59,,,,,,,,,,,,,
甘肃省,43.29,35.51,20.74,13.02,9.10,5.68,2.72,,,,,,,,,,,,,
青海省,13.30,8.92,4.38,2.75,1.69,1.36,0.98,,,,,,,,,,,,,
宁夏回族自治区,32.07,11.89,9.25,6.31,2.71,2.55,1.40,,,,,,,,,,,,,
新疆维吾尔自治区,56.30,40.05,31.04,15.41,8.50,7.06,3.70,,,,,,,,,,,,,
数据来源：国家统计局
