数据库：分省年度数据
指标：地方财政其他非税收入(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,9.39,2.33,7.69,4.14,4.82,10.72,1.30,-32.29,,,,,,,,,,,,
天津市,195.14,172.00,91.12,42.84,30.89,15.92,8.73,8.51,,,,,,,,,,,,
河北省,35.31,33.23,24.25,11.98,7.46,21.57,5.98,29.69,,,,,,,,,,,,
山西省,24.27,27.61,16.94,8.63,11.88,18.10,3.84,9.03,,,,,,,,,,,,
内蒙古自治区,15.66,17.36,18.05,13.24,12.17,8.41,3.57,32.67,,,,,,,,,,,,
辽宁省,47.39,31.66,31.31,26.23,12.10,10.80,3.27,86.74,,,,,,,,,,,,
吉林省,13.41,14.50,15.96,8.20,8.48,4.14,1.76,18.76,,,,,,,,,,,,
黑龙江省,20.37,19.38,17.14,7.51,4.33,10.67,1.65,30.55,,,,,,,,,,,,
上海市,13.09,10.02,14.07,16.00,3.94,27.24,2.28,-0.76,,,,,,,,,,,,
江苏省,41.64,39.49,42.40,43.17,8.72,14.88,3.60,75.32,,,,,,,,,,,,
浙江省,17.76,6.17,4.90,1.28,0.70,5.58,0.93,-42.27,,,,,,,,,,,,
安徽省,29.48,33.42,26.93,25.23,7.97,9.19,5.33,27.71,,,,,,,,,,,,
福建省,21.65,17.69,18.12,12.89,9.36,8.52,4.36,19.69,,,,,,,,,,,,
江西省,32.58,34.20,34.77,20.19,11.98,13.21,8.32,21.94,,,,,,,,,,,,
山东省,46.25,51.05,50.71,50.13,42.07,22.10,22.10,87.67,,,,,,,,,,,,
河南省,75.76,60.83,41.14,29.72,18.14,17.61,10.02,50.45,,,,,,,,,,,,
湖北省,35.96,27.83,27.47,64.77,14.10,13.94,13.18,39.19,,,,,,,,,,,,
湖南省,156.07,130.38,127.83,113.87,43.11,38.86,28.10,52.94,,,,,,,,,,,,
广东省,323.95,182.34,158.80,115.64,55.29,48.62,33.41,85.22,,,,,,,,,,,,
广西壮族自治区,41.27,29.67,29.96,18.46,17.06,15.58,9.30,56.38,,,,,,,,,,,,
海南省,6.34,3.29,2.94,2.87,0.96,0.73,0.32,6.49,,,,,,,,,,,,
重庆市,40.10,34.05,50.85,31.95,14.08,15.43,4.47,38.86,,,,,,,,,,,,
四川省,99.14,90.17,81.78,73.89,33.53,16.88,60.14,54.22,,,,,,,,,,,,
贵州省,61.21,54.37,72.78,49.12,11.27,6.14,4.21,17.05,,,,,,,,,,,,
云南省,65.95,40.19,32.18,27.32,23.59,22.70,9.92,18.96,,,,,,,,,,,,
西藏自治区,12.82,6.84,6.57,5.27,5.11,4.51,3.35,5.11,,,,,,,,,,,,
陕西省,77.25,65.93,57.85,13.48,6.85,10.31,6.91,49.71,,,,,,,,,,,,
甘肃省,22.06,19.65,10.95,14.98,14.66,18.18,41.37,13.87,,,,,,,,,,,,
青海省,5.26,7.35,2.00,1.10,0.52,2.73,0.76,2.06,,,,,,,,,,,,
宁夏回族自治区,5.15,4.04,4.74,2.10,0.96,1.21,0.69,3.17,,,,,,,,,,,,
新疆维吾尔自治区,32.97,21.46,19.03,10.71,2.83,9.98,0.69,10.02,,,,,,,,,,,,
数据来源：国家统计局
