数据库：分省年度数据
指标：地方财政房产税(亿元)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,140.22,122.54,110.72,99.40,83.83,73.98,63.84,51.75,43.29,35.21,31.97,30.79,25.11,21.43,19.01,14.53,,,,
天津市,65.86,48.53,40.02,30.61,25.28,22.36,19.21,14.67,12.62,10.30,8.09,7.20,6.45,5.08,4.67,4.13,,,,
河北省,47.18,41.32,35.67,28.23,21.27,19.29,16.23,14.07,13.05,11.08,9.53,9.00,8.29,7.06,7.37,6.84,,,,
山西省,34.29,25.86,19.98,15.53,13.50,12.96,10.62,8.59,7.76,6.60,5.41,5.25,4.96,4.45,4.13,3.96,,,,
内蒙古自治区,38.39,31.87,26.61,23.35,18.47,15.69,12.57,10.73,9.27,7.21,6.99,5.86,4.94,4.24,4.38,3.53,,,,
辽宁省,82.20,72.35,64.17,55.87,45.91,41.09,35.38,29.86,29.80,24.83,21.97,20.72,19.03,15.79,14.28,12.94,,,,
吉林省,23.96,22.89,19.97,16.26,13.60,12.55,10.68,9.41,8.73,7.66,7.07,6.38,5.58,4.54,4.48,4.20,,,,
黑龙江省,27.62,24.07,21.50,20.74,18.03,15.46,12.46,12.68,11.13,11.22,10.11,9.04,8.18,6.62,6.06,5.72,,,,
上海市,99.95,93.05,92.56,73.66,62.30,62.90,52.22,42.83,42.68,34.10,27.08,22.41,19.68,14.66,13.24,12.89,,,,
江苏省,228.73,192.84,160.88,121.39,92.11,80.99,69.07,54.26,48.87,40.13,29.19,23.16,20.17,14.20,11.83,9.31,,,,
浙江省,158.43,134.11,126.94,99.19,71.97,68.63,60.12,49.49,39.95,30.60,21.94,17.26,15.12,11.30,9.32,7.46,,,,
安徽省,38.64,31.54,29.85,23.09,17.62,14.97,11.37,9.69,8.43,7.35,6.16,5.97,5.51,4.81,4.60,4.54,,,,
福建省,61.91,65.65,38.83,40.67,31.74,27.41,24.63,21.25,18.58,16.96,14.45,13.15,11.82,9.85,9.55,8.11,,,,
江西省,27.71,21.49,15.86,11.35,9.13,7.77,6.80,5.78,5.23,4.66,3.94,3.54,3.18,2.88,2.66,2.52,,,,
山东省,122.49,111.75,100.83,74.02,64.65,57.86,47.26,44.35,38.70,32.80,26.78,24.47,20.98,16.53,15.56,13.49,,,,
河南省,45.91,38.78,33.96,26.13,22.77,21.11,16.89,15.66,14.02,11.79,10.28,9.16,8.75,7.03,6.72,6.51,,,,
湖北省,43.83,34.70,29.28,22.37,18.83,18.60,16.18,12.76,11.73,10.73,8.82,8.24,7.02,5.88,5.59,5.01,,,,
湖南省,40.08,33.34,29.85,22.46,17.92,15.63,13.56,11.13,10.09,9.24,7.58,6.54,5.42,4.42,4.40,3.97,,,,
广东省,233.89,198.63,175.42,145.40,122.44,107.04,92.30,79.64,71.84,61.92,54.77,45.56,36.68,28.74,24.81,21.22,,,,
广西壮族自治区,23.56,21.18,17.35,14.26,11.65,11.31,10.28,8.63,8.11,7.54,6.26,5.98,5.37,4.34,4.09,3.57,,,,
海南省,12.52,10.34,8.90,7.06,5.39,5.07,3.73,3.72,3.51,2.97,2.86,2.63,2.74,2.44,2.32,1.55,,,,
重庆市,40.37,31.40,27.43,20.89,14.02,12.13,9.33,7.15,6.55,5.75,4.65,4.21,3.64,2.89,2.54,2.21,,,,
四川省,65.80,52.95,45.28,33.91,26.05,22.27,18.86,16.66,15.04,13.22,11.02,9.44,8.82,7.80,6.98,6.43,,,,
贵州省,23.43,17.13,11.60,9.73,8.41,7.43,6.29,5.78,5.12,4.28,3.83,3.67,3.48,3.00,2.73,2.42,,,,
云南省,34.53,28.86,24.66,18.08,17.18,14.18,11.37,9.64,8.52,7.91,6.97,6.99,6.69,5.69,5.70,5.14,,,,
西藏自治区,,,,,,,,,0.00,,0.00,,,,,0.00,,,,
陕西省,37.61,30.34,27.00,20.04,15.35,13.61,10.89,9.22,7.89,6.94,6.79,6.59,5.89,5.05,5.03,4.23,,,,
甘肃省,14.28,13.00,11.17,8.96,8.36,7.73,6.63,5.74,4.64,4.20,3.78,3.43,3.06,2.72,2.58,2.43,,,,
青海省,5.37,3.79,3.20,1.99,1.58,1.49,1.19,1.02,0.96,0.95,0.92,0.84,0.72,0.63,0.62,0.63,,,,
宁夏回族自治区,8.30,6.64,4.19,3.07,2.35,1.90,1.73,1.46,1.41,1.36,1.32,1.20,1.04,0.93,0.89,0.81,,,,
新疆维吾尔自治区,24.57,20.56,18.82,14.67,12.35,10.25,8.64,7.84,7.35,6.44,5.79,5.18,4.05,3.41,3.22,3.07,,,,
数据来源：国家统计局
