数据库：分省年度数据
指标：菱镁矿储量(万吨)
时间：最近20年
地区,2014年,2013年,2012年,2011年,2010年,2009年,2008年,2007年,2006年,2005年,2004年,2003年,2002年,2001年,2000年,1999年,1998年,1997年,1996年,1995年
北京市,,,,,,,,,,,,,,,,,,,,
天津市,,,,,,,,,,,,,,,,,,,,
河北省,882.34,882.34,882.34,882.34,866.26,876.40,886.06,890.40,902.90,1240.30,1379.39,1396.40,,,,,,,,
山西省,,,,,,,,,,,,,,,,,,,,
内蒙古自治区,,,,,,,,,,,,,,,,,,,,
辽宁省,92453.66,104834.16,140583.97,169189.47,165672.68,179669.40,163603.14,165790.00,162313.30,146077.73,121457.94,121912.20,,,,,,,,
吉林省,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,1.10,,,,,,,,,
黑龙江省,,,,,,,,,,,,,,,,,,,,
上海市,,,,,,,,,,,,,,,,,,,,
江苏省,,,,,,,,,,,,,,,,,,,,
浙江省,,,,,,,,,,,,,,,,,,,,
安徽省,,,,,,,,,,,,,,,,,,,,
福建省,,,,,,,,,,,,,,,,,,,,
江西省,,,,,,,,,,,,,,,,,,,,
山东省,14793.49,14793.49,14793.34,14852.02,16158.28,27196.40,27230.87,26249.76,26267.10,26282.00,26648.60,,,,,,,,,
河南省,,,2.12,2.11,2.11,2.10,2.12,,,,,,,,,,,,,
湖北省,,,,,,,,,,,,,,,,,,,,
湖南省,,,,,,,,,,,,,,,,,,,,
广东省,,,,,,,,,,,,,,,,,,,,
广西壮族自治区,,,,,,,,,,,,,,,,,,,,
海南省,,,,,,,,,,,,,,,,,,,,
重庆市,,,,,,,,,,,,,,,,,,,,
四川省,186.49,186.49,186.49,186.49,186.49,186.50,178.69,179.80,179.80,180.30,123.50,26667.80,,,,,,,,
贵州省,,,,,,,,,,,,,,,,,,,,
云南省,,,,,,,,,,,,,,,,,,,,
西藏自治区,,,,,,,,,,,,123.50,,,,,,,,
陕西省,,,,,,,,,,,,,,,,,,,,
甘肃省,,,,,,,,,,,,,,,,,,,,
青海省,49.90,49.90,49.90,49.90,49.90,49.90,49.90,49.90,49.90,49.90,49.90,,,,,,,,,
宁夏回族自治区,,,,,,,,,,,,,,,,,,,,
新疆维吾尔自治区,,,,,,,,,,,,49.90,,,,,,,,
注：数据由国土资源部提供。
数据来源：国家统计局
